qa_id,category,ERK_F1,ERKT_F1,f1_outcome,ERK_EM,ERKT_EM,em_outcome,ERK_abstain,ERKT_abstain,abstain_outcome
conv-26_qa_141,4,0.6,0.6,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_142,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_143,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_144,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_145,4,0.545455,0.0,erk_better,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_146,4,0.347826,0.347826,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_147,4,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_148,4,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_149,4,0.333333,0.333333,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_15,1,0.428571,0.461538,erkt_better,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_150,4,0.0,0.285714,erkt_better,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_151,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_16,2,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_17,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_18,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_19,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_2,3,0.285714,0.285714,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_20,2,0.666667,0.666667,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_21,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_22,3,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_23,1,0.666667,0.0,erk_better,0.0,0.0,both_incorrect,0,1,erkt_new_error
conv-26_qa_24,1,0.666667,0.666667,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_25,2,0.666667,0.666667,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_26,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_27,3,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_28,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_29,2,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_3,1,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_30,3,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_31,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_32,1,0.444444,0.5,erkt_better,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_33,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_34,1,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_35,2,0.444444,0.444444,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_36,2,0.285714,0.285714,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_37,1,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_38,1,0.095238,0.095238,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_39,1,0.275862,0.275862,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_4,1,0.5,0.5,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_40,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_41,2,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_42,3,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_43,1,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_44,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_45,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_46,3,0.4,0.4,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_47,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_48,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_49,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_5,2,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_50,3,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_51,1,0.181818,0.181818,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_52,1,0.666667,0.666667,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_53,2,0.75,0.75,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_54,2,0.285714,0.285714,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_55,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_56,1,0.4,0.4,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_57,2,0.5,0.5,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_58,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_59,3,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_6,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_60,1,0.5,0.5,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_61,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_62,2,0.666667,0.666667,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_63,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_64,3,0.333333,0.333333,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_65,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_66,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_67,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_68,2,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_69,3,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_7,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_70,1,0.6,0.6,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_71,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_72,2,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_73,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,0,erkt_fixed
conv-26_qa_74,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_75,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_76,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_77,3,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_78,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_79,2,0.75,0.0,erk_better,0.0,0.0,both_incorrect,0,1,erkt_new_error
conv-26_qa_8,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_80,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_81,3,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_82,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_83,4,0.888889,0.888889,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_84,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_85,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_86,4,0.5,0.5,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_87,4,0.133333,0.133333,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_88,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_89,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_9,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_90,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_91,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_92,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_93,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_94,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_95,4,0.3,0.636364,erkt_better,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_96,4,0.470588,0.470588,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_97,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_98,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_99,4,0.6,0.6,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_0,2,0.666667,0.666667,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_1,2,0.8,0.8,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_10,2,0.444444,0.444444,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_11,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_12,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_13,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_14,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_15,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_16,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_17,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_18,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_19,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_2,4,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_20,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_21,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_22,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_23,1,0.15,0.15,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_24,1,0.571429,0.571429,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_25,1,0.56,0.56,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_26,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_27,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_28,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_29,1,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-30_qa_3,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_30,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_31,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_32,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_33,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_34,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_35,2,0.8,0.444444,erk_better,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_36,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_37,2,0.6,0.6,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_38,2,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_39,4,0.666667,0.666667,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_4,4,0.296296,0.296296,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_40,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-30_qa_41,4,0.666667,0.666667,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_42,4,0.571429,0.571429,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_43,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_44,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_45,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_46,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-30_qa_47,4,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_48,4,0.363636,0.363636,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_49,4,0.5,0.5,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_5,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_50,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_51,4,0.210526,0.2,erk_better,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_52,4,0.666667,0.666667,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_53,4,0.263158,0.263158,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_54,4,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_55,4,0.153846,0.153846,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_56,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_57,4,0.0,0.1,erkt_better,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_58,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_59,4,0.736842,0.736842,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_6,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_60,4,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_61,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-30_qa_62,4,0.583333,0.56,erk_better,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_63,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-30_qa_64,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_65,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-30_qa_66,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-30_qa_67,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_68,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-30_qa_69,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_7,2,0.6,0.6,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_70,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-30_qa_71,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,0,erkt_fixed
conv-30_qa_72,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_73,4,0.0,0.0,tied,0.0,0.0,both_incorrect,0,1,erkt_new_error
conv-30_qa_74,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_75,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_76,4,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_77,4,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_78,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-30_qa_8,2,0.666667,0.666667,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_80,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-30_qa_81,4,0.454545,0.454545,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-30_qa_9,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-41_qa_0,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-41_qa_1,2,0.666667,0.4,erk_better,0.0,0.0,both_incorrect,0,0,both_answered
conv-41_qa_10,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-41_qa_100,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_101,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_102,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_103,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_104,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_105,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-41_qa_106,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_107,4,1.0,0.833333,erk_better,1.0,0.0,erk_correct_erkt_incorrect,0,0,both_answered
conv-41_qa_108,4,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-41_qa_109,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_11,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-41_qa_110,4,0.8,0.8,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-41_qa_111,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_112,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_113,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_114,4,0.142857,0.142857,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-41_qa_115,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_116,4,0.0,0.352941,erkt_better,0.0,0.0,both_incorrect,1,0,erkt_fixed
conv-41_qa_117,4,0.571429,0.571429,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-41_qa_118,4,0.111111,0.0,erk_better,0.0,0.0,both_incorrect,0,1,erkt_new_error
conv-41_qa_119,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_12,1,0.0,1.0,erkt_better,0.0,1.0,erkt_newly_correct,1,0,erkt_fixed
conv-41_qa_120,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_121,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_122,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-41_qa_123,4,0.923077,0.923077,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-41_qa_124,4,0.727273,0.727273,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-41_qa_125,4,0.125,0.125,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-41_qa_126,4,0.142857,0.142857,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-41_qa_127,4,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-41_qa_128,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_129,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-41_qa_13,2,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-41_qa_130,4,0.5,0.5,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-41_qa_131,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-41_qa_132,4,0.454545,0.454545,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-41_qa_133,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_134,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-41_qa_135,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-41_qa_136,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-41_qa_137,4,0.5,0.5,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-41_qa_138,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_139,4,0.909091,0.909091,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-41_qa_14,3,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_140,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_141,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_142,4,0.5,0.5,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-41_qa_143,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_144,4,0.666667,0.666667,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-41_qa_145,4,0.2,0.0,erk_better,0.0,0.0,both_incorrect,0,1,erkt_new_error
conv-41_qa_146,4,0.625,0.625,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-41_qa_147,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-41_qa_148,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-41_qa_149,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
