qa_id,question,adversarial_answer,prediction,is_abstain,correct_abst
conv-42_qa_232,What type of show did Joanna host where she taught vegan ice cream recipes?,,Cannot answer,True,1
conv-42_qa_233,What is Joanna's favorite dish from the cooking show she hosted?,,Cannot answer,True,1
conv-42_qa_234,"What dessert did Nate share a photo of that has an almond flour crust, chocolate ganache, and fresh raspberries?",,Cannot answer,True,1
conv-42_qa_235,"What two main ingredients are part of the dessert Nate shared a photo of with blueberries, coconut milk, and a gluten-free crust?",,Cannot answer,True,1
conv-42_qa_236,"What movie did Joanna recently watch and enjoy on October 6, 2022?",,Cannot answer,True,1
conv-42_qa_237,What did Nate make for one of the ladies at his writing club?,,Cannot answer,True,1
conv-42_qa_238,"What game has Joanna been playing nonstop with a futuristic setting and gameplay on October 9, 2022?",,Cannot answer,True,1
conv-42_qa_239,How did Nate describe the classic movie he watched?,,Cannot answer,True,1
conv-42_qa_240,What does Nate recommend to make a living room comfy like his?,,Cannot answer,True,1
conv-42_qa_241,What helps Joanna stay distracted and brings her sadness?,,Cannot answer,True,1
conv-42_qa_242,What does Nate do while he writes?,,Cannot answer,True,1
conv-42_qa_243,What does Nate do after receiving a rejection from a production company?,,Cannot answer,True,1
conv-42_qa_244,What does Joanna rely on for cheer and joy?,,Tilly,False,0
conv-42_qa_245,What does Nate use to remember his dog from Michigan?,,Cannot answer,True,1
conv-42_qa_246,What inspires Joanna to create music for her characters?,,Cannot answer,True,1
conv-42_qa_247,What type of diet do Joanna's turtles have?,,Cannot answer,True,1
conv-42_qa_248,What did Nate find in old notebooks last week that prompted him to reflect on her progress as a writer?,,Cannot answer,True,1
conv-42_qa_249,"What game is Joanna currently playing and recommends to others on November 7, 2022?",,Cannot answer,True,1
conv-42_qa_250,What did Nate receive from his brother that brought back childhood memories?,,Cannot answer,True,1
conv-42_qa_251,"What is the type of game ""Xenoblade Chronicles"" that Joanna is playing?",,Cannot answer,True,1
conv-42_qa_252,"What project is Nate working on in his notebook on November 9, 2022?",,Cannot answer,True,1
conv-42_qa_253,"What is Joanna creating for YouTube on 9 November, 2022?",,Cannot answer,True,1
conv-42_qa_254,What inspired Joanna to start making gaming videos?,,Cannot answer,True,1
conv-42_qa_255,What new content is Nate creating for television?,,Cannot answer,True,1
conv-42_qa_256,What did Nate take a picture of near Fort Wayne last summer?,,Cannot answer,True,1
conv-42_qa_257,Why did Joanna get a third turtle?,,Cannot answer,True,1
conv-42_qa_258,What did Joanna take to the beach in Tampa?,,Cannot answer,True,1
conv-42_qa_259,What does Joanna love most about having turtles?,,Cannot answer,True,1
conv-43_qa_178,"Which team did Tim sign with on 21 May, 2023?",,Cannot answer,True,1
conv-43_qa_179,What is Tim's position on the team he signed with?,,Cannot answer,True,1
conv-43_qa_180,What challenge did Tim encounter during pre-season training?,,Cannot answer,True,1
conv-43_qa_181,What cult did Tim join recently?,,Cannot answer,True,1
conv-43_qa_182,What was the highest number of points Tim scored in a game recently?,,Cannot answer,True,1
conv-43_qa_183,What did Tim celebrate at a restaurant with teammates?,,Cannot answer,True,1
conv-43_qa_184,What kind of deals did Tim sign with Nike and Gatorade?,,Cannot answer,True,1
conv-43_qa_185,How does Tim feel while surfing?,,Cannot answer,True,1
conv-43_qa_186,What kind of articles has John been writing about for the online magazine?,,Cannot answer,True,1
conv-43_qa_187,Which two mystery novels does Tim particularly enjoy writing about?,,Cannot answer,True,1
conv-43_qa_188,What did Anthony and Tim end up playing during the charity event?,,Cannot answer,True,1
conv-43_qa_189,How did Tim get introduced to basketball?,,Cannot answer,True,1
conv-43_qa_190,What is Tim's number one goal in his basketball career?,,Cannot answer,True,1
conv-43_qa_191,What organization is Tim teaming up with for his charity work?,,Cannot answer,True,1
conv-43_qa_192,What did Tim's teammates give him when they met on Aug 15th?,,Cannot answer,True,1
conv-43_qa_193,Why did John's teammates sign the football they gave him?,,To show their friendship and appreciation.,False,0
conv-43_qa_194,What is the main intention behind John wanting to attend the book conference?,,Cannot answer,True,1
conv-43_qa_195,What new activity has John started learning in August 2023?,,Cannot answer,True,1
conv-43_qa_196,"What special memory does ""Fifty Shades of Grey"" bring to Tim?",,Cannot answer,True,1
conv-43_qa_197,Which movie does John mention they enjoy watching during Thanksgiving?,,Cannot answer,True,1
conv-43_qa_198,What tradition does Tim mention they love during Halloween?,,Cannot answer,True,1
conv-43_qa_199,How long did Tim and his high school basketball teammates play together?,,Cannot answer,True,1
conv-43_qa_200,How was Tim's experience in New York City?,,Cannot answer,True,1
conv-43_qa_201,What spice did Tim add to the soup for flavor?,,Cannot answer,True,1
conv-43_qa_202,What is Tim excited to see at Disneyland?,,Cannot answer,True,1
conv-43_qa_203,Where are John and his teammates planning to avoid on a team trip?,,Cannot answer,True,1
conv-43_qa_204,What does Tim want to do after his basketball career?,,Cannot answer,True,1
conv-43_qa_205,What type of venue did John and his girlfriend choose for their breakup?,,Cannot answer,True,1
conv-43_qa_206,What passion does John mention connects him with people from all over the world?,,Cannot answer,True,1
conv-43_qa_207,How does Tim say his team handles tough opponents?,,Cannot answer,True,1
conv-43_qa_208,Where did Tim capture the painting of the sunset over the mountain range?,,Cannot answer,True,1
conv-43_qa_209,What does Tim find rewarding about mentoring the younger players?,,Cannot answer,True,1
conv-43_qa_210,What has Tim been able to help the younger players achieve?,,Cannot answer,True,1
conv-43_qa_211,What genre is the novel that John is writing?,,Cannot answer,True,1
conv-43_qa_212,Who is one of Tim's sources of inspiration for painting?,,Cannot answer,True,1
conv-43_qa_213,What does Tim write on the whiteboard to help him stay motivated?,,Cannot answer,True,1
conv-43_qa_214,What hobby is a therapy for Tim when away from the court?,,Cannot answer,True,1
conv-43_qa_215,What type of meal does Tim often cook using a slow cooker?,,Cannot answer,True,1
conv-43_qa_216,How will Tim share the honey garlic chicken recipe with the other person?,,Cannot answer,True,1
conv-43_qa_217,"What is one of Tim's favorite crime TV shows, as mentioned on November 11, 2023?",,Cannot answer,True,1
conv-43_qa_218,"What was the setback Tim faced in his coding project on 21 November, 2023?",,Cannot answer,True,1
conv-43_qa_219,How did Tim overcome his ankle injury from last season?,,Cannot answer,True,1
conv-43_qa_220,What motivated John to keep pushing himself to get better in writing and reading?,,Cannot answer,True,1
conv-43_qa_221,How did Tim overcome a mistake he made during a big game in basketball?,,Cannot answer,True,1
conv-43_qa_222,What is Tim trying out to improve his strength and flexibility after recovery from ankle injury?,,Cannot answer,True,1
conv-43_qa_223,What did John recently start learning in addition to being part of a travel club and working on studies?,,Cannot answer,True,1
conv-43_qa_224,What instrument is John learning to play in December 2023?,,Cannot answer,True,1
conv-43_qa_225,"How long has John been playing the piano for, as of December 2023?",,Cannot answer,True,1
conv-43_qa_226,"What movie did Tim just finish watching on 8th December, 2023?",,A Dance with Dragons,False,0
conv-43_qa_227,What kind of game did Tim have a career-high in assists in?,,Cannot answer,True,1
conv-43_qa_228,What was Tim's way of dealing with doubts and stress when he was younger?,,Cannot answer,True,1
conv-43_qa_229,Where was the photoshoot done for John's fragrance deal?,,Cannot answer,True,1
conv-43_qa_230,In which area has Tim's team seen the most growth during training?,,communication and bonding,False,0
conv-43_qa_231,What type of seminars is Tim conducting?,,Cannot answer,True,1
conv-43_qa_232,What is one cause that John opposes with his influence and resources?,,Cannot answer,True,1
conv-43_qa_233,What new fantasy TV series is John excited about?,,Cannot answer,True,1
conv-43_qa_234,Which language is John learning?,,Spanish,False,0
conv-43_qa_235,"According to John, who is his least favorite character from Lord of the Rings?",,Cannot answer,True,1
conv-43_qa_236,Why does Tim like Aragorn from Lord of the Rings?,,Cannot answer,True,1
conv-43_qa_237,What kind of painting does Tim have in his room as a reminder?,,Cannot answer,True,1
conv-43_qa_238,What is the sculpture of Aragorn a reminder for John to be in everything he does?,,Cannot answer,True,1
conv-43_qa_239,Which city in Ireland will John be staying in during his semester abroad?,,Cannot answer,True,1
conv-43_qa_240,What charity event did Tim organize recently in 2024?,,Cannot answer,True,1
conv-43_qa_241,What was Tims's reaction to sealing the deal with the beverage company?,,Cannot answer,True,1
conv-44_qa_123,Which specific type of bird mesmerizes Audrey?,,hummingbird,False,0
conv-44_qa_124,What kind of flowers does Andrew have a tattoo of?,,Cannot answer,True,1
conv-44_qa_125,What type of dog was Audrey looking to adopt based on her living space?,,Cannot answer,True,1
conv-44_qa_126,Why did Audrey sign up for a workshop about car maintenance?,,Cannot answer,True,1
conv-44_qa_127,How did Andrew hear about the workshop on bonding with pets?,,Cannot answer,True,1
conv-44_qa_128,What type of training was the workshop Andrew signed up for in May 2023?,,Cannot answer,True,1
conv-44_qa_129,How did Andrew describe the dog he met at the pet store?,,Cannot answer,True,1
conv-44_qa_130,What challenge is Audrey facing in their search for a pet?,,Cannot answer,True,1
conv-44_qa_131,What indoor activities does Andrew plan on trying after the rock climbing class?,,Cannot answer,True,1
conv-44_qa_132,"What did Andrew set up in the backyard for their dogs on June 26, 2023?",,Cannot answer,True,1
conv-44_qa_133,"What did Audrey and her GF do on the Monday before July 24, 2023?",,Cannot answer,True,1
conv-44_qa_134,What is the name of Andrew's childhood dog?,,Cannot answer,True,1
conv-44_qa_135,"What special memories does Andrew have with his childhood dog, Max?",,Cannot answer,True,1
conv-44_qa_136,What are some of the personalities of Andrew's four fur babies?,,Cannot answer,True,1
conv-44_qa_137,"What type of classes did Andrew start with his pups recently on 4 August, 2023?",,Cannot answer,True,1
conv-44_qa_138,What is essential to keep the dogs looking good according to Andrew?,,Cannot answer,True,1
conv-44_qa_139,What did Audrey organize with the neighbors' cats?,,Cannot answer,True,1
conv-44_qa_140,What did Andrew do to give his dogs extra comfort as the weather cooled down?,,Cannot answer,True,1
conv-44_qa_141,How does Andrew describe the new beds for his dogs?,,Cannot answer,True,1
conv-44_qa_142,How did Andrew calm down his dog after the leash incident?,,Cannot answer,True,1
conv-44_qa_143,How often does Andrew take his dogs for walks?,,Cannot answer,True,1
conv-44_qa_144,What kind of vegetables does Audrey take care of?,,Cannot answer,True,1
conv-44_qa_145,What did Andrew learn from reading books about economic systems?,,Cannot answer,True,1
conv-44_qa_146,What was the reason Andrew couldn't walk his dogs for a period of time?,,Cannot answer,True,1
conv-44_qa_147,What type of jewelry does Andrew make?,,Cannot answer,True,1
conv-44_qa_148,Why does Andrew make jewelry out of recycled objects?,,Cannot answer,True,1
conv-44_qa_149,What type of games do Andrew's dogs like to play at the park?,,Cannot answer,True,1
conv-44_qa_150,What did Andrew make to thank his neighbors?,,Cannot answer,True,1
conv-44_qa_151,How do Andrew's dogs react to snow?,,Cannot answer,True,1
conv-44_qa_152,How does Andrew describe his dogs' response to snow?,,Cannot answer,True,1
conv-44_qa_153,What kind of experiences are Audrey's cats the best companions for?,,Cannot answer,True,1
conv-44_qa_154,What activity do Audrey and Buddy enjoy doing together?,,Cannot answer,True,1
conv-44_qa_155,What type of drink did Andrew recently try at a new spot in town?,,Cannot answer,True,1
conv-44_qa_156,Which type of pizza did Audrey suggest trying first to someone new to Italian cuisine?,,Cannot answer,True,1
conv-44_qa_157,How often does Andrew meet up with other dog owners for tips and playdates?,,Cannot answer,True,1
conv-47_qa_150,What did John adopt in April 2022?,,Cannot answer,True,1
conv-47_qa_151,What is the name of the kitten that was adopted by James?,,Cannot answer,True,1
conv-47_qa_152,What inspired John to create the game character in the virtual world?,,Cannot answer,True,1
conv-47_qa_153,Which country did John visit in 2021?,,Cannot answer,True,1
conv-47_qa_154,What kind of assignment was giving James a hard time at work?,,Cannot answer,True,1
conv-47_qa_155,What did James and his friends do with the remaining money after helping the dog shelter?,,Cannot answer,True,1
conv-47_qa_156,What was the main goal of the money raised from the political campaign organized by John and his friends in May 2022?,,Cannot answer,True,1
conv-47_qa_157,What did the system John created help the illegal organization with?,,Cannot answer,True,1
conv-47_qa_158,What did James create for the charitable foundation that helped generate reports for analysis?,,Cannot answer,True,1
conv-47_qa_159,Who does James support in cricket matches?,,Cannot answer,True,1
conv-47_qa_160,What is Max good at doing according to John?,,Cannot answer,True,1
conv-47_qa_161,Will there be a background check required to volunteer with the organization James volunteered for?,,Cannot answer,True,1
conv-47_qa_162,"How did James relax in his free time on 9 July, 2022?",,surfing,False,0
conv-47_qa_163,"What new hobby did John become interested in on 9 July, 2022?",,Cannot answer,True,1
conv-47_qa_164,When did John plan to return from his trip to Toronto and Vancouver?,,Cannot answer,True,1
conv-47_qa_165,What made James leave his IT job?,,Cannot answer,True,1
conv-47_qa_166,Which game tournaments does James plan to organize besides CS:GO?,,Cannot answer,True,1
conv-47_qa_167,What happened to James's kitten during the recent visit to the clinic?,,Cannot answer,True,1
conv-47_qa_168,"What aspect of ""The Witcher 3"" does John find boring?",,Cannot answer,True,1
conv-47_qa_169,What is John planning to do after receiving Samantha's phone number?,,Cannot answer,True,1
conv-47_qa_170,What has James been teaching his siblings?,,Cannot answer,True,1
conv-47_qa_171,How much does James pay per dance class?,,Cannot answer,True,1
conv-47_qa_172,What did James learn to make in the chemistry class besides omelette and meringue?,,Cannot answer,True,1
conv-47_qa_173,Why did James sign up for a ballet class?,,Cannot answer,True,1
conv-47_qa_174,What did John prepare for the first time in the cooking class?,,Cannot answer,True,1
conv-47_qa_175,What is the name of the board game James tried in September 2022?,,Cannot answer,True,1
conv-47_qa_176,Where does John get his ideas from?,,Cannot answer,True,1
conv-47_qa_177,What did James use to play when he was younger to let off steam?,,Cannot answer,True,1
conv-47_qa_178,What does James do to stay informed and constantly learn about game design?,,Cannot answer,True,1
conv-47_qa_179,What kind of gig was James offered at the game dev non-profit organization?,,Cannot answer,True,1
conv-47_qa_180,What does James feel about starting the journey as a programming mentor for game developers?,,Cannot answer,True,1
conv-47_qa_181,What inspired James to create his painting?,,Cannot answer,True,1
conv-47_qa_182,"What games were played at the gaming tournament organized by James on 31 October, 2022?",,Cannot answer,True,1
conv-47_qa_183,"What was the purpose of the gaming tournament organized by James on 31 October, 2022?",,Cannot answer,True,1
conv-47_qa_184,"What decision did John and Samantha make on 31 October, 2022?",,Cannot answer,True,1
conv-47_qa_185,"Where did John and Samantha decide to live together on 31 October, 2022?",,Cannot answer,True,1
conv-47_qa_186,Why did John and Samantha choose an apartment near McGee's bar?,,Cannot answer,True,1
conv-47_qa_187,"What game is James hooked on playing on 5 November, 2022?",,Cannot answer,True,1
conv-47_qa_188,"What project did James work on with a game developer by 7 November, 2022?",,Cannot answer,True,1
conv-47_qa_189,What is the name of James's cousin's dog?,,Cannot answer,True,1
conv-48_qa_191,What are the names of Deborah's snakes?,,Cannot answer,True,1
conv-48_qa_192,What are Deborah's favorite books?,,Cannot answer,True,1
conv-48_qa_193,Where did Deborah get her dogs?,,Cannot answer,True,1
conv-48_qa_194,How old are Jolene's cats?,,Cannot answer,True,1
conv-48_qa_195,When did Deborah's parents give her first console?,,Cannot answer,True,1
conv-48_qa_196,When did Jolene release her pet snake?,,Cannot answer,True,1
conv-48_qa_197,Where did Jolene meet her new friend Anna?,,Cannot answer,True,1
conv-48_qa_198,"What is Deborah's favorite book which she mentioned on 4 February, 2023?",,Cannot answer,True,1
conv-48_qa_199,"What cool stuff did Deborah accomplish at the retreat on 9 February, 2023?",,Cannot answer,True,1
conv-48_qa_200,How does Deborah plan to involve local engineers in her idea of teaching STEM to underprivileged kids?,,Cannot answer,True,1
conv-48_qa_201,What gave Deborah anxiety in the garden she visited?,,Cannot answer,True,1
conv-48_qa_202,Why did Jolene spend time in the garden?,,Cannot answer,True,1
conv-48_qa_203,How did Jolene and her rival initially meet?,,Cannot answer,True,1
conv-48_qa_204,What activity does Jolene incorporate into her daily routine after going for a morning jog in the park?,,Cannot answer,True,1
conv-48_qa_205,What method does Jolene suggest Deborah to try for organizing tasks based on importance and urgency?,,Cannot answer,True,1
conv-48_qa_206,How does Jolene plan to pursue her dream of climbing mountains?,,Cannot answer,True,1
conv-48_qa_207,Who are the authors mentioned by Jolene that she enjoys reading during her yoga practice?,,Cannot answer,True,1
conv-48_qa_208,"Which show did Jolene go to with a friend on 9 April, 2023?",,Cannot answer,True,1
conv-48_qa_209,What does Deborah find comforting about going to horror movie screenings?,,Cannot answer,True,1
