qa_id,P3_frozen,P4_repl2,same
conv-26_qa_62,"28 August, 2023","28 August, 2023",True
conv-26_qa_63,Cannot answer,Cannot answer,True
conv-26_qa_64,Yes,Yes,True
conv-26_qa_65,Cannot answer,Cannot answer,True
conv-26_qa_66,Cannot answer,Cannot answer,True
conv-26_qa_67,Cannot answer,Cannot answer,True
conv-26_qa_68,Seven years now,Seven years now,True
conv-26_qa_69,Cannot answer,Cannot answer,True
conv-26_qa_7,Cannot answer,Cannot answer,True
conv-26_qa_70,"Transgender poetry reading, transgender conference, LGBTQ co","Transgender poetry reading, transgender conference, LGBTQ co",True
conv-26_qa_71,Cannot answer,Cannot answer,True
conv-26_qa_72,Cannot answer,Cannot answer,True
conv-26_qa_73,Cannot answer,Cannot answer,True
conv-26_qa_74,Cannot answer,Cannot answer,True
conv-26_qa_75,Cannot answer,Cannot answer,True
conv-26_qa_76,Cannot answer,Cannot answer,True
conv-26_qa_77,Cannot answer,Cannot answer,True
conv-26_qa_78,Cannot answer,Cannot answer,True
conv-26_qa_79,Cannot answer,"22 October, 2023",False
conv-26_qa_8,"9 June, 2023",Cannot answer,False
conv-26_qa_80,Cannot answer,Cannot answer,True
conv-26_qa_81,Cannot answer,Cannot answer,True
conv-26_qa_82,mental health,mental health,True
conv-26_qa_83,Self-care is really important.,Self-care is really important.,True
conv-26_qa_84,Cannot answer,Cannot answer,True
conv-26_qa_85,Cannot answer,Cannot answer,True
conv-26_qa_86,LGBTQ+ folks,LGBTQ+ folks,True
conv-26_qa_87,They help LGBTQ+ folks with adoption.,They help LGBTQ+ folks with adoption.,True
conv-26_qa_88,Cannot answer,Cannot answer,True
conv-26_qa_89,Cannot answer,Amazing.,False
conv-26_qa_9,Cannot answer,Cannot answer,True
conv-26_qa_90,Cannot answer,Cannot answer,True
conv-26_qa_91,"love, faith and strength","love, faith and strength",True
conv-26_qa_92,Sweden,Sweden,True
conv-26_qa_93,necklace,A necklace,False
conv-26_qa_94,Cannot answer,Cannot answer,True
conv-26_qa_95,"Roasted marshmallows, told stories around the campfire, expl","roasted marshmallows, told stories around the campfire, expl",False
conv-26_qa_96,working with trans people,Working with trans people.,False
conv-26_qa_97,LGBTQ+ counseling workshop,LGBTQ+ counseling workshop,True
conv-26_qa_98,Cannot answer,Cannot answer,True
conv-26_qa_99,Her own journey and the support she got.,Her own journey and the support she got.,True
conv-30_qa_0,"20 January, 2023","20 January, 2023",True
conv-30_qa_1,Cannot answer,"20 January, 2023",False
conv-30_qa_10,Cannot answer,"9:32 am on 8 February, 2023",False
conv-30_qa_11,Cannot answer,Cannot answer,True
conv-30_qa_12,Cannot answer,Cannot answer,True
conv-30_qa_13,Cannot answer,"16 March, 2023",False
conv-30_qa_14,Cannot answer,Cannot answer,True
conv-30_qa_15,Cannot answer,Cannot answer,True
conv-30_qa_16,Cannot answer,Cannot answer,True
conv-30_qa_17,Cannot answer,Cannot answer,True
conv-30_qa_18,Yes,Yes,True
conv-30_qa_19,Cannot answer,Cannot answer,True
conv-30_qa_2,Dance,Dance,True
conv-30_qa_20,Cannot answer,Cannot answer,True
conv-30_qa_21,Cannot answer,Cannot answer,True
conv-30_qa_22,Cannot answer,Cannot answer,True
conv-30_qa_23,"Working with fashion bloggers and influencers, and doing mor","Working with fashion bloggers and influencers, and doing mor",True
conv-30_qa_24,"networking events, a fair, an event","networking events, a fair, an event",True
conv-30_qa_25,"Dance classes, workshops, and one-on-one mentoring and train","Dance classes, workshops, and one-on-one mentoring and train",True
conv-30_qa_26,Cannot answer,Cannot answer,True
conv-30_qa_27,Cannot answer,Cannot answer,True
conv-30_qa_28,Cannot answer,Cannot answer,True
conv-30_qa_29,"Paris, Rome","Paris, Rome",True
conv-30_qa_3,Cannot answer,Cannot answer,True
conv-30_qa_30,Cannot answer,Cannot answer,True
conv-30_qa_31,Cannot answer,Cannot answer,True
conv-30_qa_32,Cannot answer,Cannot answer,True
conv-30_qa_33,Cannot answer,"21 June, 2023",False
conv-30_qa_34,Cannot answer,Cannot answer,True
conv-30_qa_35,"9 July, 2023","9 July, 2023",True
conv-30_qa_36,Cannot answer,Cannot answer,True
conv-30_qa_37,"6:46 pm on 23 July, 2023","6:46 pm on 23 July, 2023",True
conv-30_qa_38,Last Friday,Last Friday,True
conv-30_qa_39,Contemporary dance,Contemporary dance,True
conv-30_qa_4,He is passionate about dancing and wants to share it with ot,He is passionate about dancing and wants to share it with ot,True
conv-30_qa_40,contemporary,Contemporary,False
conv-30_qa_41,When my team won first place at a regionals at age fifteen.,When her team won first place at a regionals at age fifteen.,False
conv-30_qa_42,"contemporary piece called ""Finding Freedom""","contemporary piece called ""Finding Freedom""",True
conv-30_qa_43,Cannot answer,Cannot answer,True
conv-30_qa_44,Cannot answer,Cannot answer,True
conv-30_qa_45,Cannot answer,Cannot answer,True
conv-30_qa_46,Marley flooring,Marley flooring,True
conv-30_qa_47,A wholesaler who replied yes.,Cannot answer,False
conv-30_qa_48,a cozy and inviting space,a space,False
conv-30_qa_49,Like they're in a cool oasis.,cool oasis,False
conv-30_qa_5,Cannot answer,Cannot answer,True
conv-30_qa_50,Cannot answer,Cannot answer,True
conv-30_qa_51,She wanted the place to look like her own style and make cus,She wanted to make the place look like her own style and mak,False
conv-30_qa_52,That's a great goal! Creating a special experience for custo,That's a great goal! Creating a special experience for custo,True
conv-30_qa_53,Creating an experience that'll make 'em wanna come back.,Making my spot comfortable and inviting for my customers is ,False
conv-30_qa_54,Great.,Going good.,False
conv-30_qa_55,freedom - dancing without worrying what people think,freedom - dancing without worrying what people think,True
conv-30_qa_56,Cannot answer,Cannot answer,True
conv-30_qa_57,Stay motivated by reminding yourself of successes and progre,Stay motivated by reminding yourself of successes and progre,False
conv-30_qa_58,Cannot answer,Cannot answer,True
conv-30_qa_59,She is passionate about dance and fashion.,She is passionate about dance and fashion.,True
conv-30_qa_6,Cannot answer,next month,False
conv-30_qa_60,Happy,happy,False
conv-30_qa_61,a trophy,a trophy,True
conv-30_qa_62,She reminds herself of her successes and progress and has a ,She reminds herself of her successes and progress.,False
conv-30_qa_63,Cannot answer,fashion internship,False
conv-30_qa_64,Cannot answer,Cannot answer,True
conv-30_qa_65,The Lean Startup,The Lean Startup,True
conv-30_qa_66,one-on-one mentoring and training,one-on-one mentoring and training,True
conv-30_qa_67,Cannot answer,Cannot answer,True
conv-30_qa_68,quit,quit,True
conv-30_qa_69,Cannot answer,Cannot answer,True
conv-30_qa_7,"2:32 pm on 29 January, 2023","2:32 pm on 29 January, 2023",True
conv-30_qa_70,a dance studio,a dance studio,True
conv-30_qa_71,Cannot answer,amazing,False
conv-30_qa_72,Cannot answer,Cannot answer,True
conv-30_qa_73,magical,magical,True
conv-30_qa_74,Cannot answer,Cannot answer,True
conv-30_qa_75,Cannot answer,Cannot answer,True
conv-30_qa_76,Positive,Positive,True
conv-30_qa_77,Cannot answer,hoodie,False
conv-30_qa_78,Loving what you do and bringing joy to others.,Loving what you do and bringing joy to others,False
conv-30_qa_8,"29 January, 2023","29 January, 2023",True
conv-30_qa_80,"Sprucing up his biz plan, tweaking his pitch, and working on","Sprucing up his biz plan, tweaking his pitch to investors, a",False
conv-30_qa_81,Let's create some cool content and manage your social media ,Let's create some cool content and manage your social media ,True
conv-30_qa_9,Cannot answer,Cannot answer,True
conv-41_qa_0,Cannot answer,Cannot answer,True
conv-41_qa_1,yesterday,"22 December, 2022",False
conv-41_qa_10,"8:55 pm on 25 February, 2023","25 February, 2023",False
conv-41_qa_100,heartwarming,heartwarming,True
conv-41_qa_101,a fundraiser,a fundraiser,True
conv-41_qa_102,the chili cook-off,chili cook-off,False
conv-41_qa_103,Max,Max,True
conv-41_qa_104,10 years,10 years,True
conv-41_qa_105,Cannot answer,Cannot answer,True
conv-41_qa_106,responsibility and compassion,responsibility and compassion,True
conv-41_qa_107,Cannot answer,Cannot answer,True
conv-41_qa_108,I felt like I was in a fairy tale!,I felt like I was in a fairy tale!,True
conv-41_qa_109,free and light,free and light,True
conv-41_qa_11,Cannot answer,Cannot answer,True
conv-41_qa_110,She joined a gym.,She joined a gym.,True
conv-41_qa_111,kundalini yoga,kundalini yoga,True
conv-41_qa_112,assistant manager,assistant manager,True
conv-41_qa_113,self-doubt,self-doubt,True
conv-41_qa_114,Support from loved ones is vital.,Support from loved ones is vital.,True
conv-41_qa_115,live music event,live music event,True
conv-41_qa_116,Cannot answer,Cannot answer,True
conv-41_qa_117,marching event for veterans' rights,marching event for veterans' rights,True
conv-41_qa_118,Cannot answer,Cannot answer,True
conv-41_qa_119,at least once a week,At least once a week.,False
conv-41_qa_12,Cannot answer,Cannot answer,True
conv-41_qa_120,flood,flood,True
conv-41_qa_121,Lots of homes were ruined.,Lots of homes were ruined.,True
conv-41_qa_122,Cannot answer,Cannot answer,True
conv-41_qa_123,Have dinner with some friends from the gym.,Have dinner with some friends from the gym.,True
conv-41_qa_124,charades and a scavenger hunt,Played games and ate yummy food.,False
conv-41_qa_125,He heard cool stories from an elderly veteran named Samuel.,hearing cool stories from an elderly veteran named Samuel,False
conv-41_qa_126,It made him appreciate what we have and the need to give bac,He heard cool stories from an elderly veteran named Samuel a,False
conv-41_qa_127,He heard cool stories from an elderly veteran named Samuel.,He heard cool stories from an elderly veteran named Samuel.,True
conv-41_qa_128,picnic,hiking,False
conv-41_qa_129,Trying new stuff is a great way to push yourself and mix thi,Cannot answer,False
conv-41_qa_13,Cannot answer,Cannot answer,True
conv-41_qa_130,kickboxing and circuit training,"kickboxing, circuit training, and weight training",False
conv-41_qa_131,Cannot answer,Cannot answer,True
conv-41_qa_132,She reached out to the shelter and asked if they needed volu,She reached out to the shelter and asked if they needed volu,True
conv-41_qa_133,Cannot answer,Cannot answer,True
conv-41_qa_134,Cannot answer,Cannot answer,True
conv-41_qa_135,Cannot answer,Cannot answer,True
conv-41_qa_136,Cannot answer,Cannot answer,True
conv-41_qa_137,He lost his job.,He lost his job.,True
conv-41_qa_138,community work,community work,True
conv-41_qa_139,He helped renovate a rundown community center.,He helped renovate a rundown community center.,True
conv-41_qa_14,Yes,Yes,True
conv-41_qa_140,veterans and their families,veterans and their families,True
conv-41_qa_141,a local organization,a local organization,True
conv-41_qa_142,a medal,a medal,True
conv-41_qa_143,Coco,Coco,True
conv-41_qa_144,Camping trip,Camping trip,True
conv-41_qa_145,a blast,Cannot answer,False
conv-41_qa_146,He feels he isn't making much of an impact.,He feels he is not making much of an impact.,False
conv-41_qa_147,Shadow,Shadow,True
conv-41_qa_148,The little one is doing great - learning commands and house ,doing great,False
conv-41_qa_149,mentor for a local school,mentor for a local school,True
conv-41_qa_15,"creative writing class, poetry class","creative writing class, poetry class",True
conv-41_qa_150,"Climbing, sliding, playing games, swinging, arts and crafts,","Climbing, sliding, playing games, swinging, arts and crafts,",False
conv-41_qa_151,a brand new fire truck,a brand new fire truck,True
conv-41_qa_16,Last week.,last week,False
conv-41_qa_17,Cannot answer,Cannot answer,True
conv-41_qa_18,Cannot answer,a colleague,False
conv-41_qa_19,Cannot answer,Cannot answer,True
conv-41_qa_2,"kickboxing, taekwondo",Cannot answer,False
conv-41_qa_20,Cannot answer,Cannot answer,True
conv-41_qa_21,"East Coast, Pacific Northwest","East Coast, Pacific Northwest",True
conv-41_qa_22,last month,Cannot answer,False
conv-41_qa_23,Cannot answer,peach cobbler,False
conv-41_qa_24,last month,last month,True
conv-41_qa_25,Cannot answer,"Spain, England",False
conv-41_qa_26,Joined a nearby church and bought a cross necklace.,Joined a nearby church and bought a cross necklace.,True
conv-41_qa_27,Cannot answer,Cannot answer,True
conv-41_qa_28,"veterans, education, and infrastructure",veterans,False
conv-41_qa_29,ring-toss tournament,Cannot answer,False
conv-41_qa_3,Cannot answer,Cannot answer,True
conv-41_qa_30,Cannot answer,Cannot answer,True
conv-41_qa_31,Cannot answer,Cannot answer,True
conv-41_qa_32,Cannot answer,Cannot answer,True
conv-41_qa_33,"aerial yoga, kundalini yoga","aerial yoga, kundalini yoga",True
conv-41_qa_34,Cannot answer,Cannot answer,True
conv-41_qa_35,Florida,Florida,True
conv-41_qa_36,"violin concert, live music event","violin concert, live music event",True
conv-41_qa_37,"Marching event, 5K charity run, small party.","Marching event, 5K charity run, small party.",True
conv-41_qa_38,Cannot answer,Cannot answer,True
conv-41_qa_39,Cannot answer,Cannot answer,True
conv-41_qa_4,Cannot answer,Cannot answer,True
conv-41_qa_40,Kyle,Kyle,True
conv-41_qa_41,Cannot answer,Cannot answer,True
conv-41_qa_42,Cannot answer,Cannot answer,True
conv-41_qa_43,last week,last week,True
conv-41_qa_44,"picnic, hiking, camping, community work","Picnic, hiking, community work, camping.",False
conv-41_qa_45,Cannot answer,Cannot answer,True
conv-41_qa_46,Cannot answer,Cannot answer,True
conv-41_qa_47,weight training,weight training,True
conv-41_qa_48,Last Sunday,Last Sunday,True
conv-41_qa_49,Cannot answer,Cannot answer,True
conv-41_qa_5,last month,Cannot answer,False
conv-41_qa_50,Cannot answer,Cannot answer,True
conv-41_qa_51,About a year ago.,about a year ago,False
conv-41_qa_52,Laura and Cindy,Laura and Cindy,True
conv-41_qa_53,Last year,Last year,True
conv-41_qa_54,Yesterday,Cannot answer,False
conv-41_qa_55,Cannot answer,Cannot answer,True
conv-41_qa_56,Cannot answer,Cannot answer,True
conv-41_qa_57,"veterans and their families, victims of domestic abuse","veterans and their families, victims of domestic abuse",True
conv-41_qa_58,Two weeks ago.,Two weeks ago.,True
conv-41_qa_59,Cannot answer,Cannot answer,True
conv-41_qa_6,At a volunteer event and at church.,Cannot answer,False
conv-41_qa_60,Shadow and Coco,Shadow and Coco,True
conv-41_qa_61,Cannot answer,Cannot answer,True
conv-41_qa_62,Cannot answer,Cannot answer,True
conv-41_qa_63,Cannot answer,Cannot answer,True
conv-41_qa_64,Cannot answer,Cannot answer,True
conv-41_qa_65,Improving education and infrastructure in our community.,improving education and infrastructure in our community,False
conv-41_qa_66,Cannot answer,Cannot answer,True
conv-41_qa_67,Cannot answer,Cannot answer,True
conv-41_qa_68,Cannot answer,Cannot answer,True
conv-41_qa_69,Cannot answer,Cannot answer,True
conv-41_qa_7,Cannot answer,Cannot answer,True
conv-41_qa_70,Pizza,Pizza,True
conv-41_qa_71,service-focused online group,A service-focused online group.,False
conv-41_qa_72,They went to a homeless shelter to give out food and supplie,They went to a homeless shelter to give out food and supplie,True
conv-41_qa_73,Her aunt,Her aunt,True
conv-41_qa_74,The little girl seemed sad and was sitting alone.,The little girl seemed sad and was sitting alone.,True
conv-41_qa_75,Cannot answer,Cannot answer,True
conv-41_qa_76,"After his last run, he saw the impact he could make in the c","After his last run, he saw the impact he could make in the c",True
conv-41_qa_77,beginner's yoga class,beginner's yoga class,True
conv-41_qa_78,Kyle,Kyle,True
conv-41_qa_79,a few times a week,a few times a week,True
conv-41_qa_8,Cannot answer,Cannot answer,True
conv-41_qa_80,a painting,a painting,True
conv-41_qa_81,London,London,True
conv-41_qa_82,Cannot answer,Cannot answer,True
conv-41_qa_83,Improving education and infrastructure.,education and infrastructure,False
conv-41_qa_84,a 5K charity run for a homeless shelter,a 5K charity run for a homeless shelter,True
conv-41_qa_85,career fair at a local school,career fair,False
conv-41_qa_86,His car broke down.,His car broke down.,True
conv-41_qa_87,Pacific Northwest,Pacific Northwest,True
conv-41_qa_88,politics and the government,politics and the government,True
conv-41_qa_89,Cannot answer,Cannot answer,True
conv-41_qa_9,Cannot answer,Cannot answer,True
conv-41_qa_90,politics and the government,politics and the government,True
conv-41_qa_91,Cannot answer,Cannot answer,True
conv-41_qa_92,a few times a week,a few times a week,True
conv-41_qa_93,"More energy, gains in strength and endurance.","More energy, gains in strength and endurance.",True
conv-41_qa_94,Cannot answer,Cannot answer,True
conv-41_qa_95,Made some dinner together.,Made some dinner together.,True
conv-41_qa_96,Joined a nearby church.,Joined a nearby church.,True
conv-41_qa_97,Cannot answer,Cannot answer,True
conv-41_qa_98,a small party,a small party,True
conv-41_qa_99,Cannot answer,Cannot answer,True
conv-43_qa_0,"Winning a championship, improving shooting, being a consiste","Winning a championship, improving shooting, being a consiste",True
conv-43_qa_1,"Making a difference through charity or inspiring people, and",charity or inspiring people,False
conv-43_qa_10,Cannot answer,Cannot answer,True
conv-43_qa_100,Four years.,Four years.,True
conv-43_qa_101,Amazing.,Amazing.,True
conv-43_qa_102,"Trust me, NYC is amazing!","Trust me, NYC is amazing!",True
conv-43_qa_103,Cannot answer,Cannot answer,True
conv-43_qa_104,sage,sage,True
conv-43_qa_105,Harry Potter stuff,Harry Potter stuff,True
conv-43_qa_106,Cannot answer,Cannot answer,True
conv-43_qa_107,Edinburgh,Edinburgh,True
conv-43_qa_108,Cannot answer,Cannot answer,True
conv-43_qa_109,Make sure they align with your values and brand.,Make sure they align with your values and brand.,True
conv-43_qa_11,Cannot answer,Cannot answer,True
conv-43_qa_110,a fantasy novel by Patrick Rothfuss,a fantasy novel by Patrick Rothfuss,True
conv-43_qa_111,greenhouse venue,greenhouse venue,True
conv-43_qa_112,A cozy restaurant.,a cozy restaurant,False
conv-43_qa_113,Cannot answer,Cannot answer,True
conv-43_qa_114,fantasy stuff,fantasy stuff,True
conv-43_qa_115,intense season with both tough losses and great wins,intense season with both tough losses and great wins,True
conv-43_qa_116,We back each other up and won't quit.,We back each other up and won't quit.,True
conv-43_qa_117,Facing tough opponents.,Facing tough opponents.,True
conv-43_qa_118,a trophy,a trophy,True
conv-43_qa_119,Cannot answer,Cannot answer,True
conv-43_qa_12,Cannot answer,Cannot answer,True
conv-43_qa_120,It feels great.,It feels great.,True
conv-43_qa_121,"Seeing their growth, improvement, and confidence.","Seeing their growth, improvement, and confidence.",True
conv-43_qa_122,"Their growth, improvement, and confidence.","growth, improvement, and confidence",False
conv-43_qa_123,fantasy,Cannot answer,False
conv-43_qa_124,Cannot answer,Cannot answer,True
conv-43_qa_125,"""Turn on the light - happiness hides in the darkest of times","""Turn on the light - happiness hides in the darkest of times",True
conv-43_qa_126,motivational quotes and strategies,motivational quotes and strategies,True
conv-43_qa_127,Cooking,cooking,False
conv-43_qa_128,Cannot answer,Cannot answer,True
conv-43_qa_129,Cannot answer,Cannot answer,True
conv-43_qa_13,Reads books.,Reads books.,True
conv-43_qa_130,got stuck on a plot twist,got stuck on a plot twist,True
conv-43_qa_131,a basketball signed by his favorite player,a basketball signed by his favorite player,True
conv-43_qa_132,Tim finds LeBron inspiring for his never-give-up attitude an,Tim finds LeBron inspiring because of his never-give-up atti,False
conv-43_qa_133,spectacular,spectacular,True
conv-43_qa_134,Cannot answer,Cannot answer,True
conv-43_qa_135,Cannot answer,writing and reading,False
conv-43_qa_136,Cannot answer,Cannot answer,True
conv-43_qa_137,"He tried writing a story based on his experiences in the UK,","He tried writing a story based on his experiences in the UK,",True
conv-43_qa_138,He stayed focused on his recovery and worked hard to strengt,He stayed focused on his recovery and worked hard to strengt,True
conv-43_qa_139,Remembering why he loves what he does.,"When things get tough, it's so important to remember why we ",False
conv-43_qa_14,Tim writes articles about fantasy novels.,Articles about fantasy novels.,False
conv-43_qa_140,He worked hard to get better.,He worked hard to get better.,True
conv-43_qa_141,The Alchemist,The Alchemist,True
conv-43_qa_142,It made him think again about following dreams and searching,It made him think again about following dreams and searching,False
conv-43_qa_143,yoga,yoga,True
conv-43_qa_144,30-60 seconds,30-60 seconds,True
conv-43_qa_145,near his hometown,a forest near my hometown,False
conv-43_qa_146,an instrument,an instrument,True
conv-43_qa_147,Violin,Violin,True
conv-43_qa_148,Cannot answer,About four months,False
conv-43_qa_149,A Dance with Dragons,A Dance with Dragons,True
conv-43_qa_15,Cannot answer,Cannot answer,True
conv-43_qa_150,A Dance with Dragons,A Dance with Dragons,True
conv-43_qa_151,Cannot answer,Cannot answer,True
conv-43_qa_152,Cannot answer,Cannot answer,True
conv-43_qa_153,practicing basketball outside for hours,Practicing basketball outside for hours.,False
conv-43_qa_154,Electric,electric,False
conv-43_qa_155,relief,It was a huge success.,False
conv-43_qa_156,Cannot answer,amazing deal with a renowned outdoor gear company,False
conv-43_qa_157,A gorgeous forest.,A gorgeous forest,False
conv-43_qa_158,communication and bonding,communication and bonding,True
conv-43_qa_159,Cannot answer,Cannot answer,True
conv-43_qa_16,Cannot answer,Cannot answer,True
conv-43_qa_160,Cannot answer,Cannot answer,True
conv-43_qa_161,youth sports,youth sports,True
conv-43_qa_162,The Wheel of Time,The Wheel of Time,True
conv-43_qa_163,German,German,True
conv-43_qa_164,Cannot answer,French,False
conv-43_qa_165,Cannot answer,Cannot answer,True
conv-43_qa_166,Cannot answer,Cannot answer,True
conv-43_qa_167,Aragorn,Aragorn,True
conv-43_qa_168,"Aragorn's brave, selfless, down-to-earth attitude inspired h","Aragorn's brave, selfless, down-to-earth attitude inspired h",True
conv-43_qa_169,Cannot answer,Cannot answer,True
conv-43_qa_17,Cannot answer,Cannot answer,True
conv-43_qa_170,a leader,Cannot answer,False
conv-43_qa_171,A map of Middle-earth from LOTR,A map of Middle-earth from LOTR,True
conv-43_qa_172,Ireland,Ireland,True
conv-43_qa_173,Galway,Galway,True
conv-43_qa_174,Cannot answer,benefit basketball game,False
conv-43_qa_175,Cannot answer,Cannot answer,True
conv-43_qa_176,It felt crazy.,It felt crazy.,True
conv-43_qa_177,Barcelona,Barcelona,True
