qa_id,P3_prediction,P4_prediction,same_prediction,P3_rF1,P4_rF1,same_rF1,P3_rEM,P4_rEM,P3_WrongAbst,P4_WrongAbst
conv-26_qa_15,"Running, reading, playing violin, hiking, pottery, painting, family camping.","Running, reading, playing violin, hiking, pottery, painting, family camping.",True,0.4615384615,0.461538,True,0.0,0.0,0.0,0
conv-26_qa_150,Great,Great,True,0.0,0.0,True,0.0,0.0,0.0,0
conv-26_qa_151,camping,camping,True,0.0,0.0,True,0.0,0.0,0.0,0
conv-26_qa_16,yesterday,yesterday,True,0.0,0.0,True,0.0,0.0,0.0,0
conv-26_qa_17,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_18,"mountains, forest","mountains, forest",True,0.8,0.8,True,0.0,0.0,0.0,0
conv-26_qa_19,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_2,Counseling or mental health.,counseling or mental health,False,0.2857142857,0.285714,True,0.0,0.0,0.0,0
conv-26_qa_20,Cannot answer,"6 July, 2023",False,0.0,0.666667,False,0.0,0.0,1.0,0
conv-26_qa_21,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_22,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_23,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_24,Running.,Running,False,0.6666666667,0.666667,True,0.0,0.0,0.0,0
conv-26_qa_25,Cannot answer,"12 July, 2023",False,0.0,0.666667,False,0.0,0.0,1.0,0
conv-26_qa_26,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_27,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_28,Last Friday,Last Friday,True,0.2857142857,0.285714,True,0.0,0.0,0.0,0
conv-26_qa_29,Last Fri,"Last Fri (15 July, 2023)",False,0.0,0.6,False,0.0,0.0,0.0,0
conv-26_qa_3,adoption agencies,adoption agencies,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_30,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_31,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_32,"LGBTQ+ pride parade, LGBTQ support group, mentorship program for LGBTQ youth, LG","LGBTQ+ pride parade, LGBTQ support group, mentorship program for LGBTQ youth, LG",True,0.347826087,0.347826,True,0.0,0.0,0.0,0
conv-26_qa_33,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_34,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_35,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_36,Last weekend,Last weekend,True,0.2857142857,0.285714,True,0.0,0.0,0.0,0
conv-26_qa_37,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_38,"Played games, ate good food, hung out, camping trip, roasted marshmallows, told ","Played games, ate good food, hung out, camping trip, roasted marshmallows, told ",False,0.0952380952,0.095238,True,0.0,0.0,0.0,0
conv-26_qa_39,"Joining a mentorship program, attending a pride parade, joining an activist grou","Joining a mentorship program, attending a pride parade, joining an activist grou",True,0.5,0.5,True,0.0,0.0,0.0,0
conv-26_qa_4,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_40,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_41,last Tues,last Tues,True,0.0,0.0,True,0.0,0.0,0.0,0
conv-26_qa_42,national park,Cannot answer,False,0.5714285714,0.0,False,0.0,0.0,0.0,1
conv-26_qa_43,Cannot answer,Paintings,False,0.0,0.0,True,0.0,0.0,1.0,0
conv-26_qa_44,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_45,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_46,Yes,Yes,True,0.4,0.4,True,0.0,0.0,0.0,0
conv-26_qa_47,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_48,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_49,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_5,"25 May, 2023",last Saturday,False,0.75,0.0,False,0.0,0.0,0.0,0
conv-26_qa_50,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_51,lake sunrise,lake sunrise,True,0.4,0.4,True,0.0,0.0,0.0,0
conv-26_qa_52,Luna and Oliver,"Luna, Oliver, and Bailey",False,0.6666666667,0.857143,False,0.0,0.0,0.0,0
conv-26_qa_53,"23 August, 2023","23 August, 2023",True,0.75,0.75,True,0.0,0.0,0.0,0
conv-26_qa_54,last week,Last week.,False,0.2857142857,0.285714,True,0.0,0.0,0.0,0
conv-26_qa_55,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_56,The rainbow flag mural and the eagle.,"Necklace, rainbow flag mural, eagle, painting.",False,0.4444444444,0.4,False,0.0,0.0,0.0,0
conv-26_qa_57,"17 August, 2023","17 August, 2023",True,0.5,0.5,True,0.0,0.0,0.0,0
conv-26_qa_58,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_59,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_6,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_60,clarinet and violin,"clarinet, violin",False,1.0,0.8,False,1.0,0.0,0.0,0
conv-26_qa_61,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_62,"28 August, 2023","28 August, 2023",True,0.6666666667,0.666667,True,0.0,0.0,0.0,0
conv-26_qa_63,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_64,Yes,Yes,True,0.3333333333,0.333333,True,0.0,0.0,0.0,0
conv-26_qa_65,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_66,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_67,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_68,Seven years now,Seven years now,True,0.0,0.0,True,0.0,0.0,0.0,0
conv-26_qa_69,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_7,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_70,"Transgender poetry reading, transgender conference, LGBTQ conference, LGBTQ+ cou","Transgender poetry reading, transgender conference, LGBTQ conference, LGBTQ+ cou",True,0.4615384615,0.461538,True,0.0,0.0,0.0,0
conv-26_qa_71,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_72,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_73,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_74,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_75,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_76,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_77,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_78,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_79,Cannot answer,"22 October, 2023",False,0.0,0.75,False,0.0,0.0,1.0,0
conv-26_qa_8,"9 June, 2023",Cannot answer,False,0.75,0.0,False,0.0,0.0,0.0,1
conv-26_qa_80,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_81,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_82,mental health,mental health,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_83,Self-care is really important.,Self-care is really important.,True,0.8888888889,0.888889,True,0.0,0.0,0.0,0
conv-26_qa_84,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_85,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_86,LGBTQ+ folks,LGBTQ+ folks,True,0.5,0.5,True,0.0,0.0,0.0,0
conv-26_qa_87,They help LGBTQ+ folks with adoption.,They help LGBTQ+ folks with adoption.,True,0.1333333333,0.133333,True,0.0,0.0,0.0,0
conv-26_qa_88,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_89,Cannot answer,Amazing.,False,0.0,0.153846,False,0.0,0.0,1.0,0
conv-26_qa_9,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_90,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_91,"love, faith and strength","love, faith and strength",True,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_92,Sweden,Sweden,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_93,necklace,A necklace,False,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_94,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_95,"Roasted marshmallows, told stories around the campfire, explored nature, and wen","roasted marshmallows, told stories around the campfire, explored nature, went on",False,0.8,0.736842,False,0.0,0.0,0.0,0
conv-26_qa_96,working with trans people,Working with trans people.,False,0.4705882353,0.470588,True,0.0,0.0,0.0,0
conv-26_qa_97,LGBTQ+ counseling workshop,LGBTQ+ counseling workshop,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_98,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_99,Her own journey and the support she got.,Her own journey and the support she got.,True,0.6,0.6,True,0.0,0.0,0.0,0
conv-30_qa_0,"20 January, 2023","20 January, 2023",True,0.6666666667,0.666667,True,0.0,0.0,0.0,0
conv-30_qa_1,Cannot answer,"20 January, 2023",False,0.0,0.8,False,0.0,0.0,1.0,0
conv-30_qa_10,Cannot answer,"9:32 am on 8 February, 2023",False,0.0,0.444444,False,0.0,0.0,1.0,0
conv-30_qa_11,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_12,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_13,Cannot answer,"16 March, 2023",False,0.0,1.0,False,0.0,1.0,1.0,0
conv-30_qa_14,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_15,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_16,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_17,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_18,Yes,Yes,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-30_qa_19,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_2,Dance,Dance,True,0.0,0.0,True,0.0,0.0,0.0,0
conv-30_qa_20,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_21,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_22,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_23,"Working with fashion bloggers and influencers, and doing more ads.","Working with fashion bloggers and influencers, and doing more ads.",True,0.15,0.15,True,0.0,0.0,0.0,0
conv-30_qa_24,"networking events, a fair, an event","networking events, a fair, an event",True,0.6666666667,0.666667,True,0.0,0.0,0.0,0
conv-30_qa_25,"Dance classes, workshops, and one-on-one mentoring and training.","Dance classes, workshops, and one-on-one mentoring and training.",True,0.6153846154,0.615385,True,0.0,0.0,0.0,0
conv-30_qa_26,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_27,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_28,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_29,"Paris, Rome","Paris, Rome",True,1.0,1.0,True,1.0,1.0,0.0,0
conv-30_qa_3,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_30,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_31,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_32,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_33,Cannot answer,"21 June, 2023",False,0.0,0.666667,False,0.0,0.0,1.0,0
conv-30_qa_34,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_35,"9 July, 2023","9 July, 2023",True,0.8,0.8,True,0.0,0.0,0.0,0
conv-30_qa_36,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_37,"6:46 pm on 23 July, 2023","6:46 pm on 23 July, 2023",True,0.6,0.6,True,0.0,0.0,0.0,0
conv-30_qa_38,Last Friday,Last Friday,True,0.0,0.0,True,0.0,0.0,0.0,0
conv-30_qa_39,Contemporary dance,Contemporary dance,True,0.6666666667,0.666667,True,0.0,0.0,0.0,0
conv-30_qa_4,He is passionate about dancing and wants to share it with others.,He is passionate about dancing and wants to share it with others.,True,0.2962962963,0.296296,True,0.0,0.0,0.0,0
conv-30_qa_40,contemporary,Contemporary,False,1.0,1.0,True,1.0,1.0,0.0,0
conv-30_qa_41,When my team won first place at a regionals at age fifteen.,When her team won first place at a regionals at age fifteen.,False,0.4444444444,0.444444,True,0.0,0.0,0.0,0
conv-30_qa_42,"contemporary piece called ""Finding Freedom""","contemporary piece called ""Finding Freedom""",True,0.5714285714,0.571429,True,0.0,0.0,0.0,0
conv-30_qa_43,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_44,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_45,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_46,Marley flooring,Marley flooring,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-30_qa_47,A wholesaler who replied yes.,Cannot answer,False,0.0,0.0,True,0.0,0.0,0.0,1
conv-30_qa_48,a cozy and inviting space,a space,False,0.5,0.4,False,0.0,0.0,0.0,0
conv-30_qa_49,Like they're in a cool oasis.,cool oasis,False,0.0,0.0,True,0.0,0.0,0.0,0
conv-30_qa_5,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_50,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_51,She wanted the place to look like her own style and make customers feel cozy.,She wanted to make the place look like her own style and make customers feel coz,False,0.2105263158,0.2,False,0.0,0.0,0.0,0
conv-30_qa_52,That's a great goal! Creating a special experience for customers is the key to m,That's a great goal! Creating a special experience for customers is the key to m,True,0.6666666667,0.666667,True,0.0,0.0,0.0,0
conv-30_qa_53,Creating an experience that'll make 'em wanna come back.,Making my spot comfortable and inviting for my customers is key. I want 'em to f,False,0.2666666667,0.263158,False,0.0,0.0,0.0,0
conv-30_qa_54,Great.,Going good.,False,0.4,0.0,False,0.0,0.0,0.0,0
conv-30_qa_55,freedom - dancing without worrying what people think,freedom - dancing without worrying what people think,True,0.1538461538,0.153846,True,0.0,0.0,0.0,0
conv-30_qa_56,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_57,Stay motivated by reminding yourself of successes and progress; have a good supp,"Stay motivated by reminding yourself of successes and progress, have a good supp",False,0.0714285714,0.060606,False,0.0,0.0,0.0,0
conv-30_qa_58,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_59,She is passionate about dance and fashion.,She is passionate about dance and fashion.,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-30_qa_6,Cannot answer,next month,False,0.0,0.0,True,0.0,0.0,1.0,0
conv-30_qa_60,Happy,happy,False,1.0,1.0,True,1.0,1.0,0.0,0
conv-30_qa_61,a trophy,a trophy,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-30_qa_62,She reminds herself of her successes and progress and has a good support system.,She reminds herself of her successes and progress.,False,0.6666666667,0.56,False,0.0,0.0,0.0,0
conv-30_qa_63,Cannot answer,fashion internship,False,0.0,1.0,False,0.0,1.0,1.0,0
conv-30_qa_64,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_65,The Lean Startup,The Lean Startup,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-30_qa_66,one-on-one mentoring and training,one-on-one mentoring and training,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-30_qa_67,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_68,quit,quit,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-30_qa_69,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_7,"2:32 pm on 29 January, 2023","2:32 pm on 29 January, 2023",True,0.6,0.6,True,0.0,0.0,0.0,0
conv-30_qa_70,a dance studio,a dance studio,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-30_qa_71,Cannot answer,amazing,False,0.0,1.0,False,0.0,1.0,1.0,0
conv-30_qa_72,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_73,magical,magical,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-30_qa_74,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_75,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-30_qa_76,Positive,Positive,True,0.0,0.0,True,0.0,0.0,0.0,0
conv-30_qa_77,Cannot answer,hoodie,False,0.0,0.0,True,0.0,0.0,1.0,0
conv-30_qa_78,Loving what you do and bringing joy to others.,Loving what you do and bringing joy to others,False,0.1538461538,0.153846,True,0.0,0.0,0.0,0
conv-30_qa_8,"29 January, 2023","29 January, 2023",True,0.6666666667,0.666667,True,0.0,0.0,0.0,0
conv-30_qa_80,"Sprucing up his biz plan, tweaking his pitch, and working on an online platform.","Sprucing up his biz plan, tweaking his pitch to investors, and working on an onl",False,0.8571428571,0.933333,False,0.0,0.0,0.0,0
conv-30_qa_81,Let's create some cool content and manage your social media accounts.,Let's create some cool content and manage your social media accounts.,True,0.4545454545,0.454545,True,0.0,0.0,0.0,0
conv-30_qa_9,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-41_qa_0,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-41_qa_1,yesterday,"22 December, 2022",False,0.0,0.666667,False,0.0,0.0,0.0,0
conv-41_qa_10,"8:55 pm on 25 February, 2023","25 February, 2023",False,0.4,0.666667,False,0.0,0.0,0.0,0
conv-41_qa_100,heartwarming,heartwarming,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-41_qa_101,a fundraiser,a fundraiser,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-41_qa_102,the chili cook-off,chili cook-off,False,1.0,1.0,True,1.0,1.0,0.0,0
conv-41_qa_103,Max,Max,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-41_qa_104,10 years,10 years,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-41_qa_105,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-41_qa_106,responsibility and compassion,responsibility and compassion,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-41_qa_107,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-41_qa_108,I felt like I was in a fairy tale!,I felt like I was in a fairy tale!,True,0.6153846154,0.615385,True,0.0,0.0,0.0,0
conv-41_qa_109,free and light,free and light,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-41_qa_11,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-41_qa_110,She joined a gym.,She joined a gym.,True,0.8,0.8,True,0.0,0.0,0.0,0
conv-41_qa_111,kundalini yoga,kundalini yoga,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-41_qa_112,assistant manager,assistant manager,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-41_qa_113,self-doubt,self-doubt,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-41_qa_114,Support from loved ones is vital.,Support from loved ones is vital.,True,0.1428571429,0.142857,True,0.0,0.0,0.0,0
