memory_id,raw_text,enriched_text,has_kg,n_triples,entities,relations,temporal_flag
conv-26_session_10_D10:4,"That's awesome, Caroline! Glad to hear you found a great group where you can have an impact. Bet it feels great to be able to speak your truth and stand up for what's right. Want to tell me a bit more about it?","That's awesome, Caroline! Glad to hear you found a great group where you can have an impact. Bet it feels great to be able to speak your truth and stand up for what's right. Want to tell me a bit more about it?",0,0,,,0
conv-26_session_10_D10:5,"Thanks, Melanie! It's awesome to have our own platform to be ourselves and support others' rights. Our group, 'Connected LGBTQ Activists', is made of all kinds of people investing in positive changes. We have regular meetings, plan events and campaigns, to get together and support each other.","Thanks, Melanie! It's awesome to have our own platform to be ourselves and support others' rights. Our group, 'Connected LGBTQ Activists', is made of all kinds of people investing in positive changes. We have regular meetings, plan events and campaigns, to get together and support each other.
Entities: caroline, changes, positive
Relations: support
Triples: (caroline, support, each_other_and_positive_changes)

Keywords: activists, awesome, campaigns, caroline, changes, connected, events, get, group, investing, kinds, lgbtq, made, meetings, melanie, others, people, plan, platform, positive",1,1,"caroline, changes, positive",support,0
conv-26_session_10_D10:6,"Wow, Caroline, your group sounds awesome! Supporting each other and making good things happen - that's so inspiring! Have you been part of any events or campaigns lately?","Wow, Caroline, your group sounds awesome! Supporting each other and making good things happen - that's so inspiring! Have you been part of any events or campaigns lately?",0,0,,,0
conv-26_session_10_D10:7,"Last weekend our city held a pride parade! So many people marched through the streets waving flags, holding signs and celebrating love and diversity. I missed it but it was a powerful reminder that we are not alone in this fight for equality and inclusivity. Change is possible!","Last weekend our city held a pride parade! So many people marched through the streets waving flags, holding signs and celebrating love and diversity. I missed it but it was a powerful reminder that we are not alone in this fight for equality and inclusivity. Change is possible!
Entities: caroline, parade, pride
Relations: participate
Triples: (caroline, participate, in_a_pride_parade)

Keywords: alone, caroline, celebrating, change, city, diversity, equality, fight, flags, held, holding, inclusivity, last, love, many, marched, missed, parade, people, possible",1,1,"caroline, parade, pride",participate,0
conv-26_session_10_D10:8,"Wow, fantastic, Caroline! Bet the atmosphere was incredible. Oh yeah, we went to the beach recently. It was awesome! The kids had such a blast.","Wow, fantastic, Caroline! Bet the atmosphere was incredible. Oh yeah, we went to the beach recently. It was awesome! The kids had such a blast.
Entities: beach, family, kids, melanie, trips
Relations: enjoy
Triples: (melanie, enjoy, family_beach_trips_with_her_kids)

Keywords: atmosphere, awesome, beach, bet, blast, caroline, family, fantastic, incredible, kids, melanie, oh, recently, trips, went, wow, yeah",1,1,"beach, family, kids, melanie, trips",enjoy,0
conv-26_session_10_D10:9,Sounds fun! What was the best part? Do you do it often with the kids?,Sounds fun! What was the best part? Do you do it often with the kids?,0,0,,,0
conv-26_session_11_D11:1,"Hey Caroline! Last night was amazing! We celebrated my daughter's birthday with a concert surrounded by music, joy and the warm summer breeze. Seeing my kids' smiles was so awesome, and I'm so thankful for our special moments together.","Hey Caroline! Last night was amazing! We celebrated my daughter's birthday with a concert surrounded by music, joy and the warm summer breeze. Seeing my kids' smiles was so awesome, and I'm so thankful for our special moments together.
Entities: birthday, daughter, melanie, moments, special
Relations: celebrate, value
Triples: (melanie, celebrate, her_daughter_'s_birthday); (melanie, value, special_moments)

Keywords: amazing, awesome, birthday, breeze, caroline, celebrated, concert, daughter, hey, joy, kids, last, melanie, moments, music, night, seeing, smiles, special, summer",1,2,"birthday, daughter, melanie, moments, special","celebrate, value",0
conv-26_session_11_D11:10,My art is about expressing my trans experience. It's my way of showing my story and helping people understand the trans community.,"My art is about expressing my trans experience. It's my way of showing my story and helping people understand the trans community.
Entities: caroline, focus
Relations: focus
Triples: (caroline, focus, focus)

Keywords: art, caroline, community, experience, expressing, focus, helping, people, showing, story, trans, understand, way",1,1,"caroline, focus",focus,0
conv-26_session_11_D11:11,"Your art's amazing, Caroline. I love how you use it to tell your stories and teach people about trans folks. I'd love to see another painting of yours!","Your art's amazing, Caroline. I love how you use it to tell your stories and teach people about trans folks. I'd love to see another painting of yours!",0,0,,,0
conv-26_session_11_D11:12,"Thanks, Melanie. Here's one- 'Embracing Identity' is all about finding comfort and love in being yourself. The woman in the painting stands for the journey of acceptance. My aim was to show warmth, love and self-acceptance.","Thanks, Melanie. Here's one- 'Embracing Identity' is all about finding comfort and love in being yourself. The woman in the painting stands for the journey of acceptance. My aim was to show warmth, love and self-acceptance.
Entities: caroline, paint
Relations: paint
Triples: (caroline, paint, paint)

Keywords: acceptance, aim, caroline, comfort, embracing, finding, identity, journey, love, melanie, one, paint, painting, self, show, stands, thanks, warmth, woman",1,1,"caroline, paint",paint,0
conv-26_session_11_D11:13,"Wow, Caroline, that's gorgeous! I love the self-acceptance and love theme. How does art help you with your self-discovery and acceptance journey?","Wow, Caroline, that's gorgeous! I love the self-acceptance and love theme. How does art help you with your self-discovery and acceptance journey?
Entities: art, caroline, melanie
Relations: admire
Triples: (melanie, admire, caroline_'s_art)

Keywords: acceptance, art, caroline, discovery, gorgeous, help, journey, love, melanie, self, theme, wow",1,1,"art, caroline, melanie",admire,0
conv-26_session_11_D11:14,Art's allowed me to explore my transition and my changing body. It's been a great way to work through stuff I'm going through. I love that it teaches me to accept the beauty of imperfections.,"Art's allowed me to explore my transition and my changing body. It's been a great way to work through stuff I'm going through. I love that it teaches me to accept the beauty of imperfections.
Entities: caroline, heal
Relations: heal
Triples: (caroline, heal, heal)

Keywords: accept, allowed, art, beauty, body, caroline, changing, explore, going, great, heal, imperfections, love, stuff, teaches, transition, way, work",1,1,"caroline, heal",heal,0
conv-26_session_11_D11:15,"Wow, Caroline, that's so cool! Art can be so healing and a way to really connect with who you are. It's awesome that beauty can be found in the imperfections. We're all individual and wonderfully imperfect. Thanks for sharing it with me!","Wow, Caroline, that's so cool! Art can be so healing and a way to really connect with who you are. It's awesome that beauty can be found in the imperfections. We're all individual and wonderfully imperfect. Thanks for sharing it with me!",0,0,,,0
conv-26_session_11_D11:16,"Thanks, Melanie. It means a lot to share this with you.","Thanks, Melanie. It means a lot to share this with you.
Entities: art, caroline, experiences
Relations: share
Triples: (caroline, share, her_art_and_experiences)

Keywords: art, caroline, experiences, lot, means, melanie, share, thanks",1,1,"art, caroline, experiences",share,0
conv-26_session_11_D11:17,Great chatting with you! Feel free to reach out any time.,Great chatting with you! Feel free to reach out any time.,0,0,,,0
conv-26_session_11_D11:2,"Wow, sounds wonderful! Your love for your kids is so awesome. What concert was it? The advocacy event was a cool experience - so much love and support, amazing!","Wow, sounds wonderful! Your love for your kids is so awesome. What concert was it? The advocacy event was a cool experience - so much love and support, amazing!",0,0,,,0
conv-26_session_11_D11:3,"Thanks, Caroline! It was Matt Patterson, he is so talented! His voice and songs were amazing. What's up with you? Anything interesting going on?","Thanks, Caroline! It was Matt Patterson, he is so talented! His voice and songs were amazing. What's up with you? Anything interesting going on?",0,0,,,0
conv-26_session_11_D11:4,"Wow, Mel, glad you had a blast at the concert. A lot's happened since we talked. I went to a pride parade last Friday and it was awesome - so much energy and love everywhere. Really made me proud and reminded me how important it is to keep standing up for equality.","Wow, Mel, glad you had a blast at the concert. A lot's happened since we talked. I went to a pride parade last Friday and it was awesome - so much energy and love everywhere. Really made me proud and reminded me how important it is to keep standing up for equality.
Entities: caroline, parade, pride
Relations: attend
Triples: (caroline, attend, a_pride_parade)

Keywords: awesome, blast, caroline, concert, energy, equality, everywhere, friday, glad, happened, important, keep, last, lot, love, made, mel, much, parade, pride",1,1,"caroline, parade, pride",attend,0
conv-26_session_11_D11:5,"Wow, that's awesome! How did it feel being part of that community?","Wow, that's awesome! How did it feel being part of that community?",0,0,,,0
conv-26_session_11_D11:6,"It was so inspiring, Mel! Check out the crowd. People of all kinds celebrating love and acceptance - it really pushed me to keep fighting for LGBTQ rights.","It was so inspiring, Mel! Check out the crowd. People of all kinds celebrating love and acceptance - it really pushed me to keep fighting for LGBTQ rights.",0,0,,,0
conv-26_session_11_D11:7,"Wow, Caroline! That sounds awesome. This pic's from last night - looks like everyone was having a blast! Reminds me it's important to cultivate a loving and accepting environment for our kids. How do you stay inclusive in your work as an artist?","Wow, Caroline! That sounds awesome. This pic's from last night - looks like everyone was having a blast! Reminds me it's important to cultivate a loving and accepting environment for our kids. How do you stay inclusive in your work as an artist?
Entities: appreciate, melanie, value
Relations: appreciate, value
Triples: (melanie, appreciate, appreciate); (melanie, value, value)

Keywords: accepting, appreciate, artist, awesome, blast, caroline, cultivate, environment, everyone, important, inclusive, kids, last, like, looks, loving, melanie, night, pic, reminds",1,2,"appreciate, melanie, value","appreciate, value",0
conv-26_session_11_D11:8,That pic is cool! Representing inclusivity and diversity in my art is important to me. I also use it to speak up for the LGBTQ+ community and push for acceptance. Here's a recent painting!,"That pic is cool! Representing inclusivity and diversity in my art is important to me. I also use it to speak up for the LGBTQ+ community and push for acceptance. Here's a recent painting!
Entities: art, caroline, diversity, inclusivity
Relations: represent
Triples: (caroline, represent, inclusivity_and_diversity_in_her_art)

Keywords: acceptance, art, caroline, community, cool, diversity, important, inclusivity, lgbtq, painting, pic, push, recent, representing, speak, use",1,1,"art, caroline, diversity, inclusivity",represent,0
conv-26_session_11_D11:9,"Wow, that rocks! What's the main idea of your art?","Wow, that rocks! What's the main idea of your art?",0,0,,,0
conv-26_session_12_D12:1,"Hey Mel! How're ya doin'? Recently, I had a not-so-great experience on a hike. I ran into a group of religious conservatives who said something that really upset me. It made me think how much work we still have to do for LGBTQ rights. It's been so helpful to have people around me who accept and support me, so I know I'll be ok!","Hey Mel! How're ya doin'? Recently, I had a not-so-great experience on a hike. I ran into a group of religious conservatives who said something that really upset me. It made me think how much work we still have to do for LGBTQ rights. It's been so helpful to have people around me who accept and support me, so I know I'll be ok!
Entities: accept, caroline, conservatives, group, into, religious, upset
Relations: accept, run
Triples: (caroline, run, into_a_group_of_religious_conservatives_who_upset_her); (caroline, accept, accept)

Keywords: accept, around, caroline, conservatives, doin, experience, great, group, helpful, hey, hike, into, know, lgbtq, made, mel, much, ok, people, ran",1,2,"accept, caroline, conservatives, group, into, religious, upset","accept, run",0
conv-26_session_12_D12:10,"Agreed, Caroline. Life's tough but it's worth it when we have things that make us happy.","Agreed, Caroline. Life's tough but it's worth it when we have things that make us happy.",0,0,,,0
conv-26_session_12_D12:11,"Definitely, Mel! Finding those happy moments and clinging to them is key. It's what keeps us going, even when life's hard. I'm lucky to have people like you to remind me.","Definitely, Mel! Finding those happy moments and clinging to them is key. It's what keeps us going, even when life's hard. I'm lucky to have people like you to remind me.
Entities: caroline, go
Relations: go
Triples: (caroline, go, go)

Keywords: caroline, clinging, definitely, even, finding, go, going, happy, hard, keeps, key, life, like, lucky, mel, moments, people, remind, us",1,1,"caroline, go",go,0
conv-26_session_12_D12:12,"Yeah, same here Caroline. You make life's struggles more bearable.","Yeah, same here Caroline. You make life's struggles more bearable.",0,0,,,0
conv-26_session_12_D12:13,"Thanks, Melanie! It means a lot having you in my corner. Appreciate our friendship!","Thanks, Melanie! It means a lot having you in my corner. Appreciate our friendship!
Entities: appreciation, caroline, friendship, melanie
Relations: express
Triples: (caroline, express, appreciation_for_her_friendship_with_melanie)

Keywords: appreciate, appreciation, caroline, corner, friendship, lot, means, melanie, thanks",1,1,"appreciation, caroline, friendship, melanie",express,0
conv-26_session_12_D12:14,"I appreciate our friendship too, Caroline. You've always been there for me.","I appreciate our friendship too, Caroline. You've always been there for me.
Entities: melanie, value
Relations: value
Triples: (melanie, value, value)

Keywords: always, appreciate, caroline, friendship, melanie, value",1,1,"melanie, value",value,0
conv-26_session_12_D12:15,"I'm always here for you, Mel! We had a blast last year at the Pride fest. Those supportive friends definitely make everything worth it!","I'm always here for you, Mel! We had a blast last year at the Pride fest. Those supportive friends definitely make everything worth it!
Entities: caroline, friends, supportive
Relations: value
Triples: (caroline, value, supportive_friends)

Keywords: always, blast, caroline, definitely, everything, fest, friends, last, make, mel, pride, supportive, worth, year",1,1,"caroline, friends, supportive",value,0
conv-26_session_12_D12:16,That was a blast! So much fun with the whole gang! Wanna do a family outing this summer?,"That was a blast! So much fun with the whole gang! Wanna do a family outing this summer?
Entities: melanie, suggest
Relations: suggest
Triples: (melanie, suggest, suggest)

Keywords: blast, family, fun, gang, melanie, much, outing, suggest, summer, wanna, whole",1,1,"melanie, suggest",suggest,0
conv-26_session_12_D12:17,"Right, it was so much fun! We could do a family outting, or wanna plan something special for this summer, just us two? It'd be a great chance to catch up and explore nature! What do you think?","Right, it was so much fun! We could do a family outting, or wanna plan something special for this summer, just us two? It'd be a great chance to catch up and explore nature! What do you think?",0,0,,,0
conv-26_session_12_D12:18,"Sounds great, Caroline! Let's plan something special!","Sounds great, Caroline! Let's plan something special!",0,0,,,0
conv-26_session_12_D12:19,"Sounds great, Mel! We'll make some awesome memories!","Sounds great, Mel! We'll make some awesome memories!",0,0,,,0
conv-26_session_12_D12:2,"Hey Caroline, sorry about the hike. It sucks when people are so closed-minded. Strong support really helps. FYI, I finished another pottery project - want to see a pic?","Hey Caroline, sorry about the hike. It sucks when people are so closed-minded. Strong support really helps. FYI, I finished another pottery project - want to see a pic?
Entities: another, melanie, pottery, project
Relations: finish
Triples: (melanie, finish, another_pottery_project)

Keywords: another, caroline, closed, finished, fyi, helps, hey, hike, melanie, minded, people, pic, pottery, project, really, see, sorry, strong, sucks, support",1,1,"another, melanie, pottery, project",finish,0
conv-26_session_12_D12:20,"Yeah, Caroline! I'll start thinking about what we can do.","Yeah, Caroline! I'll start thinking about what we can do.",0,0,,,0
conv-26_session_12_D12:21,"Yeah, Mel! Life's all about creating memories. Can't wait for the trip!","Yeah, Mel! Life's all about creating memories. Can't wait for the trip!",0,0,,,0
conv-26_session_12_D12:3,"Sure thing, Melanie! Can't wait to see your pottery project.  I'm happy you found something that makes you happy. Show me when you can!","Sure thing, Melanie! Can't wait to see your pottery project.  I'm happy you found something that makes you happy. Show me when you can!",0,0,,,0
conv-26_session_12_D12:4,Here it is. Pretty proud of it! It was a great experience. Thoughts?,Here it is. Pretty proud of it! It was a great experience. Thoughts?,0,0,,,0
conv-26_session_12_D12:5,"That bowl is awesome, Mel! What gave you the idea for all the colors and patterns?","That bowl is awesome, Mel! What gave you the idea for all the colors and patterns?",0,0,,,0
conv-26_session_12_D12:6,"Thanks, Caroline! I'm obsessed with those, so I made something to catch the eye and make people smile. Plus, painting helps me express my feelings and be creative. Each stroke carries a part of me.","Thanks, Caroline! I'm obsessed with those, so I made something to catch the eye and make people smile. Plus, painting helps me express my feelings and be creative. Each stroke carries a part of me.",0,0,,,0
conv-26_session_12_D12:7,That's amazing! You put so much effort and passion into it. Your creativity really shines. Seeing how art can be a source of self-expression and growth is truly inspiring. You're killing it!,That's amazing! You put so much effort and passion into it. Your creativity really shines. Seeing how art can be a source of self-expression and growth is truly inspiring. You're killing it!,0,0,,,0
conv-26_session_12_D12:8,"Thanks, Caroline! Your words really mean a lot. I've always felt a strong connection to art, and it's been a huge learning experience. It's both a sanctuary and a source of comfort. I'm so glad to have something that brings me so much happiness and fulfillment.","Thanks, Caroline! Your words really mean a lot. I've always felt a strong connection to art, and it's been a huge learning experience. It's both a sanctuary and a source of comfort. I'm so glad to have something that brings me so much happiness and fulfillment.
Entities: happiness, melanie, pottery, project, source
Relations: consider, memory
Triples: (melanie, has_memory, Melanie_pottery_project_source_happiness); (melanie, consider, it)

Keywords: always, art, brings, caroline, comfort, connection, experience, felt, fulfillment, glad, happiness, huge, learning, lot, mean, melanie, much, pottery, project, really",1,2,"happiness, melanie, pottery, project, source","consider, memory",0
conv-26_session_12_D12:9,Glad you found something that makes you so happy! Surrounding ourselves with things that bring us joy is important. Life's too short to do anything else!,"Glad you found something that makes you so happy! Surrounding ourselves with things that bring us joy is important. Life's too short to do anything else!
Entities: caroline, express
Relations: express
Triples: (caroline, express, express)

Keywords: anything, bring, caroline, else, express, found, glad, happy, important, joy, life, makes, short, something, surrounding, things, us",1,1,"caroline, express",express,0
conv-26_session_13_D13:1,"Hi Melanie! Hope you're doing good. Guess what I did this week? I took the first step towards becoming a mom - I applied to adoption agencies! It's a big decision, but I think I'm ready to give all my love to a child. I got lots of help from this adoption advice/assistance group I attended. It was great!","Hi Melanie! Hope you're doing good. Guess what I did this week? I took the first step towards becoming a mom - I applied to adoption agencies! It's a big decision, but I think I'm ready to give all my love to a child. I got lots of help from this adoption advice/assistance group I attended. It was great!
Entities: adoption, advice, assistance, becoming, caroline, first, group, help, mom, step, towards
Relations: attend, take
Triples: (caroline, take, the_first_step_towards_becoming_a_mom_by); (caroline, attend, an_adoption_advice_assistance_group_to_help_with)
Temporal: true
Keywords: adoption, advice, agencies, applied, assistance, attended, becoming, big, caroline, child, decision, first, give, good, got, great, group, guess, help, hi",1,2,"adoption, advice, assistance, becoming, caroline, first, group, help, mom, step, towards","attend, take",1
conv-26_session_13_D13:10,"Thanks, Caroline! Glad you like it. Yeah, I love to. It's peaceful and special. Horses have such grace! Do you like to paint too?","Thanks, Caroline! Glad you like it. Yeah, I love to. It's peaceful and special. Horses have such grace! Do you like to paint too?
Entities: enjoy, melanie
Relations: enjoy
Triples: (melanie, enjoy, enjoy)

Keywords: caroline, enjoy, glad, grace, horses, like, love, melanie, paint, peaceful, special, thanks, yeah",1,1,"enjoy, melanie",enjoy,0
conv-26_session_13_D13:11,Painting's great for expressing myself. I love creating art! Here's a recent self-portrait I made last week.,Painting's great for expressing myself. I love creating art! Here's a recent self-portrait I made last week.,0,0,,,0
conv-26_session_13_D13:12,"Caroline, that's great! The blue's really powerful, huh? How'd you feel while painting it?","Caroline, that's great! The blue's really powerful, huh? How'd you feel while painting it?",0,0,,,0
conv-26_session_13_D13:13,"Thanks, Mel! I felt liberated and empowered doing it. Painting helps me explore my identity and be true to myself. It's definitely therapeutic.","Thanks, Mel! I felt liberated and empowered doing it. Painting helps me explore my identity and be true to myself. It's definitely therapeutic.
Entities: caroline
Relations: express
Triples: (caroline, express, herself)

Keywords: caroline, definitely, empowered, explore, felt, helps, identity, liberated, mel, painting, thanks, therapeutic, true",1,1,caroline,express,0
conv-26_session_13_D13:14,"Wow, Caroline, that's great! Art's awesome for showing us who we really are and getting in touch with ourselves. What else helps you out?","Wow, Caroline, that's great! Art's awesome for showing us who we really are and getting in touch with ourselves. What else helps you out?
Entities: melanie
Relations: express
Triples: (melanie, express, herself)

Keywords: art, awesome, caroline, else, getting, great, helps, melanie, really, showing, touch, us, wow",1,1,melanie,express,0
conv-26_session_13_D13:15,"Thanks, Melanie. Art gives me a sense of freedom, but so does having supportive people around, promoting LGBTQ rights and being true to myself. I want to live authentically and help others to do the same.","Thanks, Melanie. Art gives me a sense of freedom, but so does having supportive people around, promoting LGBTQ rights and being true to myself. I want to live authentically and help others to do the same.
Entities: caroline, lgbtq, rights
Relations: promote
Triples: (caroline, promote, lgbtq_rights)

Keywords: around, art, authentically, caroline, freedom, gives, help, lgbtq, live, melanie, others, people, promoting, rights, sense, supportive, thanks, true, want",1,1,"caroline, lgbtq, rights",promote,0
conv-26_session_13_D13:16,"Wow, Caroline! That's amazing. You really care about being real and helping others. Wishing you the best on your adoption journey!","Wow, Caroline! That's amazing. You really care about being real and helping others. Wishing you the best on your adoption journey!",0,0,,,0
conv-26_session_13_D13:17,"Thanks, Melanie! I really appreciate it. Excited for the future! Bye!","Thanks, Melanie! I really appreciate it. Excited for the future! Bye!",0,0,,,0
conv-26_session_13_D13:18,Bye Caroline. I'm here for you. Take care of yourself.,Bye Caroline. I'm here for you. Take care of yourself.,0,0,,,0
conv-26_session_13_D13:2,"Caroline, congrats! So proud of you for taking this step. How does it feel? Also, do you have any pets?","Caroline, congrats! So proud of you for taking this step. How does it feel? Also, do you have any pets?",0,0,,,0
conv-26_session_13_D13:3,"Thanks, Mel! Exciting but kinda nerve-wracking. Parenting's such a big responsibility. And yup, I do- Oscar, my guinea pig. He's been great. How are your pets?","Thanks, Mel! Exciting but kinda nerve-wracking. Parenting's such a big responsibility. And yup, I do- Oscar, my guinea pig. He's been great. How are your pets?
Entities: caroline, oscar
Relations: name
Triples: (caroline, name, oscar)

Keywords: big, caroline, exciting, great, guinea, kinda, mel, nerve, oscar, parenting, pets, pig, responsibility, thanks, wracking, yup",1,1,"caroline, oscar",name,0
conv-26_session_13_D13:4,"Yeah, it's normal to be both excited and nervous with a big decision. And thanks for asking, they're good- we got another cat named Bailey too. Here's a pic of Oliver. Can you show me one of Oscar?","Yeah, it's normal to be both excited and nervous with a big decision. And thanks for asking, they're good- we got another cat named Bailey too. Here's a pic of Oliver. Can you show me one of Oscar?
Entities: another, bailey, cat, melanie, named
Relations: include
Triples: (melanie, include, another_cat_named_bailey)

Keywords: another, asking, bailey, big, cat, decision, excited, good, got, melanie, named, nervous, normal, oliver, one, oscar, pic, show, thanks, yeah",1,1,"another, bailey, cat, melanie, named",include,0
conv-26_session_13_D13:5,"He's so cute! What’s the funniest thing Oliver's done? And sure, check out this pic of him eating parsley! Veggies are his fave!","He's so cute! What’s the funniest thing Oliver's done? And sure, check out this pic of him eating parsley! Veggies are his fave!",0,0,,,0
conv-26_session_13_D13:6,"Oliver's hilarious! He hid his bone in my slipper once! Cute, right? Almost as silly as when I got to feed a horse a carrot. ","Oliver's hilarious! He hid his bone in my slipper once! Cute, right? Almost as silly as when I got to feed a horse a carrot. ",0,0,,,0
conv-26_session_13_D13:7,"That's so funny! I used to go horseback riding with my dad when I was a kid, we'd go through the fields, feeling the wind. It was so special. I've always had a love for horses!","That's so funny! I used to go horseback riding with my dad when I was a kid, we'd go through the fields, feeling the wind. It was so special. I've always had a love for horses!
Entities: caroline, horses, use
Relations: love, use
Triples: (caroline, use, use); (caroline, love, horses)

Keywords: always, caroline, dad, feeling, fields, funny, go, horseback, horses, kid, love, riding, special, use, used, wind",1,2,"caroline, horses, use","love, use",0
conv-26_session_13_D13:8,"Wow, that sounds great - I agree, they're awesome. Here's a photo of my horse painting I did recently.","Wow, that sounds great - I agree, they're awesome. Here's a photo of my horse painting I did recently.
Entities: horse, melanie, painting, photo
Relations: share
Triples: (melanie, share, a_photo_of_her_horse_painting_that_she)

Keywords: agree, awesome, great, horse, melanie, painting, photo, recently, sounds, wow",1,1,"horse, melanie, painting, photo",share,0
conv-26_session_13_D13:9,"Wow, Melanie, that's amazing! Love all the details and how you got the horse's grace and strength. Do you like painting animals?","Wow, Melanie, that's amazing! Love all the details and how you got the horse's grace and strength. Do you like painting animals?",0,0,,,0
