qa_id,user_id,sample_id,question,answer,category,evidence
conv-26_qa_48,conv-26,conv-26,What types of pottery have Melanie and her kids made?,"bowls, cup",1,"[""D12:14"", ""D8:4"", ""D5:6""]"
conv-26_qa_49,conv-26,conv-26,When did Caroline and Melanie go to a pride fesetival together?,2022,2,"[""D12:15""]"
conv-26_qa_50,conv-26,conv-26,What would Caroline's political leaning likely be?,Liberal,3,"[""D12:1""]"
conv-26_qa_51,conv-26,conv-26,What has Melanie painted?,"Horse, sunset, sunrise",1,"[""D13:8"", ""D8:6"", ""D1:12""]"
conv-26_qa_52,conv-26,conv-26,What are Melanie's pets' names?,"Oliver, Luna, Bailey",1,"[""D13:4"", ""D7:18""]"
conv-26_qa_53,conv-26,conv-26,When did Caroline apply to adoption agencies?,The week of 23 August 2023,2,"[""D13:1""]"
conv-26_qa_54,conv-26,conv-26,When did Caroline draw a self-portrait?,The week before 23 August 2023,2,"[""D13:11""]"
conv-26_qa_55,conv-26,conv-26,What subject have Caroline and Melanie both painted?,Sunsets,1,"[""D14:5"", ""D8:6""]"
conv-26_qa_56,conv-26,conv-26,What symbols are important to Caroline?,"Rainbow flag, transgender symbol",1,"[""D14:15"", ""D4:1""]"
conv-26_qa_57,conv-26,conv-26,When did Caroline encounter people on a hike and have a negative experience?,The week before 25 August 2023,2,"[""D14:1""]"
conv-26_qa_58,conv-26,conv-26,When did Melanie make a plate in pottery class?,24 August 2023,2,"[""D14:4""]"
conv-26_qa_59,conv-26,conv-26,Would Caroline be considered religious?,"Somewhat, but not extremely religious",3,"[""D14:19"", ""D12:1""]"
conv-26_qa_60,conv-26,conv-26,What instruments does Melanie play?,clarinet and violin,1,"[""D15:26"", ""D2:5""]"
conv-26_qa_61,conv-26,conv-26,What musical artists/bands has Melanie seen?,"Summer Sounds, Matt Patterson",1,"[""D15:16"", ""D11:3""]"
conv-26_qa_62,conv-26,conv-26,When did Melanie go to the park?,27 August 2023,2,"[""D15:2""]"
conv-26_qa_63,conv-26,conv-26,When is Caroline's youth center putting on a talent show?,September 2023,2,"[""D15:11""]"
conv-26_qa_64,conv-26,conv-26,"Would Melanie likely enjoy the song ""The Four Seasons"" by Vivaldi?",Yes; it's classical music,3,"[""D15:28""]"
conv-26_qa_65,conv-26,conv-26,What are some changes Caroline has faced during her transition journey?,"Changes to her body, losing unsupportive friends",1,"[""D16:15"", ""D11:14""]"
conv-26_qa_66,conv-26,conv-26,What does Melanie do with her family on hikes?,"Roast marshmallows, tell stories",1,"[""D16:4"", ""D10:12""]"
conv-26_qa_67,conv-26,conv-26,When did Caroline go biking with friends?,The weekend before 13 September 2023,2,"[""D16:1""]"
conv-26_qa_68,conv-26,conv-26,How long has Melanie been practicing art?,Since 2016,2,"[""D16:8""]"
conv-26_qa_69,conv-26,conv-26,What personality traits might Melanie say Caroline has?,"Thoughtful, authentic, driven",3,"[""D16:18"", ""D13:16"", ""D7:4""]"
conv-26_qa_70,conv-26,conv-26,What transgender-specific events has Caroline attended?,"Poetry reading, conference",1,"[""D17:19"", ""D15:13""]"
conv-26_qa_71,conv-26,conv-26,What book did Melanie read from Caroline's suggestion?,"""Becoming Nicole""",1,"[""D7:11"", ""D17:10""]"
conv-26_qa_72,conv-26,conv-26,When did Melanie's friend adopt a child?,2022,2,"[""D17:3""]"
conv-26_qa_73,conv-26,conv-26,When did Melanie get hurt?,September 2023,2,"[""D17:8""]"
conv-26_qa_74,conv-26,conv-26,When did Melanie's family go on a roadtrip?,The weekend before 20 October 2023,2,"[""D18:1""]"
conv-26_qa_75,conv-26,conv-26,How many children does Melanie have?,3,1,"[""D18:1"", ""D18:7""]"
conv-26_qa_76,conv-26,conv-26,When did Melanie go on a hike after the roadtrip?,19 October 2023,1,"[""D18:17""]"
conv-26_qa_77,conv-26,conv-26,Would Melanie go on another roadtrip soon?,Likely no; since this one went badly,3,"[""D18:3"", ""D18:1""]"
conv-26_qa_78,conv-26,conv-26,What items has Melanie bought?,"Figurines, shoes",1,"[""D19:2"", ""D7:18""]"
conv-26_qa_79,conv-26,conv-26,When did Caroline pass the adoption interview?,The Friday before 22 October 2023,2,"[""D19:1""]"
conv-26_qa_80,conv-26,conv-26,When did Melanie buy the figurines?,21 October 2023,2,"[""D19:2""]"
conv-26_qa_81,conv-26,conv-26,Would Caroline want to move back to her home country soon?,No; she's in the process of adopting children.,3,"[""D19:1"", ""D19:3""]"
conv-26_qa_82,conv-26,conv-26,What did the charity race raise awareness for?,mental health,4,"[""D2:2""]"
conv-26_qa_83,conv-26,conv-26,What did Melanie realize after the charity race?,self-care is important,4,"[""D2:3""]"
conv-26_qa_84,conv-26,conv-26,How does Melanie prioritize self-care?,"by carving out some me-time each day for activities like running, reading, or playing the violin",4,"[""D2:5""]"
conv-26_qa_85,conv-26,conv-26,What are Caroline's plans for the summer?,researching adoption agencies,4,"[""D2:8""]"
conv-26_qa_86,conv-26,conv-26,What type of individuals does the adoption agency Caroline is considering support?,LGBTQ+ individuals,4,"[""D2:12""]"
conv-26_qa_87,conv-26,conv-26,Why did Caroline choose the adoption agency?,because of their inclusivity and support for LGBTQ+ individuals,4,"[""D2:12""]"
conv-26_qa_88,conv-26,conv-26,What is Caroline excited about in the adoption process?,creating a family for kids who need one,4,"[""D2:14""]"
conv-26_qa_89,conv-26,conv-26,What does Melanie think about Caroline's decision to adopt?,she thinks Caroline is doing something amazing and will be an awesome mom,4,"[""D2:15""]"
conv-26_qa_90,conv-26,conv-26,How long have Mel and her husband been married?,Mel and her husband have been married for 5 years.,4,"[""D3:16""]"
conv-26_qa_91,conv-26,conv-26,What does Caroline's necklace symbolize?,"love, faith, and strength",4,"[""D4:3""]"
conv-26_qa_92,conv-26,conv-26,What country is Caroline's grandma from?,Sweden,4,"[""D4:3""]"
conv-26_qa_93,conv-26,conv-26,What was grandma's gift to Caroline?,necklace,4,"[""D4:3""]"
conv-26_qa_94,conv-26,conv-26,What is Melanie's hand-painted bowl a reminder of?,art and self-expression,4,"[""D4:5""]"
conv-26_qa_95,conv-26,conv-26,What did Melanie and her family do while camping?,"explored nature, roasted marshmallows, and went on a hike",4,"[""D4:8""]"
conv-26_qa_96,conv-26,conv-26,What kind of counseling and mental health services is Caroline interested in pursuing?,"working with trans people, helping them accept themselves and supporting their mental health",4,"[""D4:13""]"
conv-26_qa_97,conv-26,conv-26,What workshop did Caroline attend recently?,LGBTQ+ counseling workshop,4,"[""D4:13""]"
conv-26_qa_98,conv-26,conv-26,What was discussed in the LGBTQ+ counseling workshop?,therapeutic methods and how to best work with trans people,4,"[""D4:13""]"
conv-26_qa_99,conv-26,conv-26,What motivated Caroline to pursue counseling?,"her own journey and the support she received, and how counseling improved her life",4,"[""D4:15""]"
conv-26_qa_100,conv-26,conv-26,What kind of place does Caroline want to create for people?,a safe and inviting place for people to grow,4,"[""D4:15""]"
conv-26_qa_101,conv-26,conv-26,Did Melanie make the black and white bowl in the photo?,Yes,4,"[""D5:8""]"
conv-26_qa_102,conv-26,conv-26,What kind of books does Caroline have in her library?,"kids' books - classics, stories from different cultures, educational books",4,"[""D6:9""]"
conv-26_qa_103,conv-26,conv-26,What was Melanie's favorite book from her childhood?,"""Charlotte's Web""",4,"[""D6:10""]"
conv-26_qa_104,conv-26,conv-26,What book did Caroline recommend to Melanie?,"""Becoming Nicole""",4,"[""D7:11""]"
conv-26_qa_105,conv-26,conv-26,"What did Caroline take away from the book ""Becoming Nicole""?",Lessons on self-acceptance and finding support,4,"[""D7:13""]"
conv-26_qa_106,conv-26,conv-26,What are the new shoes that Melanie got used for?,Running,4,"[""D7:19""]"
conv-26_qa_107,conv-26,conv-26,What is Melanie's reason for getting into running?,To de-stress and clear her mind,4,"[""D7:21""]"
conv-26_qa_108,conv-26,conv-26,What does Melanie say running has been great for?,Her mental health,4,"[""D7:24""]"
conv-26_qa_109,conv-26,conv-26,What did Mel and her kids make during the pottery workshop?,pots,4,"[""D8:2""]"
conv-26_qa_110,conv-26,conv-26,What kind of pot did Mel and her kids make with clay?,a cup with a dog face on it,4,"[""D8:4""]"
conv-26_qa_111,conv-26,conv-26,What creative project do Mel and her kids do together besides pottery?,painting,4,"[""D8:5""]"
conv-26_qa_112,conv-26,conv-26,What did Mel and her kids paint in their latest project in July 2023?,a sunset with a palm tree,4,"[""D8:6""]"
conv-26_qa_113,conv-26,conv-26,What did Caroline see at the council meeting for adoption?,many people wanting to create loving homes for children in need,4,"[""D8:9""]"
conv-26_qa_114,conv-26,conv-26,What do sunflowers represent according to Caroline?,warmth and happiness,4,"[""D8:11""]"
conv-26_qa_115,conv-26,conv-26,Why are flowers important to Melanie?,They remind her to appreciate the small moments and were a part of her wedding decor,4,"[""D8:12""]"
conv-26_qa_116,conv-26,conv-26,What inspired Caroline's painting for the art show?,visiting an LGBTQ center and wanting to capture unity and strength,4,"[""D9:16""]"
conv-26_qa_117,conv-26,conv-26,How often does Melanie go to the beach with her kids?,once or twice a year,4,"[""D10:10""]"
conv-26_qa_118,conv-26,conv-26,What did Melanie and her family see during their camping trip last year?,Perseid meteor shower,4,"[""D10:14""]"
conv-26_qa_119,conv-26,conv-26,How did Melanie feel while watching the meteor shower?,in awe of the universe,4,"[""D10:18""]"
conv-26_qa_120,conv-26,conv-26,Whose birthday did Melanie celebrate recently?,Melanie's daughter,4,"[""D11:1""]"
conv-26_qa_121,conv-26,conv-26,Who performed at the concert at Melanie's daughter's birthday?,Matt Patterson,4,"[""D11:3""]"
conv-26_qa_122,conv-26,conv-26,Why did Melanie choose to use colors and patterns in her pottery project?,She wanted to catch the eye and make people smile.,4,"[""D12:6""]"
conv-26_qa_123,conv-26,conv-26,What pet does Caroline have?,guinea pig,4,"[""D13:3""]"
conv-26_qa_124,conv-26,conv-26,What pets does Melanie have?,Two cats and a dog,4,"[""D13:4""]"
conv-26_qa_125,conv-26,conv-26,Where did Oliver hide his bone once?,In Melanie's slipper,4,"[""D13:6""]"
conv-26_qa_126,conv-26,conv-26,What activity did Caroline used to do with her dad?,Horseback riding,4,"[""D13:7""]"
conv-26_qa_127,conv-26,conv-26,What did Caroline make for a local church?,a stained glass window,4,"[""D14:17""]"
conv-26_qa_128,conv-26,conv-26,What did Caroline find in her neighborhood during her walk?,a rainbow sidewalk,4,"[""D14:23""]"
conv-26_qa_129,conv-26,conv-26,Which song motivates Caroline to be courageous?,Brave by Sara Bareilles,4,"[""D15:23""]"
conv-26_qa_130,conv-26,conv-26,Which  classical musicians does Melanie enjoy listening to?,Bach and Mozart,4,"[""D15:28""]"
conv-26_qa_131,conv-26,conv-26,Who is Melanie a fan of in terms of modern music?,Ed Sheeran,4,"[""D15:28""]"
conv-26_qa_132,conv-26,conv-26,How long has Melanie been creating art?,7 years,4,"[""D16:7""]"
conv-26_qa_133,conv-26,conv-26,What precautionary sign did Melanie see at the café?,A sign stating that someone is not being able to leave,4,"[""D16:16""]"
conv-26_qa_134,conv-26,conv-26,What advice does Caroline give for getting started with adoption?,"Do research, find an adoption agency or lawyer, gather necessary documents, and prepare emotionally.",4,"[""D17:7""]"
conv-26_qa_135,conv-26,conv-26,What setback did Melanie face in October 2023?,She got hurt and had to take a break from pottery.,4,"[""D17:8""]"
conv-26_qa_136,conv-26,conv-26,What does Melanie do to keep herself busy during her pottery break?,Read a book and paint.,4,"[""D17:10""]"
conv-26_qa_137,conv-26,conv-26,"What painting did Melanie show to Caroline on October 13, 2023?",A painting inspired by sunsets with a pink sky.,4,"[""D17:12""]"
conv-26_qa_138,conv-26,conv-26,"What kind of painting did Caroline share with Melanie on October 13, 2023?",An abstract painting with blue streaks on a wall.,4,"[""D17:14""]"
conv-26_qa_139,conv-26,conv-26,What was the poetry reading that Caroline attended about?,It was a transgender poetry reading where transgender people shared their stories.,4,"[""D17:18""]"
conv-26_qa_140,conv-26,conv-26,What did the posters at the poetry reading say?,"""Trans Lives Matter""",4,"[""D17:19""]"
conv-26_qa_141,conv-26,conv-26,What does Caroline's drawing symbolize for her?,Freedom and being true to herself.,4,"[""D17:23""]"
conv-26_qa_142,conv-26,conv-26,How do Melanie and Caroline describe their journey through life together?,An ongoing adventure of learning and growing.,4,"[""D17:25""]"
conv-26_qa_143,conv-26,conv-26,What happened to Melanie's son on their road trip?,He got into an accident,4,"[""D18:1""]"
conv-26_qa_144,conv-26,conv-26,How did Melanie's son handle the accident?,He was scared but reassured by his family,4,"[""D18:6"", ""D18:7""]"
conv-26_qa_145,conv-26,conv-26,How did Melanie feel about her family after the accident?,They are important and mean the world to her,4,"[""D18:5""]"
conv-26_qa_146,conv-26,conv-26,How did Melanie's children handle the accident?,They were scared but resilient,4,"[""D18:7""]"
conv-26_qa_147,conv-26,conv-26,How did Melanie feel after the accident?,Grateful and thankful for her family,4,"[""D18:5""]"
conv-26_qa_148,conv-26,conv-26,What was Melanie's reaction to her children enjoying the Grand Canyon?,She was happy and thankful,4,"[""D18:5""]"
conv-26_qa_149,conv-26,conv-26,What do Melanie's family give her?,Strength and motivation,4,"[""D18:9""]"
conv-26_qa_150,conv-26,conv-26,How did Melanie feel about her family supporting her?,She appreciated them a lot,4,"[""D18:13""]"
conv-26_qa_151,conv-26,conv-26,What did Melanie do after the road trip to relax?,Went on a nature walk or hike,4,"[""D18:17""]"
conv-26_qa_152,conv-26,conv-26,What did Caroline realize after her charity race?,self-care is important,5,"[""D2:3""]"
conv-26_qa_153,conv-26,conv-26,What are Melanie's plans for the summer with respect to adoption?,researching adoption agencies,5,"[""D2:8""]"
conv-26_qa_154,conv-26,conv-26,What type of individuals does the adoption agency Melanie is considering support?,LGBTQ+ individuals,5,"[""D2:12""]"
conv-26_qa_155,conv-26,conv-26,Why did Melanie choose the adoption agency?,because of their inclusivity and support for LGBTQ+ individuals,5,"[""D2:12""]"
conv-26_qa_156,conv-26,conv-26,What is Melanie excited about in her adoption process?,creating a family for kids who need one,5,"[""D2:14""]"
conv-26_qa_157,conv-26,conv-26,What does Melanie's necklace symbolize?,"love, faith, and strength",5,"[""D4:3""]"
conv-26_qa_158,conv-26,conv-26,What country is Melanie's grandma from?,Sweden,5,"[""D4:3""]"
conv-26_qa_159,conv-26,conv-26,What was grandma's gift to Melanie?,necklace,5,"[""D4:3""]"
conv-26_qa_160,conv-26,conv-26,What was grandpa's gift to Caroline?,necklace,5,"[""D4:3""]"
conv-26_qa_161,conv-26,conv-26,What is Caroline's hand-painted bowl a reminder of?,art and self-expression,5,"[""D4:5""]"
conv-26_qa_162,conv-26,conv-26,What did Caroline and her family do while camping?,"explored nature, roasted marshmallows, and went on a hike",5,"[""D4:8""]"
conv-26_qa_163,conv-26,conv-26,What kind of counseling and mental health services is Melanie interested in pursuing?,"working with trans people, helping them accept themselves and supporting their mental health",5,"[""D4:13""]"
conv-26_qa_164,conv-26,conv-26,What kind of counseling workshop did Melanie attend recently?,LGBTQ+ counseling workshop,5,"[""D4:13""]"
conv-26_qa_165,conv-26,conv-26,What motivated Melanie to pursue counseling?,"her own journey and the support she received, and how counseling improved her life",5,"[""D4:15""]"
conv-26_qa_166,conv-26,conv-26,What kind of place does Melanie want to create for people?,a safe and inviting place for people to grow,5,"[""D4:15""]"
conv-26_qa_167,conv-26,conv-26,Did Caroline make the black and white bowl in the photo?,No,5,"[""D5:8""]"
conv-26_qa_168,conv-26,conv-26,What are the new shoes that Caroline got used for?,Running,5,"[""D7:19""]"
conv-26_qa_169,conv-26,conv-26,What is Caroline's reason for getting into running?,To de-stress and clear her mind,5,"[""D7:21""]"
conv-26_qa_170,conv-26,conv-26,What does Caroline say running has been great for?,Her mental health,5,"[""D7:24""]"
conv-26_qa_171,conv-26,conv-26,What did Melanie see at the council meeting for adoption?,many people wanting to create loving homes for children in need,5,"[""D8:9""]"
conv-26_qa_172,conv-26,conv-26,What inspired Melanie's painting for the art show?,visiting an LGBTQ center and wanting to capture unity and strength,5,"[""D9:16""]"
conv-26_qa_173,conv-26,conv-26,What inspired Caroline's sculpture for the art show?,visiting an LGBTQ center and wanting to capture unity and strength,5,"[""D9:16""]"
conv-26_qa_174,conv-26,conv-26,How often does Caroline go to the beach with her kids?,once or twice a year,5,"[""D10:10""]"
conv-26_qa_175,conv-26,conv-26,What did Caroline and her family see during their camping trip last year?,Perseid meteor shower,5,"[""D10:14""]"
conv-26_qa_176,conv-26,conv-26,How did Caroline feel while watching the meteor shower?,in awe of the universe,5,"[""D10:18""]"
conv-26_qa_177,conv-26,conv-26,Why did Caroline choose to use colors and patterns in her pottery project?,She wanted to catch the eye and make people smile.,5,"[""D12:6""]"
conv-26_qa_178,conv-26,conv-26,Is Oscar Melanie's pet?,No,5,"[""D13:3""]"
conv-26_qa_179,conv-26,conv-26,Where did Oscar hide his bone once?,In Melanie's slipper,5,"[""D13:6""]"
conv-26_qa_180,conv-26,conv-26,What activity did Melanie used to do with her dad?,Horseback riding,5,"[""D13:7""]"
conv-26_qa_181,conv-26,conv-26,What did Melanie make for a local church?,a stained glass window,5,"[""D14:17""]"
conv-26_qa_182,conv-26,conv-26,What did Melanie find in her neighborhood during her walk?,a rainbow sidewalk,5,"[""D14:23""]"
conv-26_qa_183,conv-26,conv-26,Which song motivates Melanie to be courageous?,Brave by Sara Bareilles,5,"[""D15:23""]"
conv-26_qa_184,conv-26,conv-26,What type of instrument does Caroline play?,clarinet and violin,5,"[""D15:26""]"
conv-26_qa_185,conv-26,conv-26,Which classical musicians does Caroline enjoy listening to?,Bach and Mozart,5,"[""D15:28""]"
conv-26_qa_186,conv-26,conv-26,Who is Caroline a fan of in terms of modern music?,Ed Sheeran,5,"[""D15:28""]"
conv-26_qa_187,conv-26,conv-26,What precautionary sign did Caroline see at the café?,A sign stating that someone is not being able to leave,5,"[""D16:16""]"
conv-26_qa_188,conv-26,conv-26,What setback did Caroline face recently?,She got hurt and had to take a break from pottery.,5,"[""D17:8""]"
conv-26_qa_189,conv-26,conv-26,What does Caroline do to keep herself busy during her pottery break?,Read a book and paint.,5,"[""D17:10""]"
conv-26_qa_190,conv-26,conv-26,What was the poetry reading that Melanie attended about?,It was a transgender poetry reading where transgender people shared their stories.,5,"[""D17:18""]"
conv-26_qa_191,conv-26,conv-26,What happened to Caroline's son on their road trip?,He got into an accident,5,"[""D18:1""]"
conv-26_qa_192,conv-26,conv-26,How did Caroline's son handle the accident?,He was scared but reassured by his family,5,"[""D18:6"", ""D18:7""]"
conv-26_qa_193,conv-26,conv-26,How did Caroline feel about her family after the accident?,They are important and mean the world to her,5,"[""D18:5""]"
conv-26_qa_194,conv-26,conv-26,How did Caroline's children handle the accident?,They were scared but resilient,5,"[""D18:7""]"
conv-26_qa_195,conv-26,conv-26,How did Caroline feel after the accident?,Grateful and thankful for her family,5,"[""D18:5""]"
conv-26_qa_196,conv-26,conv-26,What was Caroline's reaction to her children enjoying the Grand Canyon?,She was happy and thankful,5,"[""D18:5""]"
conv-26_qa_197,conv-26,conv-26,What did Caroline do after the road trip to relax?,Went on a nature walk or hike,5,"[""D18:17""]"
conv-26_qa_198,conv-26,conv-26,What does Caroline love most about camping with her family?,Being present and bonding with her family,5,"[""D18:21""]"
conv-30_qa_0,conv-30,conv-30,When Jon has lost his job as a banker?,"19 January, 2023",2,"[""D1:2""]"
conv-30_qa_1,conv-30,conv-30,When Gina has lost her job at Door Dash?,"January, 2023",2,"[""D1:3""]"
conv-30_qa_2,conv-30,conv-30,How do Jon and Gina both like to destress?,by dancing,4,"[""D1:7"", ""D1:6""]"
conv-30_qa_3,conv-30,conv-30,What do Jon and Gina both have in common?,They lost their jobs and decided to start their own businesses.,1,"[""D1:2"", ""D1:3"", ""D1:4"", ""D2:1""]"
conv-30_qa_4,conv-30,conv-30,Why did Jon decide to start his dance studio?,He lost his job and decided to start his own business to share his passion.,4,"[""D1:2"", ""D1:4""]"
conv-30_qa_5,conv-30,conv-30,What Jon thinks the ideal dance studio should look like?,"By the water, with natural light and Marley flooring",1,"[""D1:20"", ""D2:4"", ""D2:8""]"
conv-30_qa_6,conv-30,conv-30,When is Jon's group performing at a festival?,"February, 2023",2,"[""D1:24""]"
conv-30_qa_7,conv-30,conv-30,When did Gina launch an ad campaign for her store?,"29 January, 2023",2,"[""D2:1""]"
conv-30_qa_8,conv-30,conv-30,When was Jon in Paris?,28 January 2023,2,"[""D2:4""]"
conv-30_qa_9,conv-30,conv-30,Which city have both Jean and John visited?,Rome,1,"[""D2:5"", ""D15:1""]"
conv-30_qa_10,conv-30,conv-30,When did Gina team up with a local artist for some cool designs?,"February, 2023",2,"[""D5:5""]"
conv-30_qa_11,conv-30,conv-30,When did Gina get her tattoo?,A few years ago,2,"[""D5:15""]"
conv-30_qa_12,conv-30,conv-30,When did Jon start to go to the gym?,"March, 2023",2,"[""D6:1""]"
conv-30_qa_13,conv-30,conv-30,When did Gina open her online clothing store?,"16 March, 2023",2,"[""D6:6""]"
conv-30_qa_14,conv-30,conv-30,When did Jon start expanding his studio's social media presence?,"April, 2023",2,"[""D8:13""]"
conv-30_qa_15,conv-30,conv-30,When did Jon host a dance competition?,"May, 2023",2,"[""D8:13""]"
conv-30_qa_16,conv-30,conv-30,When did Jon go to a fair to get more exposure for his dance studio?,"24 April, 2023",2,"[""D10:1""]"
conv-30_qa_17,conv-30,conv-30,Why did Gina decide to start her own clothing store?,She always loved fashion trends and finding unique pieces and she lost her job so decided it was time to start her own business.,1,"[""D6:8"", ""D1:3""]"
conv-30_qa_18,conv-30,conv-30,Do Jon and Gina start businesses out of what they love?,Yes,1,"[""D1:4"", ""D6:8""]"
