old_path,new_path,status,layer,purpose,inputs,outputs,related_reports,safe_to_run,destructive_risk,last_verified,notes
scripts/memory/locomo_pipeline/reader_eval/locomo_llm_reader_full_v3.py,scripts/memory/locomo_pipeline/reader_eval/locomo_llm_reader_full_v3.py,PAPER_EVIDENCE,reader_eval,Full 1986-QA LLM reader v3,retrieval top10 CSV,llm_reader_full_v3_results.csv + summary,results/llm_reader_full_v3_*.csv,no,none,2026-06,slow LLM API — do not run without confirm
scripts/memory/locomo_pipeline/reader_eval/final_results_summary.py,scripts/memory/locomo_pipeline/reader_eval/final_results_summary.py,PAPER_EVIDENCE,reader_eval,Final results summary aggregation,unknown,unknown,unknown,yes,none,2026-06,
scripts/memory/locomo_pipeline/audit/audit_cassandra_kg_equivalence.py,scripts/memory/locomo_pipeline/audit/audit_cassandra_kg_equivalence.py,PAPER_EVIDENCE,audit,Cassandra online vs offline KG signal equivalence,unknown,audit CSV,results/audit/cassandra_online_vs_offline_kg_signal_audit.csv,no,low,2026-06,Layer A correctness
scripts/memory/locomo_pipeline/audit/audit_dense_kg_rescue.py,scripts/memory/locomo_pipeline/audit/audit_dense_kg_rescue.py,PAPER_EVIDENCE,audit,Dense+KG rescue/hurt analysis,retrieval results CSVs,rescue/hurt summary,results/audit_dense_kg_rescue_*.csv,yes,none,2026-06,
scripts/memory/locomo_pipeline/audit/audit_e2_backend_fair.py,scripts/memory/locomo_pipeline/audit/audit_e2_backend_fair.py,PAPER_EVIDENCE,audit,End-to-end backend fairness audit,unknown,audit CSV,results/e2_backend_fair_*.csv,yes,none,2026-06,
scripts/memory/locomo_pipeline/audit/audit_kg_boost_top10.py,scripts/memory/locomo_pipeline/audit/audit_kg_boost_top10.py,PAPER_EVIDENCE,audit,KG boost top10 audit,retrieval results + KG edges,audit CSV dump,results/audit_kg_boost_top10_*.csv,yes,none,2026-06,
scripts/memory/locomo_pipeline/audit/analysis_sample_scoped.py,scripts/memory/locomo_pipeline/audit/analysis_sample_scoped.py,PAPER_EVIDENCE,audit,Sample-scoped analysis (rescue/hurt/category/KG coverage),sample_scoped retrieval CSVs,analysis_rescue_hurt.csv + category_wise.csv + kg_coverage.csv,results/sample_scoped/analysis_*.csv,yes,none,2026-06,
scripts/memory/locomo_pipeline/audit/retrieval_scope_audit.py,scripts/memory/locomo_pipeline/audit/retrieval_scope_audit.py,PAPER_EVIDENCE,audit,Retrieval scope audit (cross-sample rate),unknown,scope audit CSV,results/final/retrieval_scope_audit_global.csv,yes,none,2026-06,
scripts/memory/cassandra_kg_backend/ablation/benchmark_cassandra_internal_ablation.py,scripts/memory/cassandra_kg_backend/ablation/benchmark_cassandra_internal_ablation.py,PAPER_EVIDENCE,LayerB,Layer B full internal ablation (parallel/cache/relation-index),Cassandra + synthetic graph,ablation summary CSV + raw latency logs,results/system/layerB_*.csv,no,medium,2026-06,connects to Cassandra
scripts/memory/cassandra_kg_backend/latency/benchmark_cassandra_kg_latency.py,scripts/memory/cassandra_kg_backend/latency/benchmark_cassandra_kg_latency.py,PAPER_EVIDENCE,latency,Cassandra KG serving latency benchmark,Cassandra + locomo graph,latency results,results/locomo_latency_results.csv,no,low,2026-06,connects to Cassandra
scripts/memory/cassandra_kg_backend/latency/locomo_latency_benchmark.py,scripts/memory/cassandra_kg_backend/latency/locomo_latency_benchmark.py,PAPER_EVIDENCE,latency,LoCoMo end-to-end latency benchmark,Cassandra + locomo graph,latency results,unknown,no,low,2026-06,connects to Cassandra
scripts/memory/cassandra_kg_backend/correctness/c0_cassandra_vs_neo4j.py,scripts/memory/cassandra_kg_backend/correctness/c0_cassandra_vs_neo4j.py,PAPER_EVIDENCE,LayerA,Cassandra vs Neo4j correctness equivalence,Cassandra + Neo4j + synthetic graph,correctness result JSON,reports/c0_correctness/,no,low,2026-07,connects to Cassandra+Neo4j
scripts/memory/cassandra_kg_backend/correctness/c0_naive_vs_parallel.py,scripts/memory/cassandra_kg_backend/correctness/c0_naive_vs_parallel.py,PAPER_EVIDENCE,LayerA,Naive vs parallel Cassandra traversal,Cassandra + synthetic graph,parallel comparison results,unknown,no,low,2026-07,connects to Cassandra
scripts/memory/cassandra_kg_backend/correctness/c0_naive_vs_parallel_cache.py,scripts/memory/cassandra_kg_backend/correctness/c0_naive_vs_parallel_cache.py,PAPER_EVIDENCE,LayerA,Naive vs parallel + cache Cassandra,Cassandra + synthetic graph,cache comparison results,unknown,no,low,2026-07,connects to Cassandra
scripts/memory/cassandra_kg_backend/correctness/c0_naive_vs_parallel_index.py,scripts/memory/cassandra_kg_backend/correctness/c0_naive_vs_parallel_index.py,PAPER_EVIDENCE,LayerA,Naive vs parallel + relation index,Cassandra + synthetic graph,index comparison results,unknown,no,low,2026-07,connects to Cassandra
scripts/memory/cassandra_kg_backend/recovery/recover_by_src_safe.py,scripts/memory/cassandra_kg_backend/recovery/recover_by_src_safe.py,DANGEROUS_RECOVERY,recovery,Cassandra data recovery by source,Cassandra,recovered data,reports/data_recovery/,no,high,2026-07,DO NOT RUN WITHOUT CONFIRMATION
scripts/memory/sysaxis/1m_write_ratio/sysaxis_smoke.py,scripts/memory/sysaxis/1m_write_ratio/sysaxis_smoke.py,ACTIVE_FINAL,write_ratio,Write-ratio smoke test,Cassandra + Neo4j + 1M graph,smoke results,reports/sysaxis_1m_write_ratio_final/,no,low,2026-07,connects to Cassandra+Neo4j
scripts/memory/sysaxis/1m_write_ratio/sysaxis_cold_sweep.py,scripts/memory/sysaxis/1m_write_ratio/sysaxis_cold_sweep.py,ACTIVE_FINAL,write_ratio,Write-ratio cold sweep,Cassandra + Neo4j + 1M graph,cold sweep results,reports/sysaxis_1m_write_ratio_final/,no,low,2026-07,connects to Cassandra+Neo4j
scripts/memory/sysaxis/1m_write_ratio/sysaxis_warm_sweep.py,scripts/memory/sysaxis/1m_write_ratio/sysaxis_warm_sweep.py,ACTIVE_FINAL,write_ratio,Write-ratio warm sweep,Cassandra + Neo4j + 1M graph,warm sweep results,reports/sysaxis_1m_write_ratio_final/,no,low,2026-07,connects to Cassandra+Neo4j
scripts/memory/sysaxis/1m_write_ratio/neo4j_scale_import.py,scripts/memory/sysaxis/1m_write_ratio/neo4j_scale_import.py,ACTIVE_FINAL,write_ratio,Neo4j scale graph import,Neo4j + 1M graph,imported graph,no,medium,2026-07,connects to Neo4j,
scripts/memory/sysaxis/1m_concurrency/quick_gate.py,scripts/memory/sysaxis/1m_concurrency/quick_gate.py,ACTIVE_FINAL,concurrency,Concurrency quick gate check,Cassandra + Neo4j + 1M graph,gate results,reports/sysaxis_1m_concurrency_final/,no,low,2026-07,connects to Cassandra+Neo4j
scripts/memory/sysaxis/1m_concurrency/concurrency_sweep.py,scripts/memory/sysaxis/1m_concurrency/concurrency_sweep.py,ACTIVE_FINAL,concurrency,Concurrency sweep (generic),Cassandra + Neo4j + 1M graph,sweep results,reports/sysaxis_1m_concurrency_final/,no,low,2026-07,connects to Cassandra+Neo4j
scripts/memory/sysaxis/1m_concurrency/concurrency_cold_sweep.py,scripts/memory/sysaxis/1m_concurrency/concurrency_cold_sweep.py,ACTIVE_FINAL,concurrency,Concurrency cold sweep,Cassandra + Neo4j + 1M graph,cold sweep results,reports/sysaxis_1m_concurrency_final/,no,low,2026-07,connects to Cassandra+Neo4j
scripts/memory/sysaxis/1m_concurrency/concurrency_warm_sweep.py,scripts/memory/sysaxis/1m_concurrency/concurrency_warm_sweep.py,ACTIVE_FINAL,concurrency,Concurrency warm sweep,Cassandra + Neo4j + 1M graph,warm sweep results,reports/sysaxis_1m_concurrency_final/,no,low,2026-07,connects to Cassandra+Neo4j
scripts/memory/sysaxis/1m_concurrency/resume_warm.py,scripts/memory/sysaxis/1m_concurrency/resume_warm.py,ACTIVE_FINAL,concurrency,Resume warm sweep from partial,Cassandra + Neo4j + 1M graph,resumed results,reports/sysaxis_1m_concurrency_final/,no,low,2026-07,connects to Cassandra+Neo4j
scripts/memory/sysaxis/1m_concurrency/finalize.py,scripts/memory/sysaxis/1m_concurrency/finalize.py,ACTIVE_FINAL,concurrency,Finalize and aggregate concurrency results,concurrency result CSVs,summary CSV+JSON,reports/sysaxis_1m_concurrency_final/,yes,none,2026-07,read-only aggregation
scripts/memory/sysaxis/1m_hop_depth/hop_smoke.py,scripts/memory/sysaxis/1m_hop_depth/hop_smoke.py,ACTIVE_FINAL,hop_depth,Hop-depth smoke test,Cassandra + Neo4j + 1M graph,smoke results,reports/sysaxis_1m_hop_depth_final/,no,low,2026-07,connects to Cassandra+Neo4j
scripts/memory/sysaxis/1m_hop_depth/hop_depth_preflight.py,scripts/memory/sysaxis/1m_hop_depth/hop_depth_preflight.py,ACTIVE_FINAL,hop_depth,Hop-depth preflight (generate manifests),c3_source_scale_1M.csv,manifest h1-h4 jsonl,results/sysaxis_1m_manifest_h*.jsonl,no,low,2026-07,connects to Cassandra+Neo4j
scripts/memory/sysaxis/1m_hop_depth/semantic_gates.py,scripts/memory/sysaxis/1m_hop_depth/semantic_gates.py,ACTIVE_FINAL,hop_depth,Semantic gate checks (Cassandra vs Neo4j hash),manifest jsonl + Cassandra + Neo4j,gate result JSONs,reports/sysaxis_1m_hop_depth_final/semantic_gate_*.json,no,low,2026-07,connects to Cassandra+Neo4j
scripts/memory/sysaxis/1m_hop_depth/hop_cold_sweep.py,scripts/memory/sysaxis/1m_hop_depth/hop_cold_sweep.py,ACTIVE_FINAL,hop_depth,1M hop-depth cold sweep (40 trials),Cassandra + Neo4j + 1M manifest,trial_summary_cold.csv + guards,reports/sysaxis_1m_hop_depth_final/*cold*,no,low,2026-07,connects to Cassandra+Neo4j
scripts/memory/sysaxis/1m_hop_depth/hop_warm_sweep.py,scripts/memory/sysaxis/1m_hop_depth/hop_warm_sweep.py,ACTIVE_FINAL,hop_depth,1M hop-depth warm sweep (40 trials 15s warmup),Cassandra + Neo4j + 1M manifest,trial_summary_warm.csv + guards,reports/sysaxis_1m_hop_depth_final/*warm*,no,low,2026-07,connects to Cassandra+Neo4j
scripts/memory/locomo_pipeline/retrieval/encode_bge_large_api.py,scripts/memory/locomo_pipeline/retrieval/encode_bge_large_api.py,PAPER_EVIDENCE,retrieval,BGE-large encoding via API,memory text or QA text,bge embeddings .npy,cache files in results/,yes,none,2026-06,API key required
scripts/memory/locomo_pipeline/extraction/inspect_locomo.py,scripts/memory/locomo_pipeline/extraction/inspect_locomo.py,SUPPORTING_TOOL,extraction,Inspect locomo10.json structure,locomo10.json,terminal output,none,yes,none,2026-06,
scripts/memory/locomo_pipeline/extraction/inspect_locomo_categories.py,scripts/memory/locomo_pipeline/extraction/inspect_locomo_categories.py,SUPPORTING_TOOL,extraction,Inspect locomo QA categories,locomo10.json,terminal output,none,yes,none,2026-06,
scripts/memory/locomo_pipeline/extraction/inspect_locomo_conversation.py,scripts/memory/locomo_pipeline/extraction/inspect_locomo_conversation.py,SUPPORTING_TOOL,extraction,Inspect single locomo conversation,locomo10.json,terminal output,none,yes,none,2026-06,
scripts/core/benchmark_depth_profile.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/benchmark_depth_profile_cache.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/benchmark_depth_profile_parallel.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/benchmark_high_degree.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/benchmark_neo4j_baseline.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/benchmark_neo4j_relation_path.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/benchmark_parallel_cache.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/benchmark_path_relation_index.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/benchmark_path_relation_index_parallel.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/benchmark_src_relation_index.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/benchmark_synthetic.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/benchmark_synthetic_parallel_relation.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/bulk_insert_kg.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/bulk_insert_kg_v2.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/bulk_insert_kg_v3.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/generate_high_degree_kg.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/generate_multirelation_index_kg.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/generate_noisy_path_index_kg.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/generate_synthetic_kg.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/neo4j_import_edges.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/plot_parallel_frontier_summary.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/plot_parallel_path_relation_index_summary.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/query_by_relation.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/query_high_degree_forward.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/query_synthetic_paths.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/core/sync_src_relation_index.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/initial_step/benchmark_queries.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/initial_step/insert_sample_edges.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/initial_step/kg_query_3hop.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/initial_step/query_reverse.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/initial_step/sync_relation_edges.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
scripts/initial_step/sync_reverse_edges.py,,ARCHIVE_LEGACY,prototype,Early Cassandra benchmark prototype,unknown,unknown,none,no,low,2026-05,
