qa_id,category,question,gold_memory_ids,retrieved_memory_ids,hit1,hit5,hit10,rr
conv-26_qa_14,3,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,D3:5;D4:15,D4:14;D19:12;D4:11;D4:8;D15:6;D4:12;D7:7;D23:19;D4:11;D1:11,0,0,0,0.0
conv-26_qa_15,1,What activities does Melanie partake in?,D1:12;D1:18;D5:4;D9:1,D19:14;D14:16;D31:18;D8:29;D11:16;D15:1;D1:4;D20:5;D7:27;D8:6,0,0,0,0.0
conv-26_qa_16,2,When did Melanie sign up for a pottery class?,D5:4,D14:4;D22:22;D5:4;D16:17;D7:8;D12:3;D5:5;D1:4;D16:8;D14:3,0,1,1,0.3333333333333333
conv-26_qa_17,2,When is Caroline going to the transgender conference?,D5:13,D5:13;D4:16;D14:12;D1:5;D17:19;D4:18;D19:17;D13:18;D20:16;D14:19,1,1,1,1.0
conv-26_qa_18,1,Where has Melanie camped?,D4:6;D6:16;D8:32,D8:29;D11:16;D15:1;D7:27;D1:13;D6:5;D4:17;D15:25;D14:3;D18:12,0,0,0,0.0
conv-26_qa_19,1,What do Melanie's kids like?,D4:8;D6:6,D23:5;D8:3;D8:29;D11:16;D2:16;D15:1;D19:5;D7:27;D1:13;D6:5,0,0,0,0.0
conv-26_qa_20,2,When did Melanie go to the museum?,D6:4,D22:22;D14:3;D6:4;D1:15;D8:29;D11:16;D15:1;D9:4;D7:27;D1:13,0,1,1,0.3333333333333333
conv-26_qa_21,2,When did Caroline have a picnic?,D6:11,D22:22;D1:15;D8:2;D11:1;D8:22;D9:4;D28:7;D3:5;D13:18;D7:19,0,0,0,0.0
conv-26_qa_22,3,Would Caroline likely have Dr. Seuss books on her bookshelf?,D6:9,D29:19;D4:19;D2:8;D20:20;D7:10;D20:8;D11:25;D11:26;D4:6;D20:19,0,0,0,0.0
conv-26_qa_23,1,What books has Melanie read?,D6:10;D7:8,D11:25;D29:18;D19:19;D22:14;D4:6;D20:23;D8:3;D5:17;D27:16;D8:29,0,0,0,0.0
conv-26_qa_24,1,What does Melanie do to destress?,D5:4;D7:22,D7:20;D14:16;D2:11;D8:29;D11:16;D15:1;D1:4;D7:27;D1:13;D6:5,0,0,0,0.0
conv-26_qa_25,2,When did Caroline go to the LGBTQ conference?,D7:1,D22:22;D7:1;D14:34;D1:15;D9:11;D8:22;D1:3;D5:2;D9:4;D28:7,0,1,1,0.5
conv-26_qa_26,2,"When did Melanie read the book ""nothing is impossible""?",D7:8,D11:27;D22:22;D19:19;D11:25;D29:18;D14:3;D22:14;D19:21;D14:23;D29:22,0,0,0,0.0
conv-26_qa_27,3,Would Caroline pursue writing as a career option?,D7:5;D7:9,D6:9;D4:8;D23:19;D4:14;D11:14;D25:18;D30:18;D7:8;D4:11;D23:11,0,0,0,0.0
conv-26_qa_28,2,When did Caroline go to the adoption meeting?,D8:9,D22:22;D19:2;D2:13;D13:16;D27:13;D13:1;D8:9;D1:15;D8:10;D8:22,0,0,1,0.14285714285714285
conv-26_qa_29,2,When did Melanie go to the pottery workshop?,D8:2,D8:2;D22:22;D14:4;D12:3;D5:5;D6:9;D16:8;D14:3;D6:3;D17:9,1,1,1,1.0
conv-26_qa_30,3,Would Melanie be considered a member of the LGBTQ community?,,D14:34;D5:2;D11:8;D3:1;D16:5;D3:2;D28:18;D9:2;D9:16;D10:7,0,0,0,0.0
conv-26_qa_31,2,When did Melanie go camping in June?,D4:8,D22:22;D20:35;D18:11;D14:3;D18:20;D20:34;D1:15;D10:13;D8:29;D11:16,0,0,0,0.0
conv-26_qa_32,1,What LGBTQ+ events has Caroline participated in?,D1:3;D3:1;D5:1;D8:17,D14:34;D7:2;D10:6;D9:11;D1:3;D5:2;D10:5;D15:12;D29:9;D21:22,0,1,1,0.2
conv-26_qa_33,2,When did Caroline go to a pride parade during the summer?,D5:1,D8:17;D5:1;D22:22;D11:4;D10:7;D2:7;D5:2;D9:8;D10:1;D1:15,0,1,1,0.5
conv-26_qa_34,1,What events has Caroline participated in to help children?,D3:3;D9:2,D7:2;D10:6;D29:2;D8:20;D15:12;D29:9;D21:22;D29:2;D17:6;D15:14,0,0,0,0.0
conv-26_qa_35,2,When did Melanie go camping in July?,D9:1,D22:22;D20:35;D16:13;D18:11;D14:3;D18:20;D20:34;D1:15;D10:13;D8:29,0,0,0,0.0
conv-26_qa_36,2,When did Caroline join a mentorship program?,D9:2,D9:2;D22:22;D8:18;D21:23;D8:13;D8:31;D14:12;D11:17;D1:15;D3:8,1,1,1,1.0
conv-26_qa_37,1,What did Melanie paint recently?,D8:6; D9:17,D22:22;D11:11;D14:3;D10:13;D17:14;D1:15;D10:14;D13:2;D8:29;D11:16,0,0,0,0.0
conv-26_qa_38,1,What activities has Melanie done with her family?,D1:18;D3:14;D6:4;D8:4;D8:6;D9:1,D8:29;D4:9;D19:14;D18:12;D10:23;D8:10;D15:28;D31:18;D11:16;D15:1,0,0,0,0.0
conv-26_qa_39,1,In what ways is Caroline participating in the LGBTQ community?,D10:3;D5:1;D9:12;D9:2,D14:34;D5:2;D3:2;D11:8;D16:5;D6:7;D3:1;D14:14;D10:3;D9:11,0,0,1,0.1111111111111111
conv-26_qa_40,1,How many times has Melanie gone to the beach in 2023?,D10:8;D6:16,D21:3;D13:1;D18:11;D18:14;D29:30;D8:29;D11:16;D3:24;D6:1;D15:1,0,0,0,0.0
conv-26_qa_41,2,When did Caroline join a new activist group?,D10:3,D22:22;D10:3;D8:18;D21:23;D8:13;D8:31;D14:12;D15:25;D11:17;D1:15,0,1,1,0.5
conv-26_qa_42,3,Would Melanie be more interested in going to a national park or a theme park?,D10:12;D10:14,D26:14;D5:8;D14:30;D3:6;D4:16;D7:3;D29:29;D8:12;D8:32;D9:16,0,0,0,0.0
conv-26_qa_43,1,What kind of art does Caroline make?,D11:12;D11:8;D9:14,D12:12;D17:22;D9:13;D12:3;D3:13;D11:13;D13:2;D14:24;D3:18;D14:16,0,0,0,0.0
conv-26_qa_44,2,When is Melanie's daughter's birthday?,D11:1,D11:1;D22:7;D29:9;D4:5;D8:29;D11:16;D15:1;D7:27;D1:13;D6:5,1,1,1,1.0
conv-26_qa_45,2,When did Caroline attend a pride parade in August?,D11:4,D8:17;D5:1;D22:22;D11:4;D10:7;D5:2;D9:8;D1:15;D15:11;D8:22,0,1,1,0.25
conv-26_qa_46,3,Would Melanie be considered an ally to the transgender community?,,D14:12;D1:5;D5:13;D17:19;D3:1;D10:7;D9:6;D13:14;D8:29;D11:16,0,0,0,0.0
conv-26_qa_47,1,Who supports Caroline when she has a negative experience?,D12:1;D3:11,D23:25;D5:2;D3:13;D13:18;D22:2;D20:4;D30:9;D4:16;D12:14;D14:18,0,0,0,0.0
conv-26_qa_48,1,What types of pottery have Melanie and her kids made?,D12:14;D5:6;D8:4,D14:4;D12:3;D5:5;D16:8;D8:5;D17:9;D22:3;D3:18;D8:2;D14:15,0,0,0,0.0
conv-26_qa_49,2,When did Caroline and Melanie go to a pride fesetival together?,D12:15,D22:22;D14:3;D9:8;D1:15;D15:11;D8:22;D8:29;D11:16;D15:1;D9:4,0,0,0,0.0
conv-26_qa_50,3,What would Caroline's political leaning likely be?,D12:1,D4:11;D13:18;D12:3;D12:14;D14:18;D12:20;D6:14;D12:18;D7:24;D10:2,0,0,0,0.0
conv-26_qa_51,1,What has Melanie painted?,D13:8;D1:12;D8:6,D9:16;D14:7;D1:14;D4:5;D8:29;D11:16;D15:1;D17:14;D7:27;D1:13,0,0,0,0.0
conv-26_qa_52,1,What are Melanie's pets' names?,D13:4;D7:18,D1:13;D7:17;D1:6;D1:7;D28:29;D3:9;D8:29;D11:16;D15:1;D7:27,0,0,0,0.0
conv-26_qa_53,2,When did Caroline apply to adoption agencies?,D13:1,D2:8;D13:1;D22:22;D2:10;D2:13;D13:16;D13:7;D19:2;D1:15;D8:22,0,1,1,0.5
conv-26_qa_54,2,When did Caroline draw a self-portrait?,D13:11,D13:11;D22:22;D19:10;D11:13;D1:15;D8:22;D9:4;D28:7;D3:5;D13:18,1,1,1,1.0
conv-26_qa_55,1,What subject have Caroline and Melanie both painted?,D14:5;D8:6,D9:16;D14:7;D17:14;D1:14;D25:4;D4:5;D8:29;D11:16;D15:1;D7:27,0,0,0,0.0
conv-26_qa_56,1,What symbols are important to Caroline?,D14:15;D4:1,D7:26;D8:18;D19:24;D13:34;D13:18;D12:14;D14:18;D15:23;D10:11;D6:16,0,0,0,0.0
conv-26_qa_57,2,When did Caroline encounter people on a hike and have a negative experience?,D14:1,D22:22;D1:8;D8:20;D20:7;D13:2;D6:14;D5:15;D23:25;D1:15;D8:22,0,0,0,0.0
conv-26_qa_58,2,When did Melanie make a plate in pottery class?,D14:4,D14:3;D14:4;D5:4;D22:22;D12:3;D5:5;D16:8;D17:9;D8:13;D1:15,0,1,1,0.5
conv-26_qa_59,3,Would Caroline be considered religious?,D12:1;D14:19,D10:7;D9:6;D13:14;D13:18;D12:1;D4:6;D12:14;D14:18;D22:5;D12:20,0,1,1,0.2
conv-26_qa_60,1,What instruments does Melanie play?,D15:26;D2:5,D15:25;D24:13;D24:12;D8:33;D14:16;D8:29;D11:16;D15:1;D1:4;D7:27,0,0,0,0.0
conv-26_qa_61,1,What musical artists/bands has Melanie seen?,D11:3;D15:16,D3:3;D3:2;D24:1;D25:13;D27:2;D9:12;D2:10;D26:27;D8:29;D11:16,0,0,0,0.0
conv-26_qa_62,2,When did Melanie go to the park?,D15:2,D22:22;D14:30;D14:3;D3:6;D8:8;D1:15;D8:29;D11:16;D15:1;D9:4,0,0,0,0.0
conv-26_qa_63,2,When is Caroline's youth center putting on a talent show?,D15:11,D15:11;D15:9;D15:3;D17:13;D19:6;D3:6;D14:14;D17:21;D9:2;D12:19,1,1,1,1.0
conv-26_qa_64,3,"Would Melanie likely enjoy the song ""The Four Seasons"" by Vivaldi?",D15:28,D3:23;D12:16;D20:7;D8:29;D11:16;D20:6;D15:1;D7:27;D1:13;D6:5,0,0,0,0.0
conv-26_qa_65,1,What are some changes Caroline has faced during her transition journey?,D11:14;D16:15,D6:12;D14:12;D17:2;D24:9;D13:6;D3:8;D4:6;D3:2;D4:26;D2:7,0,0,0,0.0
conv-26_qa_66,1,What does Melanie do with her family on hikes?,D10:12;D16:4,D8:29;D4:9;D11:8;D16:16;D18:12;D10:23;D2:19;D14:26;D4:16;D14:16,0,0,0,0.0
conv-26_qa_67,2,When did Caroline go biking with friends?,D16:1,D22:22;D12:2;D20:33;D1:15;D8:22;D9:4;D28:6;D28:7;D16:3;D3:5,0,0,0,0.0
conv-26_qa_68,2,How long has Melanie been practicing art?,D16:8,D16:7;D4:1;D12:3;D24:11;D8:27;D1:1;D2:11;D8:29;D11:16;D15:1,0,0,0,0.0
conv-26_qa_69,3,What personality traits might Melanie say Caroline has?,D13:16;D16:18;D7:4,D10:1;D26:10;D4:8;D16:4;D21:15;D8:29;D11:16;D15:1;D27:7;D7:27,0,0,0,0.0
conv-26_qa_70,1,What transgender-specific events has Caroline attended?,D15:13;D17:19,D14:12;D16:6;D1:5;D19:10;D17:19;D15:10;D24:7;D7:12;D7:2;D17:7,0,1,1,0.2
conv-26_qa_71,1,What book did Melanie read from Caroline's suggestion?,D17:10;D7:11,D22:22;D18:9;D1:21;D11:25;D29:18;D4:28;D19:19;D14:3;D22:14;D19:21,0,0,0,0.0
conv-26_qa_72,2,When did Melanie's friend adopt a child?,D17:3,D22:22;D2:28;D8:37;D14:3;D17:3;D13:1;D1:15;D8:29;D11:16;D6:21,0,1,1,0.2
conv-26_qa_73,2,When did Melanie get hurt?,D17:8,D22:22;D14:3;D7:1;D1:15;D6:14;D8:29;D11:16;D15:1;D9:4;D7:27,0,0,0,0.0
conv-26_qa_74,2,When did Melanie's family go on a roadtrip?,D18:1,D8:29;D4:9;D22:22;D18:12;D14:3;D10:23;D1:15;D18:1;D11:16;D15:1,0,0,1,0.125
conv-26_qa_75,1,How many children does Melanie have?,D18:1;D18:7,D14:16;D8:29;D11:16;D15:1;D1:4;D7:27;D1:13;D6:5;D7:4;D4:17,0,0,0,0.0
conv-26_qa_76,1,When did Melanie go on a hike after the roadtrip?,D18:17,D22:22;D14:3;D1:8;D1:15;D18:1;D8:29;D11:16;D15:1;D9:4;D11:5,0,0,0,0.0
conv-26_qa_77,3,Would Melanie go on another roadtrip soon?,D18:1;D18:3,D3:15;D5:20;D7:11;D18:1;D8:29;D11:16;D15:1;D7:27;D18:14;D1:13,0,1,1,0.25
conv-26_qa_78,1,What items has Melanie bought?,D19:2;D7:18,D2:24;D4:4;D8:29;D11:16;D15:1;D8:8;D14:6;D7:27;D1:13;D6:5,0,0,0,0.0
conv-26_qa_79,2,When did Caroline pass the adoption interview?,D19:1,D22:22;D15:14;D2:13;D13:16;D11:15;D13:1;D19:2;D1:15;D17:10;D8:22,0,0,0,0.0
conv-26_qa_80,2,When did Melanie buy the figurines?,D19:2,D22:22;D23:9;D14:3;D19:2;D1:15;D8:29;D11:16;D15:1;D9:4;D7:27,0,1,1,0.25
conv-26_qa_81,3,Would Caroline want to move back to her home country soon?,D19:1;D19:3,D3:15;D3:13;D4:3;D5:20;D6:18;D17:22;D19:4;D16:10;D7:11;D31:13,0,0,0,0.0
conv-26_qa_82,4,What did the charity race raise awareness for?,D2:2,D2:2;D2:1;D22:22;D5:2;D12:3;D6:1;D32:6;D28:12;D29:4;D10:10,1,1,1,1.0
conv-26_qa_83,4,What did Melanie realize after the charity race?,D2:3,D2:2;D2:1;D22:22;D14:3;D10:10;D1:15;D8:29;D11:16;D15:1;D9:4,0,0,0,0.0
conv-26_qa_84,4,How does Melanie prioritize self-care?,D2:5,D7:23;D16:10;D8:14;D2:4;D26:24;D3:24;D7:13;D5:16;D12:14;D6:16,0,0,0,0.0
conv-26_qa_85,4,What are Caroline's plans for the summer?,D2:8,D2:7;D9:5;D23:24;D16:10;D26:15;D23:19;D2:6;D14:18;D13:18;D20:33,0,0,0,0.0
conv-26_qa_86,4,What type of individuals does the adoption agency Caroline is considering support?,D2:12,D19:1;D17:7;D2:11;D2:13;D15:18;D9:11;D17:22;D15:20;D8:19;D13:16,0,0,0,0.0
conv-26_qa_87,4,Why did Caroline choose the adoption agency?,D2:12,D19:1;D22:22;D15:35;D17:7;D2:11;D23:9;D13:9;D2:13;D13:16;D29:32,0,0,0,0.0
conv-26_qa_88,4,What is Caroline excited about in the adoption process?,D2:14,D2:13;D5:12;D13:16;D17:3;D19:1;D19:2;D13:1;D2:8;D6:3;D17:7,0,0,0,0.0
conv-26_qa_89,4,What does Melanie think about Caroline's decision to adopt?,D2:15,D17:22;D17:3;D20:5;D6:13;D13:2;D8:2;D13:1;D14:16;D8:29;D11:16,0,0,0,0.0
conv-26_qa_90,4,How long have Mel and her husband been married?,D3:16,D7:6;D3:15;D3:14;D21:2;D2:5;D6:1;D1:1;D21:4;D1:1;D2:11,0,0,0,0.0
conv-26_qa_91,4,What does Caroline's necklace symbolize?,D4:3,D4:25;D4:2;D17:22;D4:4;D13:2;D14:16;D1:4;D6:11;D7:4;D13:18,0,0,0,0.0
conv-26_qa_92,4,What country is Caroline's grandma from?,D4:3,D6:18;D4:3;D17:22;D8:1;D16:10;D13:18;D27:13;D6:12;D6:14;D10:15,0,1,1,0.5
conv-26_qa_93,4,What was grandma's gift to Caroline?,D4:3,D4:3;D19:22;D4:26;D8:1;D19:11;D13:18;D10:15;D12:14;D14:18;D19:2,1,1,1,1.0
conv-26_qa_94,4,What is Melanie's hand-painted bowl a reminder of?,D4:5,D4:5;D9:16;D1:14;D17:15;D3:14;D12:5;D5:8;D14:7;D12:18;D5:7,1,1,1,1.0
conv-26_qa_95,4,What did Melanie and her family do while camping?,D4:8,D8:29;D4:9;D22:22;D6:16;D20:35;D10:12;D18:11;D18:12;D14:3;D18:20,0,0,0,0.0
conv-26_qa_96,4,What kind of counseling and mental health services is Caroline interested in pursuing?,D4:13,D4:12;D4:11;D7:7;D7:24;D7:5;D7:26;D6:3;D1:11;D5:3;D7:6,0,0,0,0.0
conv-26_qa_97,4,What workshop did Caroline attend recently?,D4:13,D22:22;D6:9;D6:3;D8:2;D17:14;D1:15;D8:22;D9:4;D28:7;D13:8,0,0,0,0.0
conv-26_qa_98,4,What was discussed in the LGBTQ+ counseling workshop?,D4:13,D8:19;D4:13;D6:9;D4:12;D1:11;D1:3;D4:11;D6:3;D9:12;D13:5,0,1,1,0.5
conv-26_qa_99,4,What motivated Caroline to pursue counseling?,D4:15,D4:14;D23:19;D6:9;D5:3;D7:8;D4:11;D4:12;D1:11;D23:11;D4:11,0,0,0,0.0
conv-26_qa_100,4,What kind of place does Caroline want to create for people?,D4:15,D11:11;D25:22;D17:22;D27:5;D3:13;D13:2;D6:14;D2:18;D11:18;D14:16,0,0,0,0.0
conv-26_qa_101,4,Did Melanie make the black and white bowl in the photo?,D5:8,D5:7;D22:22;D14:3;D25:14;D17:35;D3:14;D20:7;D12:5;D29:17;D5:8,0,0,1,0.1
conv-26_qa_102,4,What kind of books does Caroline have in her library?,D6:9,D6:8;D17:22;D7:10;D3:13;D6:7;D4:6;D13:2;D17:4;D14:16;D30:22,0,0,0,0.0
conv-26_qa_103,4,What was Melanie's favorite book from her childhood?,D6:10,D27:19;D4:20;D6:9;D27:31;D25:5;D27:29;D27:25;D27:20;D8:29;D11:16,0,0,0,0.0
conv-26_qa_104,4,What book did Caroline recommend to Melanie?,D7:11,D22:22;D14:9;D22:10;D3:16;D14:3;D11:27;D19:17;D17:14;D13:17;D23:4,0,0,0,0.0
conv-26_qa_105,4,"What did Caroline take away from the book ""Becoming Nicole""?",D7:13,D22:22;D7:12;D9:9;D17:14;D1:15;D8:22;D4:5;D9:4;D17:10;D7:11,0,0,0,0.0
conv-26_qa_106,4,What are the new shoes that Melanie got used for?,D7:19,D7:18;D13:14;D17:15;D6:10;D20:6;D24:6;D2:7;D20:14;D2:14;D29:12,0,0,0,0.0
conv-26_qa_107,4,What is Melanie's reason for getting into running?,D7:21,D7:23;D6:14;D7:21;D7:8;D7:20;D17:8;D13:10;D5:5;D8:29;D11:16,0,1,1,0.3333333333333333
conv-26_qa_108,4,What does Melanie say running has been great for?,D7:24,D10:1;D27:7;D7:23;D11:16;D7:21;D7:20;D26:10;D4:8;D15:1;D6:5,0,0,0,0.0
conv-26_qa_109,4,What did Mel and her kids make during the pottery workshop?,D8:2,D8:2;D22:22;D10:18;D14:4;D8:3;D6:9;D18:6;D1:1;D16:8;D8:5,1,1,1,1.0
conv-26_qa_110,4,What kind of pot did Mel and her kids make with clay?,D8:4,D8:4;D22:22;D10:18;D8:3;D5:10;D18:6;D1:1;D3:13;D12:19;D16:17,1,1,1,1.0
conv-26_qa_111,4,What creative project do Mel and her kids do together besides pottery?,D8:5,D14:4;D8:2;D8:5;D5:5;D12:3;D8:3;D1:1;D16:8;D5:4;D2:26,0,1,1,0.3333333333333333
conv-26_qa_112,4,What did Mel and her kids paint in their latest project in July 2023?,D8:6,D22:22;D8:3;D16:13;D26:4;D18:6;D11:11;D1:1;D8:6;D10:13;D16:17,0,0,1,0.125
conv-26_qa_113,4,What did Caroline see at the council meeting for adoption?,D8:9,D8:9;D22:22;D2:13;D13:16;D27:13;D13:1;D19:2;D1:15;D8:10;D8:22,1,1,1,1.0
conv-26_qa_114,4,What do sunflowers represent according to Caroline?,D8:11,D8:12;D13:18;D8:11;D12:14;D14:18;D12:20;D6:14;D12:18;D7:24;D10:2,0,1,1,0.3333333333333333
conv-26_qa_115,4,Why are flowers important to Melanie?,D8:12,D19:19;D6:3;D8:29;D11:16;D15:1;D9:16;D19:24;D7:27;D8:12;D4:30,0,0,1,0.1111111111111111
conv-26_qa_116,4,What inspired Caroline's painting for the art show?,D9:16,D9:14;D9:15;D16:12;D1:16;D14:18;D21:18;D21:18;D17:14;D11:11;D1:14,0,0,0,0.0
conv-26_qa_117,4,How often does Melanie go to the beach with her kids?,D10:10,D21:3;D14:16;D8:29;D11:16;D3:24;D10:8;D2:16;D15:1;D19:5;D21:4,0,0,0,0.0
conv-26_qa_118,4,What did Melanie and her family see during their camping trip last year?,D10:14,D8:29;D10:12;D4:9;D10:14;D26:4;D8:32;D22:22;D6:16;D20:35;D30:6,0,1,1,0.25
conv-26_qa_119,4,How did Melanie feel while watching the meteor shower?,D10:18,D10:16;D10:14;D22:22;D14:3;D2:15;D11:5;D8:20;D30:5;D30:5;D1:15,0,0,0,0.0
conv-26_qa_120,4,Whose birthday did Melanie celebrate recently?,D11:1,D22:22;D14:3;D3:4;D29:9;D4:5;D17:14;D1:15;D15:14;D8:14;D8:29,0,0,0,0.0
conv-26_qa_121,4,Who performed at the concert at Melanie's daughter's birthday?,D11:3,D11:1;D22:7;D29:9;D4:5;D8:29;D11:16;D15:1;D7:27;D1:13;D6:5,0,0,0,0.0
conv-26_qa_122,4,Why did Melanie choose to use colors and patterns in her pottery project?,D12:6,D12:5;D12:3;D22:22;D12:2;D15:35;D23:9;D14:4;D13:9;D5:5;D7:12,0,0,0,0.0
conv-26_qa_123,4,What pet does Caroline have?,D13:3,D7:15;D17:22;D2:21;D2:19;D1:14;D13:2;D14:16;D1:4;D18:20;D7:4,0,0,0,0.0
conv-26_qa_124,4,What pets does Melanie have?,D13:4,D13:2;D14:16;D28:29;D8:29;D11:16;D15:1;D1:4;D7:27;D1:13;D6:5,0,0,0,0.0
conv-26_qa_125,4,Where did Oliver hide his bone once?,D13:6,D22:22;D13:6;D27:14;D7:18;D1:15;D13:5;D9:4;D28:7;D3:5;D7:19,0,1,1,0.5
conv-26_qa_126,4,What activity did Caroline used to do with her dad?,D13:7,D22:22;D4:16;D14:19;D13:7;D20:6;D24:8;D2:7;D1:15;D29:12;D8:22,0,1,1,0.25
conv-26_qa_127,4,What did Caroline make for a local church?,D14:17,D12:12;D14:19;D22:22;D14:11;D1:15;D8:22;D23:19;D9:4;D8:20;D30:5,0,0,0,0.0
conv-26_qa_128,4,What did Caroline find in her neighborhood during her walk?,D14:23,D22:22;D8:12;D4:20;D1:15;D14:23;D9:16;D8:22;D9:4;D4:21;D20:13,0,1,1,0.2
conv-26_qa_129,4,Which song motivates Caroline to be courageous?,D15:23,D5:12;D15:24;D3:10;D20:7;D1:1;D14:13;D20:6;D15:23;D6:15;D15:16,0,0,1,0.125
conv-26_qa_130,4,Which  classical musicians does Melanie enjoy listening to?,D15:28,D14:16;D9:13;D29:8;D28:39;D3:23;D12:16;D15:28;D21:11;D14:24;D22:10,0,0,1,0.14285714285714285
conv-26_qa_131,4,Who is Melanie a fan of in terms of modern music?,D15:28,D15:28;D25:26;D20:4;D8:8;D13:8;D13:9;D8:29;D11:16;D1:12;D15:1,1,1,1,1.0
conv-26_qa_132,4,How long has Melanie been creating art?,D16:7,D16:6;D13:11;D16:9;D16:7;D4:1;D12:3;D8:27;D1:1;D2:11;D8:29,0,1,1,0.25
conv-26_qa_133,4,What precautionary sign did Melanie see at the café?,D16:16,D22:22;D16:17;D7:8;D1:4;D14:3;D16:14;D1:15;D19:6;D16:16;D8:29,0,0,1,0.1111111111111111
conv-26_qa_134,4,What advice does Caroline give for getting started with adoption?,D17:7,D3:14;D17:6;D12:3;D14:6;D25:19;D18:12;D4:3;D2:13;D13:6;D17:22,0,0,0,0.0
conv-26_qa_135,4,What setback did Melanie face in October 2023?,D17:8,D22:22;D14:3;D24:12;D19:4;D22:6;D11:24;D1:15;D8:29;D11:16;D15:1,0,0,0,0.0
conv-26_qa_136,4,What does Melanie do to keep herself busy during her pottery break?,D17:10,D17:9;D14:4;D12:3;D5:5;D16:8;D8:2;D3:17;D14:16;D5:12;D24:12,0,0,0,0.0
conv-26_qa_137,4,"What painting did Melanie show to Caroline on October 13, 2023?",D17:12,D14:30;D22:22;D13:8;D1:13;D14:3;D1:15;D21:15;D13:12;D8:13;D16:12,0,0,0,0.0
conv-26_qa_138,4,"What kind of painting did Caroline share with Melanie on October 13, 2023?",D17:14,D20:14;D14:30;D22:22;D13:8;D1:13;D11:16;D4:17;D14:3;D8:37;D1:15,0,0,0,0.0
conv-26_qa_139,4,What was the poetry reading that Caroline attended about?,D17:18,D17:17;D17:19;D16:6;D14:7;D9:1;D15:8;D14:22;D17:10;D11:3;D5:18,0,0,0,0.0
conv-26_qa_140,4,What did the posters at the poetry reading say?,D17:19,D17:17;D17:19;D22:22;D17:20;D16:4;D26:10;D4:8;D17:21;D14:7;D10:1,0,1,1,0.5
conv-26_qa_141,4,What does Caroline's drawing symbolize for her?,D17:23,D17:22;D13:2;D14:16;D8:13;D1:4;D6:11;D7:4;D14:29;D13:18;D16:10,0,0,0,0.0
conv-26_qa_142,4,How do Melanie and Caroline describe their journey through life together?,D17:25,D3:8;D8:37;D17:2;D4:1;D8:29;D11:16;D12:12;D15:1;D7:27;D19:11,0,0,0,0.0
conv-26_qa_143,4,What happened to Melanie's son on their road trip?,D18:1,D11:4;D5:9;D9:11;D5:11;D17:4;D29:1;D1:2;D20:6;D17:3;D18:17,0,0,0,0.0
