graph_id,src_id,src_type,relation,dst_id,dst_type,confidence,source,evidence
conv-26,caroline,person,plan,an_lgbtq_art_show_with_her,entity,1.0,locomo_observation_spacy,D9:12
conv-26,caroline,person,paint,a_piece_inspired_by_a_visit,entity,1.0,locomo_observation_spacy,D9:16
conv-26,caroline,person,join,a_new_lgbtq_activist_group_called,entity,1.0,locomo_observation_spacy,D10:3
conv-26,caroline,person,support,each_other_and_positive_changes,entity,1.0,locomo_observation_spacy,D10:5
conv-26,caroline,person,participate,in_a_pride_parade,entity,1.0,locomo_observation_spacy,D10:7
conv-26,melanie,person,enjoy,family_beach_trips_with_her_kids,entity,1.0,locomo_observation_spacy,D10:8
conv-26,melanie,person,include,a_camping_trip_where_they_roast,entity,1.0,locomo_observation_spacy,D10:12
conv-26,melanie,person,watch,the_perseid_meteor_shower,entity,1.0,locomo_observation_spacy,D10:14
conv-26,melanie,person,treasure,the_memory_of_her_youngest_child,entity,1.0,locomo_observation_spacy,D10:20
conv-26,melanie,person,celebrate,her_daughter_s_birthday,entity,1.0,locomo_observation_spacy,D11:1
conv-26,melanie,person,value,special_moments,entity,1.0,locomo_observation_spacy,D11:1
conv-26,melanie,person,appreciate,appreciate,entity,1.0,locomo_observation_spacy,D11:7
conv-26,melanie,person,value,value,entity,1.0,locomo_observation_spacy,D11:7
conv-26,melanie,person,admire,caroline_s_art,entity,1.0,locomo_observation_spacy,D11:13
conv-26,caroline,person,attend,a_pride_parade,entity,1.0,locomo_observation_spacy,D11:4
conv-26,caroline,person,represent,inclusivity_and_diversity_in_her_art,entity,1.0,locomo_observation_spacy,D11:8
conv-26,caroline,person,focus,focus,entity,1.0,locomo_observation_spacy,D11:10
conv-26,caroline,person,paint,paint,entity,1.0,locomo_observation_spacy,D11:12
conv-26,caroline,person,heal,heal,entity,1.0,locomo_observation_spacy,D11:14
conv-26,caroline,person,share,her_art_and_experiences,entity,1.0,locomo_observation_spacy,D11:16
conv-26,caroline,person,run,into_a_group_of_religious_conservatives,entity,1.0,locomo_observation_spacy,D12:1
conv-26,caroline,person,accept,accept,entity,1.0,locomo_observation_spacy,D12:1
conv-26,caroline,person,express,express,entity,1.0,locomo_observation_spacy,D12:9
conv-26,caroline,person,go,go,entity,1.0,locomo_observation_spacy,D12:11
conv-26,caroline,person,express,appreciation_for_her_friendship_with_melanie,entity,1.0,locomo_observation_spacy,D12:13
conv-26,caroline,person,value,supportive_friends,entity,1.0,locomo_observation_spacy,D12:15
conv-26,melanie,person,finish,another_pottery_project,entity,1.0,locomo_observation_spacy,D12:2
conv-26,melanie,person,has_memory,Melanie_pottery_project_source_happiness,entity,1.0,locomo_observation_spacy,D12:8
conv-26,melanie,person,consider,it,entity,1.0,locomo_observation_spacy,D12:8
conv-26,melanie,person,value,value,entity,1.0,locomo_observation_spacy,D12:14
conv-26,melanie,person,suggest,suggest,entity,1.0,locomo_observation_spacy,D12:16
conv-26,caroline,person,take,the_first_step_towards_becoming_a,entity,1.0,locomo_observation_spacy,D13:1
conv-26,caroline,person,attend,an_adoption_advice_assistance_group_to,entity,1.0,locomo_observation_spacy,D13:1
conv-26,caroline,person,name,oscar,entity,1.0,locomo_observation_spacy,D13:3
conv-26,caroline,person,use,use,entity,1.0,locomo_observation_spacy,D13:7
conv-26,caroline,person,love,horses,entity,1.0,locomo_observation_spacy,D13:7
conv-26,caroline,person,express,herself,entity,1.0,locomo_observation_spacy,D13:13
conv-26,caroline,person,promote,lgbtq_rights,entity,1.0,locomo_observation_spacy,D13:15
conv-26,melanie,person,include,another_cat_named_bailey,entity,1.0,locomo_observation_spacy,D13:4
conv-26,melanie,person,share,a_photo_of_her_horse_painting,entity,1.0,locomo_observation_spacy,D13:8
conv-26,melanie,person,enjoy,enjoy,entity,1.0,locomo_observation_spacy,D13:10
conv-26,melanie,person,express,herself,entity,1.0,locomo_observation_spacy,D13:14
conv-26,caroline,person,go,last_week,entity,1.0,locomo_observation_spacy,D14:1
conv-26,caroline,person,paint,a_vivid_sunset_inspired_by_a,entity,1.0,locomo_observation_spacy,D14:7
conv-26,caroline,person,transition,transition,entity,1.0,locomo_observation_spacy,D14:13
conv-26,caroline,person,create,a_rainbow_flag_mural_symbolizing_courage,entity,1.0,locomo_observation_spacy,D14:15
conv-26,caroline,person,stain,stain,entity,1.0,locomo_observation_spacy,D14:19
conv-26,caroline,person,remind,her,entity,1.0,locomo_observation_spacy,D14:23
conv-26,caroline,person,organize,an_lgbtq_art_show,entity,1.0,locomo_observation_spacy,D14:33
conv-26,melanie,person,relax,relax,entity,1.0,locomo_observation_spacy,D14:4
conv-26,melanie,person,paint,paint,entity,1.0,locomo_observation_spacy,D14:30
conv-26,melanie,person,volunteer,with_her_family,entity,1.0,locomo_observation_spacy,D14:10
conv-26,melanie,person,admire,caroline_s_courage_as_a_trans,entity,1.0,locomo_observation_spacy,D14:16
conv-26,melanie,person,create,a_painting_inspired_by_autumn,entity,1.0,locomo_observation_spacy,D14:32
conv-26,caroline,person,volunteer,at_an_lgbtq_youth_center,entity,1.0,locomo_observation_spacy,D15:3
conv-26,caroline,person,share,her_story,entity,1.0,locomo_observation_spacy,D15:5
conv-26,caroline,person,plan,plan,entity,1.0,locomo_observation_spacy,D15:9
conv-26,caroline,person,involve,involve,entity,1.0,locomo_observation_spacy,D15:11
conv-26,caroline,person,mention,mention,entity,1.0,locomo_observation_spacy,D15:19
conv-26,caroline,person,start,start,entity,1.0,locomo_observation_spacy,D15:21
conv-26,caroline,person,resonate,with_her_journey_and_determination,entity,1.0,locomo_observation_spacy,D15:23
conv-26,melanie,person,take,her_kids,entity,1.0,locomo_observation_spacy,D15:2
conv-26,melanie,person,play,the_clarinet,entity,1.0,locomo_observation_spacy,D15:26
conv-26,melanie,person,enjoy,classical_music_like_bach_and_mozart,entity,1.0,locomo_observation_spacy,D15:28
conv-26,caroline,person,spend,time,entity,1.0,locomo_observation_spacy,D16:1
conv-26,caroline,person,make,a_difference_for_the_lgbtq_community,entity,1.0,locomo_observation_spacy,D16:5
conv-26,caroline,person,create,art,entity,1.0,locomo_observation_spacy,D16:7
conv-26,caroline,person,use,art,entity,1.0,locomo_observation_spacy,D16:9
conv-26,caroline,person,represent,her_journey,entity,1.0,locomo_observation_spacy,D16:13
conv-26,caroline,person,change,change,entity,1.0,locomo_observation_spacy,D16:15
conv-26,melanie,person,enjoy,camping_with_her_kids_exploring_the,entity,1.0,locomo_observation_spacy,D16:2
conv-26,melanie,person,see,see,entity,1.0,locomo_observation_spacy,D16:4
conv-26,melanie,person,find,a_passion_for_painting_and_pottery,entity,1.0,locomo_observation_spacy,D16:8
conv-26,melanie,person,use,painting_and_pottery,entity,1.0,locomo_observation_spacy,D16:8
conv-26,caroline,person,contact,her_mentor,entity,1.0,locomo_observation_spacy,D17:1
conv-26,caroline,person,see,adoption,entity,1.0,locomo_observation_spacy,D17:3
conv-26,caroline,person,recommend,recommend,entity,1.0,locomo_observation_spacy,D17:7
conv-26,caroline,person,go,to_a_transgender_poetry_reading_event,entity,1.0,locomo_observation_spacy,D17:19
conv-26,caroline,person,inspire,inspire,entity,1.0,locomo_observation_spacy,D17:23
conv-26,melanie,person,lead,her,entity,1.0,locomo_observation_spacy,D17:8
conv-26,melanie,person,continue,continue,entity,1.0,locomo_observation_spacy,D17:10
conv-26,melanie,person,enjoy,enjoy,entity,1.0,locomo_observation_spacy,D17:13
conv-26,melanie,person,use,it,entity,1.0,locomo_observation_spacy,D17:16
conv-26,melanie,person,go,on_a_road_trip_with_her,entity,1.0,locomo_observation_spacy,D18:1
conv-26,melanie,person,get,into_an_accident,entity,1.0,locomo_observation_spacy,D18:1
conv-26,melanie,person,visit,the_grand_canyon,entity,1.0,locomo_observation_spacy,D18:5
conv-26,melanie,person,find,peace_and_serenity_in_nature,entity,1.0,locomo_observation_spacy,D18:19
conv-26,melanie,person,refresh,her_soul,entity,1.0,locomo_observation_spacy,D18:21
conv-26,caroline,person,acknowledge,acknowledge,entity,1.0,locomo_observation_spacy,D18:2
conv-26,caroline,person,give,strength,entity,1.0,locomo_observation_spacy,D18:10
conv-26,caroline,person,appreciate,appreciate,entity,1.0,locomo_observation_spacy,D18:12
conv-26,caroline,person,refresh,refresh,entity,1.0,locomo_observation_spacy,D18:18
conv-26,caroline,person,appreciate,the_peaceful_and_calming_nature_of,entity,1.0,locomo_observation_spacy,D18:22
conv-26,caroline,person,pass,the_adoption_agency_interviews,entity,1.0,locomo_observation_spacy,D19:1
conv-26,caroline,person,include,include,entity,1.0,locomo_observation_spacy,D19:3
conv-26,caroline,person,offer,love_and_support,entity,1.0,locomo_observation_spacy,D19:7
conv-26,caroline,person,go,through_a_tough_process_of_finding,entity,1.0,locomo_observation_spacy,D19:7
conv-26,caroline,person,receive,invaluable_help,entity,1.0,locomo_observation_spacy,D19:9
conv-26,caroline,person,bring,comfort_and_support,entity,1.0,locomo_observation_spacy,D19:9
conv-26,melanie,person,buy,figurines_that_remind_her_of_family,entity,1.0,locomo_observation_spacy,D19:2
conv-26,melanie,person,appreciate,caroline_s_passion_for_helping_kids,entity,1.0,locomo_observation_spacy,D19:6
conv-26,melanie,person,respect,caroline_s_journey_of_finding_acceptance,entity,1.0,locomo_observation_spacy,D19:8
conv-26,melanie,person,express,happiness_for_caroline_finding_her_true,entity,1.0,locomo_observation_spacy,D19:10
conv-26,melanie,person,value,the_mutual_support_they_provide_to,entity,1.0,locomo_observation_spacy,D19:13
conv-26,caroline,person,attend,an_lgbtq_support_group,entity,1.0,locomo_event_summary,D1:3
conv-26,caroline,person,inspire,inspire,entity,1.0,locomo_event_summary,D2:13
conv-26,caroline,person,speak,at_her_school,entity,1.0,locomo_event_summary,D3:1
conv-26,melanie,person,take,her_family_camping,entity,1.0,locomo_event_summary,D4:1
conv-26,melanie,person,register,for_a_pottery_class,entity,1.0,locomo_event_summary,D5:4
conv-26,melanie,person,take,her_kids,entity,1.0,locomo_event_summary,D6:5
conv-26,melanie,person,begin,begin,entity,1.0,locomo_event_summary,D7:20
conv-26,caroline,person,attend,an_adoption_council_meeting,entity,1.0,locomo_event_summary,D8:9
conv-26,caroline,person,join,a_mentorship_program_for_lgbtq_youth,entity,1.0,locomo_event_summary,D9:2
conv-26,caroline,person,join,a_group_of_connected_lgbtq_activists,entity,1.0,locomo_event_summary,D10:3
conv-26,melanie,person,take,a_trip_to_the_beach,entity,1.0,locomo_event_summary,D10:12
conv-26,melanie,person,attend,an_outdoor_concert_to_celebrate_her,entity,1.0,locomo_event_summary,D11:1
conv-26,caroline,person,meet,a_group_of_religious_conservatives,entity,1.0,locomo_event_summary,D12:1
conv-26,melanie,person,finish,her_first_pottery_project,entity,1.0,locomo_event_summary,D12:3
conv-26,caroline,person,begin,the_adoption_process,entity,1.0,locomo_event_summary,D13:16
conv-26,caroline,person,attend,a_meeting_to_receive_special_adoption,entity,1.0,locomo_event_summary,D13:1
conv-26,caroline,person,write,a_letter_to_the_people_she,entity,1.0,locomo_event_summary,D14:1
conv-26,melanie,person,has_event,Melanie_family_volunteer_shelter,entity,1.0,locomo_event_summary,D14:3
conv-26,melanie,person,take,her_kids,entity,1.0,locomo_event_summary,D15:1
conv-26,caroline,person,spend,outdoors_bike_riding_and_sight_seeing,entity,1.0,locomo_event_summary,D16:4
conv-26,caroline,person,call,on_her_mentor_for_adoption_advice,entity,1.0,locomo_event_summary,D17:1
conv-26,melanie,person,take,a_roadtrip_to_the_grand_canyon,entity,1.0,locomo_event_summary,D18:5
conv-26,melanie,person,get,in_a_car_accident,entity,1.0,locomo_event_summary,D18:1
conv-26,melanie,person,take,a_roadtrip,entity,1.0,locomo_event_summary,D18:4
conv-26,caroline,person,pass,the_adoption_agency_interviews,entity,1.0,locomo_event_summary,D19:1
conv-26,caroline,person,have,a_conversation_on_8_may_2023,entity,1.0,locomo_session_summary,D1:1
conv-26,caroline,person,mention,mention,entity,1.0,locomo_session_summary,D1:3
conv-26,caroline,person,plan,plan,entity,1.0,locomo_session_summary,D1:2
conv-26,melanie,person,praise,caroline_s_empathy,entity,1.0,locomo_session_summary,D1:14
conv-26,caroline,person,compliment,melanie_s_painting,entity,1.0,locomo_session_summary,D1:15
conv-26,caroline,person,go,go,entity,1.0,locomo_session_summary,D1:17
conv-26,melanie,person,run,a_charity_race_for_mental_health,entity,1.0,locomo_session_summary,D2:1
conv-26,caroline,person,express,pride,entity,1.0,locomo_session_summary,D2:1
conv-26,melanie,person,share,her_struggle_with_self_care_but,entity,1.0,locomo_session_summary,D2:4
conv-26,caroline,person,encourage,melanie,entity,1.0,locomo_session_summary,D2:1
conv-26,melanie,person,ask,caroline,entity,1.0,locomo_session_summary,D2:8
conv-26,melanie,person,praise,caroline_s_decision,entity,1.0,locomo_session_summary,D2:3
conv-26,caroline,person,explain,explain,entity,1.0,locomo_session_summary,D2:13
conv-26,melanie,person,commend,caroline_s_choice,entity,1.0,locomo_session_summary,D2:13
conv-26,caroline,person,thrill,thrill,entity,1.0,locomo_session_summary,D2:14
conv-26,melanie,person,encourage,caroline,entity,1.0,locomo_session_summary,D2:16
conv-26,melanie,person,end,end,entity,1.0,locomo_session_summary,D2:17
conv-26,caroline,person,have,a_conversation_at_7_55_pm,entity,1.0,locomo_session_summary,D3:6
conv-26,caroline,person,share,about_her_school_event,entity,1.0,locomo_session_summary,D3:1
conv-26,melanie,person,praise,caroline,entity,1.0,locomo_session_summary,D3:2
conv-26,caroline,person,express,gratitude_for_the_support_she_has,entity,1.0,locomo_session_summary,D3:3
conv-26,melanie,person,commend,caroline,entity,1.0,locomo_session_summary,D3:6
conv-26,melanie,person,mention,mention,entity,1.0,locomo_session_summary,D3:10
conv-26,melanie,person,mention,mention,entity,1.0,locomo_session_summary,D3:1
conv-26,caroline,person,catch,after_a_long_time,entity,1.0,locomo_session_summary,D4:1
conv-26,caroline,person,show,melanie,entity,1.0,locomo_session_summary,D4:3
conv-26,melanie,person,admire,it,entity,1.0,locomo_session_summary,D4:1
conv-26,caroline,person,mention,a_hand_painted_bowl_made_by,entity,1.0,locomo_session_summary,D4:5
conv-26,melanie,person,go,that_camping_with_her_family,entity,1.0,locomo_session_summary,D4:8
conv-26,caroline,person,reveal,reveal,entity,1.0,locomo_session_summary,D4:11
conv-26,melanie,person,praise,caroline,entity,1.0,locomo_session_summary,D4:14
conv-26,caroline,person,share,share,entity,1.0,locomo_session_summary,D4:15
conv-26,melanie,person,commend,caroline_s_hard_work_and_passion,entity,1.0,locomo_session_summary,D4:16
conv-26,caroline,person,express,gratitude_for_melanie_s_kind_words,entity,1.0,locomo_session_summary,D4:14
conv-26,caroline,person,attend,an_lgbtq_pride_parade,entity,1.0,locomo_session_summary,D5:1
conv-26,melanie,person,share,in_turn,entity,1.0,locomo_session_summary,D5:4
conv-26,melanie,person,discuss,their_creative_endeavors,entity,1.0,locomo_session_summary,D5:4
conv-26,caroline,person,praise,melanie_s_work,entity,1.0,locomo_session_summary,D5:4
conv-26,melanie,person,wish,her,entity,1.0,locomo_session_summary,D5:14
conv-26,caroline,person,catch,with_each_other,entity,1.0,locomo_session_summary,D6:2
conv-26,caroline,person,share,share,entity,1.0,locomo_session_summary,D6:3
conv-26,melanie,person,praise,caroline,entity,1.0,locomo_session_summary,D6:2
conv-26,melanie,person,mention,mention,entity,1.0,locomo_session_summary,D6:4
conv-26,caroline,person,explain,explain,entity,1.0,locomo_session_summary,D6:6
conv-26,caroline,person,mention,mention,entity,1.0,locomo_session_summary,D6:2
conv-26,melanie,person,ask,about_the_books_she_has,entity,1.0,locomo_session_summary,D6:5
conv-26,melanie,person,share,share,entity,1.0,locomo_session_summary,D6:10
conv-26,caroline,person,mention,mention,entity,1.0,locomo_session_summary,D6:15
conv-26,melanie,person,praise,caroline,entity,1.0,locomo_session_summary,D6:16
conv-26,caroline,person,have,a_conversation_at_4_33_pm,entity,1.0,locomo_session_summary,D7:10
conv-26,caroline,person,talk,talk,entity,1.0,locomo_session_summary,D7:1
conv-26,melanie,person,praise,caroline,entity,1.0,locomo_session_summary,D7:4
conv-26,caroline,person,mention,mention,entity,1.0,locomo_session_summary,D7:7
conv-26,melanie,person,commend,caroline,entity,1.0,locomo_session_summary,D7:8
conv-26,caroline,person,discuss,the_power_of_books,entity,1.0,locomo_session_summary,D7:11
conv-26,melanie,person,agree,agree,entity,1.0,locomo_session_summary,D7:14
conv-26,melanie,person,mention,mention,entity,1.0,locomo_session_summary,D7:20
conv-26,caroline,person,encourage,her,entity,1.0,locomo_session_summary,D7:6
conv-26,melanie,person,express,her_gratitude_for_the_improvements_in,entity,1.0,locomo_session_summary,D7:25
conv-26,caroline,person,speak,at_1_51_pm,entity,1.0,locomo_session_summary,D8:2
conv-26,melanie,person,mention,mention,entity,1.0,locomo_session_summary,D8:2
conv-26,caroline,person,comment,comment,entity,1.0,locomo_session_summary,D8:5
conv-26,melanie,person,mention,mention,entity,1.0,locomo_session_summary,D8:6
conv-26,caroline,person,admire,their_latest_painting,entity,1.0,locomo_session_summary,D8:8
conv-26,caroline,person,share,share,entity,1.0,locomo_session_summary,D8:9
conv-26,melanie,person,compliment,a_photo_of_a_blue_vase,entity,1.0,locomo_session_summary,D8:11
conv-26,melanie,person,mention,mention,entity,1.0,locomo_session_summary,D8:12
conv-26,melanie,person,marry,her_partner,entity,1.0,locomo_session_summary,D8:12
conv-26,caroline,person,share,a_special_memory_of_attending_a,entity,1.0,locomo_session_summary,D8:17
conv-26,caroline,person,mention,mention,entity,1.0,locomo_session_summary,D8:25
conv-26,melanie,person,express,admiration_for_caroline_s_courage_and,entity,1.0,locomo_session_summary,D8:25
conv-26,melanie,person,mention,mention,entity,1.0,locomo_session_summary,D8:29
conv-26,caroline,person,comment,comment,entity,1.0,locomo_session_summary,D8:2
conv-26,caroline,person,join,a_mentorship_program_for_lgbtq_youth,entity,1.0,locomo_session_summary,D9:2
conv-26,caroline,person,prepare,for_an_lgbtq_art_show_next,entity,1.0,locomo_session_summary,D9:12
conv-26,melanie,person,ask,ask,entity,1.0,locomo_session_summary,D9:14
conv-26,caroline,person,explain,explain,entity,1.0,locomo_session_summary,D9:16
conv-26,melanie,person,finish,another_painting,entity,1.0,locomo_session_summary,D9:2
conv-26,caroline,person,have,a_conversation_at_8_56_pm,entity,1.0,locomo_session_summary,D10:4
conv-26,caroline,person,join,a_new_lgbtq_activist_group,entity,1.0,locomo_session_summary,D10:3
conv-26,melanie,person,express,her_happiness_for_caroline,entity,1.0,locomo_session_summary,D10:4
conv-26,caroline,person,explain,explain,entity,1.0,locomo_session_summary,D10:3
conv-26,melanie,person,praise,the_group,entity,1.0,locomo_session_summary,D10:4
conv-26,caroline,person,mention,a_recent_pride_parade,entity,1.0,locomo_session_summary,D10:7
conv-26,melanie,person,share,share,entity,1.0,locomo_session_summary,D10:10
conv-26,caroline,person,inquire,about_other_summer_traditions,entity,1.0,locomo_session_summary,D10:12
conv-26,caroline,person,ask,about_the_experience,entity,1.0,locomo_session_summary,D10:19
conv-26,melanie,person,share,another_special_memory_of_her_youngest,entity,1.0,locomo_session_summary,D10:1
conv-26,caroline,person,mention,mention,entity,1.0,locomo_session_summary,D10:4
conv-26,melanie,person,agree,agree,entity,1.0,locomo_session_summary,D10:23
conv-26,caroline,person,praise,melanie,entity,1.0,locomo_session_summary,D10:23
conv-26,melanie,person,thank,caroline,entity,1.0,locomo_session_summary,D10:4
conv-26,melanie,person,have,a_conversation,entity,1.0,locomo_session_summary,D11:1
conv-26,melanie,person,share,share,entity,1.0,locomo_session_summary,D11:2
conv-26,melanie,person,ask,caroline,entity,1.0,locomo_session_summary,D11:4
conv-26,melanie,person,share,a_picture,entity,1.0,locomo_session_summary,D11:2
conv-26,caroline,person,mention,mention,entity,1.0,locomo_session_summary,D11:8
conv-26,melanie,person,praise,caroline_s_art,entity,1.0,locomo_session_summary,D11:10
conv-26,melanie,person,request,request,entity,1.0,locomo_session_summary,D11:12
conv-26,caroline,person,explain,explain,entity,1.0,locomo_session_summary,D11:13
conv-26,melanie,person,acknowledge,the_healing_power_of_art,entity,1.0,locomo_session_summary,D11:7
conv-26,caroline,person,remind,her,entity,1.0,locomo_session_summary,D12:1
conv-26,melanie,person,sympathize,with_caroline,entity,1.0,locomo_session_summary,D12:3
conv-26,caroline,person,express,interest_in_seeing_the_picture_and,entity,1.0,locomo_session_summary,D12:2
conv-26,melanie,person,explain,explain,entity,1.0,locomo_session_summary,D12:6
conv-26,caroline,person,praise,melanie_s_creativity_and_passion,entity,1.0,locomo_session_summary,D12:7
