query_id,question,category,conversation_id,gold_memory_ids,split
conv-26_qa_97,What workshop did Caroline attend recently?,4,conv-26,conv-26_session_4_D4:13,test
conv-26_qa_98,What was discussed in the LGBTQ+ counseling workshop?,4,conv-26,conv-26_session_4_D4:13,test
conv-26_qa_99,What motivated Caroline to pursue counseling?,4,conv-26,conv-26_session_4_D4:15,test
conv-26_qa_100,What kind of place does Caroline want to create for people?,4,conv-26,conv-26_session_4_D4:15,test
conv-26_qa_101,Did Melanie make the black and white bowl in the photo?,4,conv-26,conv-26_session_5_D5:8,test
conv-26_qa_102,What kind of books does Caroline have in her library?,4,conv-26,conv-26_session_6_D6:9,test
conv-26_qa_103,What was Melanie's favorite book from her childhood?,4,conv-26,conv-26_session_6_D6:10,test
conv-26_qa_104,What book did Caroline recommend to Melanie?,4,conv-26,conv-26_session_7_D7:11,test
conv-26_qa_105,"What did Caroline take away from the book ""Becoming Nicole""?",4,conv-26,conv-26_session_7_D7:13,test
conv-26_qa_106,What are the new shoes that Melanie got used for?,4,conv-26,conv-26_session_7_D7:19,test
conv-26_qa_107,What is Melanie's reason for getting into running?,4,conv-26,conv-26_session_7_D7:21,test
conv-26_qa_108,What does Melanie say running has been great for?,4,conv-26,conv-26_session_7_D7:24,test
conv-26_qa_109,What did Mel and her kids make during the pottery workshop?,4,conv-26,conv-26_session_8_D8:2,test
conv-26_qa_110,What kind of pot did Mel and her kids make with clay?,4,conv-26,conv-26_session_8_D8:4,test
conv-26_qa_111,What creative project do Mel and her kids do together besides pottery?,4,conv-26,conv-26_session_8_D8:5,test
conv-26_qa_112,What did Mel and her kids paint in their latest project in July 2023?,4,conv-26,conv-26_session_8_D8:6,test
conv-26_qa_113,What did Caroline see at the council meeting for adoption?,4,conv-26,conv-26_session_8_D8:9,test
conv-26_qa_114,What do sunflowers represent according to Caroline?,4,conv-26,conv-26_session_8_D8:11,test
conv-26_qa_115,Why are flowers important to Melanie?,4,conv-26,conv-26_session_8_D8:12,test
conv-26_qa_116,What inspired Caroline's painting for the art show?,4,conv-26,conv-26_session_9_D9:16,test
conv-26_qa_117,How often does Melanie go to the beach with her kids?,4,conv-26,conv-26_session_10_D10:10,test
conv-26_qa_118,What did Melanie and her family see during their camping trip last year?,4,conv-26,conv-26_session_10_D10:14,test
conv-26_qa_119,How did Melanie feel while watching the meteor shower?,4,conv-26,conv-26_session_10_D10:18,test
conv-26_qa_120,Whose birthday did Melanie celebrate recently?,4,conv-26,conv-26_session_11_D11:1,test
conv-26_qa_121,Who performed at the concert at Melanie's daughter's birthday?,4,conv-26,conv-26_session_11_D11:3,test
conv-26_qa_122,Why did Melanie choose to use colors and patterns in her pottery project?,4,conv-26,conv-26_session_12_D12:6,test
conv-26_qa_123,What pet does Caroline have?,4,conv-26,conv-26_session_13_D13:3,test
conv-26_qa_124,What pets does Melanie have?,4,conv-26,conv-26_session_13_D13:4,test
conv-26_qa_125,Where did Oliver hide his bone once?,4,conv-26,conv-26_session_13_D13:6,test
conv-26_qa_126,What activity did Caroline used to do with her dad?,4,conv-26,conv-26_session_13_D13:7,test
conv-26_qa_127,What did Caroline make for a local church?,4,conv-26,conv-26_session_14_D14:17,test
conv-26_qa_128,What did Caroline find in her neighborhood during her walk?,4,conv-26,conv-26_session_14_D14:23,test
conv-26_qa_129,Which song motivates Caroline to be courageous?,4,conv-26,conv-26_session_15_D15:23,test
conv-26_qa_130,Which  classical musicians does Melanie enjoy listening to?,4,conv-26,conv-26_session_15_D15:28,test
conv-26_qa_131,Who is Melanie a fan of in terms of modern music?,4,conv-26,conv-26_session_15_D15:28,test
conv-26_qa_132,How long has Melanie been creating art?,4,conv-26,conv-26_session_16_D16:7,test
conv-26_qa_133,What precautionary sign did Melanie see at the café?,4,conv-26,conv-26_session_16_D16:16,test
conv-26_qa_134,What advice does Caroline give for getting started with adoption?,4,conv-26,conv-26_session_17_D17:7,test
conv-26_qa_135,What setback did Melanie face in October 2023?,4,conv-26,conv-26_session_17_D17:8,test
conv-26_qa_136,What does Melanie do to keep herself busy during her pottery break?,4,conv-26,conv-26_session_17_D17:10,test
conv-26_qa_137,"What painting did Melanie show to Caroline on October 13, 2023?",4,conv-26,conv-26_session_17_D17:12,test
conv-26_qa_138,"What kind of painting did Caroline share with Melanie on October 13, 2023?",4,conv-26,conv-26_session_17_D17:14,test
conv-26_qa_139,What was the poetry reading that Caroline attended about?,4,conv-26,conv-26_session_17_D17:18,test
conv-26_qa_140,What did the posters at the poetry reading say?,4,conv-26,conv-26_session_17_D17:19,test
conv-26_qa_141,What does Caroline's drawing symbolize for her?,4,conv-26,conv-26_session_17_D17:23,test
conv-26_qa_142,How do Melanie and Caroline describe their journey through life together?,4,conv-26,conv-26_session_17_D17:25,test
conv-26_qa_143,What happened to Melanie's son on their road trip?,4,conv-26,conv-26_session_18_D18:1,test
conv-26_qa_144,How did Melanie's son handle the accident?,4,conv-26,conv-26_session_18_D18:6;conv-26_session_18_D18:7,test
conv-26_qa_145,How did Melanie feel about her family after the accident?,4,conv-26,conv-26_session_18_D18:5,test
conv-26_qa_146,How did Melanie's children handle the accident?,4,conv-26,conv-26_session_18_D18:7,test
conv-26_qa_147,How did Melanie feel after the accident?,4,conv-26,conv-26_session_18_D18:5,test
conv-26_qa_148,What was Melanie's reaction to her children enjoying the Grand Canyon?,4,conv-26,conv-26_session_18_D18:5,test
conv-26_qa_149,What do Melanie's family give her?,4,conv-26,conv-26_session_18_D18:9,test
conv-26_qa_150,How did Melanie feel about her family supporting her?,4,conv-26,conv-26_session_18_D18:13,test
conv-26_qa_151,What did Melanie do after the road trip to relax?,4,conv-26,conv-26_session_18_D18:17,test
conv-30_qa_0,When Jon has lost his job as a banker?,2,conv-30,conv-30_session_1_D1:2,test
conv-30_qa_1,When Gina has lost her job at Door Dash?,2,conv-30,conv-30_session_1_D1:3,test
conv-30_qa_2,How do Jon and Gina both like to destress?,4,conv-30,conv-30_session_1_D1:7;conv-30_session_1_D1:6,test
conv-30_qa_3,What do Jon and Gina both have in common?,1,conv-30,conv-30_session_1_D1:2;conv-30_session_1_D1:3;conv-30_session_1_D1:4;conv-30_session_2_D2:1,test
conv-30_qa_4,Why did Jon decide to start his dance studio?,4,conv-30,conv-30_session_1_D1:2;conv-30_session_1_D1:4,test
conv-30_qa_5,What Jon thinks the ideal dance studio should look like?,1,conv-30,conv-30_session_1_D1:20;conv-30_session_2_D2:4;conv-30_session_2_D2:8,test
conv-30_qa_6,When is Jon's group performing at a festival?,2,conv-30,conv-30_session_1_D1:24,test
conv-30_qa_7,When did Gina launch an ad campaign for her store?,2,conv-30,conv-30_session_2_D2:1,test
conv-30_qa_8,When was Jon in Paris?,2,conv-30,conv-30_session_2_D2:4,test
conv-30_qa_9,Which city have both Jean and John visited?,1,conv-30,conv-30_session_2_D2:5;conv-30_session_15_D15:1,test
conv-30_qa_10,When did Gina team up with a local artist for some cool designs?,2,conv-30,conv-30_session_5_D5:5,test
conv-30_qa_11,When did Gina get her tattoo?,2,conv-30,conv-30_session_5_D5:15,test
conv-30_qa_12,When did Jon start to go to the gym?,2,conv-30,conv-30_session_6_D6:1,test
conv-30_qa_13,When did Gina open her online clothing store?,2,conv-30,conv-30_session_6_D6:6,test
conv-30_qa_14,When did Jon start expanding his studio's social media presence?,2,conv-30,conv-30_session_8_D8:13,test
conv-30_qa_15,When did Jon host a dance competition?,2,conv-30,conv-30_session_8_D8:13,test
conv-30_qa_16,When did Jon go to a fair to get more exposure for his dance studio?,2,conv-30,conv-30_session_10_D10:1,test
conv-30_qa_17,Why did Gina decide to start her own clothing store?,1,conv-30,conv-30_session_6_D6:8;conv-30_session_1_D1:3,test
conv-30_qa_18,Do Jon and Gina start businesses out of what they love?,1,conv-30,conv-30_session_1_D1:4;conv-30_session_6_D6:8,test
conv-30_qa_19,When did Gina interview for a design internship?,2,conv-30,conv-30_session_11_D11:14,test
conv-30_qa_20,When did Gina get accepted for the design internship?,2,conv-30,conv-30_session_12_D12:1,test
conv-30_qa_21,"When did Jon start reading ""The Lean Startup""?",2,conv-30,conv-30_session_12_D12:6,test
conv-30_qa_22,When did Gina develop a video presentation to teach how to style her fashion pieces? ,2,conv-30,conv-30_session_13_D13:4,test
conv-30_qa_23,How did Gina promote her clothes store?,1,conv-30,conv-30_session_5_D5:5;conv-30_session_16_D16:3;conv-30_session_8_D8:4;conv-30_session_13_D13:4,test
conv-30_qa_24,Which events has Jon participated in to promote his business venture?,1,conv-30,conv-30_session_10_D10:1;conv-30_session_16_D16:6;conv-30_session_8_D8:4,test
conv-30_qa_25,What does Jon's dance studio offer?,1,conv-30,conv-30_session_13_D13:7;conv-30_session_8_D8:13,test
conv-30_qa_26,When did Jon receive mentorship to promote his venture?,2,conv-30,conv-30_session_14_D14:1,test
conv-30_qa_27,Did Jon and Gina both participate in dance competitions?,1,conv-30,conv-30_session_1_D1:14;conv-30_session_14_D14:14;conv-30_session_1_D1:16;conv-30_session_1_D1:17;conv-30_session_9_D9:10,test
conv-30_qa_28,When was Jon in Rome?,2,conv-30,conv-30_session_15_D15:1,test
conv-30_qa_29,Which cities has Jon visited?,1,conv-30,conv-30_session_2_D2:4;conv-30_session_15_D15:1,test
conv-30_qa_30,When Jon is planning to open his dance studio?,2,conv-30,conv-30_session_15_D15:5,test
conv-30_qa_31,How long did it take for Jon to open his studio?,1,conv-30,conv-30_session_1_D1:2;conv-30_session_15_D15:13,test
conv-30_qa_32,When did Gina design a limited collection of hoodies?,2,conv-30,conv-30_session_16_D16:3,test
conv-30_qa_33,When did Jon visit networking events for his store?,2,conv-30,conv-30_session_16_D16:6,test
conv-30_qa_34,When did Gina start being recognized by fashion editors?,2,conv-30,conv-30_session_17_D17:1,test
conv-30_qa_35,When did Jon start learning marketing and analytics tools?,2,conv-30,conv-30_session_17_D17:4,test
conv-30_qa_36,When did Jon and Gina decide to collaborate to create dance content?,2,conv-30,conv-30_session_18_D18:18,test
conv-30_qa_37,When did Gina mention Shia Labeouf?,2,conv-30,conv-30_session_19_D19:4,test
conv-30_qa_38,When did Gina go to a dance class with a group of friends?,2,conv-30,conv-30_session_19_D19:6,test
conv-30_qa_39,What is Gina's favorite style of dance?,4,conv-30,conv-30_session_1_D1:9,test
conv-30_qa_40,What is Jon's favorite style of dance?,4,conv-30,conv-30_session_1_D1:8,test
conv-30_qa_41,What was Gina's favorite dancing memory?,4,conv-30,conv-30_session_1_D1:17,test
conv-30_qa_42,What kind of dance piece did Gina's team perform to win first place?,4,conv-30,conv-30_session_1_D1:19,test
conv-30_qa_43,What do the dancers in the photo represent?,4,conv-30,conv-30_session_1_D1:25,test
conv-30_qa_44,What does Gina say about the dancers in the photo?,4,conv-30,conv-30_session_1_D1:26,test
conv-30_qa_45,What is Jon's attitude towards being part of the dance festival?,4,conv-30,conv-30_session_1_D1:28,test
conv-30_qa_46,What kind of flooring is Jon looking for in his dance studio?,4,conv-30,conv-30_session_2_D2:8,test
conv-30_qa_47,"What did Gina find for her clothing store on 1 February, 2023?",4,conv-30,conv-30_session_3_D3:2,test
conv-30_qa_48,What did Gina design for her store?,4,conv-30,conv-30_session_3_D3:4,test
conv-30_qa_49,What did Gina want her customers to feel in her store?,4,conv-30,conv-30_session_3_D3:6;conv-30_session_3_D3:8,test
conv-30_qa_50,What did Jon say about Gina's progress with her store?,4,conv-30,conv-30_session_3_D3:3,test
conv-30_qa_51,What made Gina choose the furniture and decor for her store?,4,conv-30,conv-30_session_3_D3:6,test
conv-30_qa_52,What did Jon say about creating a special experience for customers?,4,conv-30,conv-30_session_3_D3:9,test
conv-30_qa_53,What did Gina say about creating an experience for her customers?,4,conv-30,conv-30_session_3_D3:8,test
conv-30_qa_54,How is Gina's store doing?,4,conv-30,conv-30_session_4_D4:2,test
conv-30_qa_55,What does Gina's tattoo symbolize?,4,conv-30,conv-30_session_5_D5:15,test
conv-30_qa_56,What did Jon and Gina compare their entrepreneurial journeys to?,4,conv-30,conv-30_session_6_D6:15;conv-30_session_6_D6:16,test
conv-30_qa_57,What advice does Gina give to Jon about running a successful business?,4,conv-30,conv-30_session_7_D7:5,test
conv-30_qa_58,Why did Jon shut down his bank account?,4,conv-30,conv-30_session_8_D8:1,test
conv-30_qa_59,Why did Gina combine her clothing business with dance?,4,conv-30,conv-30_session_8_D8:8,test
conv-30_qa_60,What does Jon's dance make him?,4,conv-30,conv-30_session_9_D9:5,test
conv-30_qa_61,What did Gina receive from a dance contest?,4,conv-30,conv-30_session_9_D9:10,test
conv-30_qa_62,How does Gina stay confident in her business?,4,conv-30,conv-30_session_10_D10:8,test
conv-30_qa_63,"What kind of professional experience did Gina get accepted for on May 23, 2023?",4,conv-30,conv-30_session_12_D12:1,test
conv-30_qa_64,Where is Gina's fashion internship?,4,conv-30,conv-30_session_12_D12:3,test
conv-30_qa_65,What book is Jon currently reading?,4,conv-30,conv-30_session_12_D12:6,test
conv-30_qa_66,What is Jon offering to the dancers at his dance studio?,4,conv-30,conv-30_session_13_D13:7,test
conv-30_qa_67,How does Jon use the clipboard with a notepad attached to it?,4,conv-30,conv-30_session_13_D13:11,test
conv-30_qa_68,What does Jon tell Gina he won't do?,4,conv-30,conv-30_session_14_D14:17,test
conv-30_qa_69,What did Jon take a trip to Rome for?,4,conv-30,conv-30_session_15_D15:1,test
conv-30_qa_70,What is Jon working on opening?,4,conv-30,conv-30_session_15_D15:3,test
conv-30_qa_71,How does Gina describe the studio that Jon has opened?,4,conv-30,conv-30_session_15_D15:6,test
conv-30_qa_72,How does Jon feel about the opening night of his dance studio?,4,conv-30,conv-30_session_15_D15:7,test
conv-30_qa_73,How does Gina describe the feeling that dance brings?,4,conv-30,conv-30_session_15_D15:8,test
conv-30_qa_74,What does Jon plan to do at the grand opening of his dance studio?,4,conv-30,conv-30_session_15_D15:9,test
conv-30_qa_75,What does Gina say to Jon about the grand opening?,4,conv-30,conv-30_session_15_D15:12,test
conv-30_qa_76,What is the general sentiment about the upcoming grand opening?,4,conv-30,conv-30_session_15_D15:18;conv-30_session_15_D15:19,test
conv-30_qa_77,What did Gina make a limited edition line of?,4,conv-30,conv-30_session_16_D16:3,test
conv-30_qa_78,"According to Gina, what makes Jon a perfect mentor and guide?",4,conv-30,conv-30_session_17_D17:7,test
conv-30_qa_80,What plans does Jon have after receiving advice at the networking event?,4,conv-30,conv-30_session_18_D18:10,test
conv-30_qa_81,What offer does Gina make to Jon regarding social media?,4,conv-30,conv-30_session_18_D18:13,test
conv-41_qa_0,"Who did Maria have dinner with on May 3, 2023?",2,conv-41,conv-41_session_13_D13:16,test
conv-41_qa_1,When did Maria donate her car?,2,conv-41,conv-41_session_2_D2:1,test
conv-41_qa_2,What martial arts has John done?,1,conv-41,conv-41_session_2_D2:28;conv-41_session_1_D1:4,test
conv-41_qa_3,What type of volunteering have John and Maria both done?,1,conv-41,conv-41_session_3_D3:5;conv-41_session_2_D2:1,test
conv-41_qa_4,When did John join the online support group?,2,conv-41,conv-41_session_3_D3:1,test
conv-41_qa_5,When did Maria go to the beach?,2,conv-41,conv-41_session_3_D3:15,test
conv-41_qa_6,Where has Maria made friends?,1,conv-41,conv-41_session_4_D4:1;conv-41_session_2_D2:1;conv-41_session_19_D19:1;conv-41_session_14_D14:10,test
conv-41_qa_7,What items des John mention having as a child?,1,conv-41,conv-41_session_5_D5:13;conv-41_session_3_D3:15,test
conv-41_qa_8,What might John's financial status be?,3,conv-41,conv-41_session_5_D5:5,test
conv-41_qa_9,Who gave Maria's family money when she was younger and her family was going through tough times?,1,conv-41,conv-41_session_6_D6:9;conv-41_session_5_D5:8,test
conv-41_qa_10,When did Maria meet Jean?,2,conv-41,conv-41_session_7_D7:1,test
conv-41_qa_11,What people has Maria met and helped while volunteering?,1,conv-41,conv-41_session_7_D7:5;conv-41_session_6_D6:5;conv-41_session_27_D27:8;conv-41_session_21_D21:19,test
conv-41_qa_12,What test has John taken multiple times?,1,conv-41,conv-41_session_8_D8:18;conv-41_session_3_D3:11,test
conv-41_qa_13,When did Maria's grandmother pass away?,2,conv-41,conv-41_session_8_D8:1,test
conv-41_qa_14,Would John be considered a patriotic person?,3,conv-41,conv-41_session_8_D8:18;conv-41_session_8_D8:20,test
conv-41_qa_15,What writing classes has Maria taken?,1,conv-41,conv-41_session_9_D9:1;conv-41_session_7_D7:1,test
conv-41_qa_16,When did John get his degree?,2,conv-41,conv-41_session_9_D9:2,test
conv-41_qa_17,What might John's degree be in?,3,conv-41,conv-41_session_9_D9:6,test
conv-41_qa_18,Who did John go to yoga with?,1,conv-41,conv-41_session_7_D7:16;conv-41_session_10_D10:1,test
conv-41_qa_19,What damages have happened to John's car?,1,conv-41,conv-41_session_11_D11:1;conv-41_session_4_D4:2,test
