method,qa_id,category,question,gold_answer,prediction,official_score,rF1_cat14,rEM_cat14_project,official_cat5_score,broad_abstention,WrongAbstention_cat14_project
ZScore-RawERK,conv-26_qa_116,4,What inspired Caroline's painting for the art show?,visiting an LGBTQ center and wanting to capture unity and strength,Unity and strength,0.4,0.4,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_117,4,How often does Melanie go to the beach with her kids?,once or twice a year,Once or twice a year.,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_118,4,What did Melanie and her family see during their camping trip last year?,Perseid meteor shower,the Perseid meteor shower,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_119,4,How did Melanie feel while watching the meteor shower?,in awe of the universe,Tiny and in awe of the universe.,0.888888888888889,0.888888888888889,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_12,2,How long ago was Caroline's 18th birthday?,10 years ago,Ten years ago.,0.6666666666666666,0.6666666666666666,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_120,4,Whose birthday did Melanie celebrate recently?,Melanie's daughter,My daughter's birthday,0.4,0.4,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_121,4,Who performed at the concert at Melanie's daughter's birthday?,Matt Patterson,Matt Patterson,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_122,4,Why did Melanie choose to use colors and patterns in her pottery project?,She wanted to catch the eye and make people smile.,To catch the eye and make people smile.,0.8571428571428571,0.8571428571428571,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_123,4,What pet does Caroline have?,guinea pig,"Oscar, my guinea pig.",0.6666666666666666,0.6666666666666666,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_124,4,What pets does Melanie have?,Two cats and a dog,A dog and a cat.,0.8,0.8,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_125,4,Where did Oliver hide his bone once?,In Melanie's slipper,in my slipper,0.6666666666666666,0.6666666666666666,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_126,4,What activity did Caroline used to do with her dad?,Horseback riding,Horseback riding,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_127,4,What did Caroline make for a local church?,a stained glass window,A stained glass window.,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_128,4,What did Caroline find in her neighborhood during her walk?,a rainbow sidewalk,Cool rainbow sidewalk for Pride Month,0.5,0.5,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_129,4,Which song motivates Caroline to be courageous?,Brave by Sara Bareilles,"""Brave"" by Sara Bareilles",1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_13,1,What career path has Caroline decided to persue?,counseling or mental health for Transgender people,Counseling and mental health,0.6,0.6,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_130,4,Which  classical musicians does Melanie enjoy listening to?,Bach and Mozart,Bach and Mozart,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_131,4,Who is Melanie a fan of in terms of modern music?,Ed Sheeran,"Ed Sheeran's ""Perfect""",0.8,0.8,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_132,4,How long has Melanie been creating art?,7 years,Seven years,0.5,0.5,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_133,4,What precautionary sign did Melanie see at the café?,A sign stating that someone is not being able to leave,Thoughtful signs like this.,0.14285714285714288,0.14285714285714288,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_134,4,What advice does Caroline give for getting started with adoption?,"Do research, find an adoption agency or lawyer, gather necessary documents, and prepare emotionally.",Contact a mentor for adoption advice.,0.11764705882352941,0.11764705882352941,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_135,4,What setback did Melanie face in October 2023?,She got hurt and had to take a break from pottery.,Got hurt and had to take a break from pottery.,0.9411764705882353,0.9411764705882353,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_136,4,What does Melanie do to keep herself busy during her pottery break?,Read a book and paint.,"""Doing research and readying myself emotionally""",0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_137,4,"What painting did Melanie show to Caroline on October 13, 2023?",A painting inspired by sunsets with a pink sky.,"There is no mention of a painting shown by Melanie to Caroline on October 13, 2023.",0.18181818181818182,0.18181818181818182,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_138,4,"What kind of painting did Caroline share with Melanie on October 13, 2023?",An abstract painting with blue streaks on a wall.,"No context provided for October 13, 2023.",0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_139,4,What was the poetry reading that Caroline attended about?,It was a transgender poetry reading where transgender people shared their stories.,A transgender poetry reading where transgender people shared their stories through poetry.,0.8181818181818182,0.8181818181818182,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_14,3,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,Likely no,No.,0.6666666666666666,0.6666666666666666,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_140,4,What did the posters at the poetry reading say?,"""Trans Lives Matter""",So much pride and strength!,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_141,4,What does Caroline's drawing symbolize for her?,Freedom and being true to herself.,Freedom and being real.,0.5,0.5,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_142,4,How do Melanie and Caroline describe their journey through life together?,An ongoing adventure of learning and growing.,A real gift.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_143,4,What happened to Melanie's son on their road trip?,He got into an accident,He got into an accident.,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_144,4,How did Melanie's son handle the accident?,He was scared but reassured by his family,"Thankfully, my son's ok.",0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_145,4,How did Melanie feel about her family after the accident?,They are important and mean the world to her,They mean the world to me.,0.6666666666666666,0.6666666666666666,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_146,4,How did Melanie's children handle the accident?,They were scared but resilient,They were scared but reassured.,0.8000000000000002,0.8000000000000002,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_147,4,How did Melanie feel after the accident?,Grateful and thankful for her family,I was really scared.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_148,4,What was Melanie's reaction to her children enjoying the Grand Canyon?,She was happy and thankful,"""Thankfully, they enjoyed the Grand Canyon a lot!""",0.2,0.2,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_149,4,What do Melanie's family give her?,Strength and motivation,Joy and love.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_15,1,What activities does Melanie partake in?,"pottery, camping, painting, swimming","Running, reading, playing my violin, hiking, exploring forests, pottery, painting.",0.5,0.5,0.5,,0.0,0.0
ZScore-RawERK,conv-26_qa_150,4,How did Melanie feel about her family supporting her?,She appreciated them a lot,Their love and support really helped me through tough times.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_151,4,What did Melanie do after the road trip to relax?,Went on a nature walk or hike,Went camping with her family.,0.1818181818181818,0.1818181818181818,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_152,5,What did Caroline realize after her charity race?,self-care is important,Caroline did not run the charity race; Melanie did.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_153,5,What are Melanie's plans for the summer with respect to adoption?,researching adoption agencies,The context does not provide information about Melanie's plans for the summer with respect to adoption.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_154,5,What type of individuals does the adoption agency Melanie is considering support?,LGBTQ+ individuals,The context does not provide information about the type of individuals the adoption agency Melanie is considering supports.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_155,5,Why did Melanie choose the adoption agency?,because of their inclusivity and support for LGBTQ+ individuals,They help LGBTQ+ folks with adoption.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_156,5,What is Melanie excited about in her adoption process?,creating a family for kids who need one,A buddy of mine adopted last year.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_157,5,What does Melanie's necklace symbolize?,"love, faith, and strength","Love, faith and strength.",0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_158,5,What country is Melanie's grandma from?,Sweden,Sweden,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_159,5,What was grandma's gift to Melanie?,necklace,The context does not provide information about a gift from Melanie's grandma.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_16,2,When did Melanie sign up for a pottery class?,2 July 2023,Yesterday.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_160,5,What was grandpa's gift to Caroline?,necklace,No mention of a gift from grandpa.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_161,5,What is Caroline's hand-painted bowl a reminder of?,art and self-expression,Art and self-expression.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_162,5,What did Caroline and her family do while camping?,"explored nature, roasted marshmallows, and went on a hike","Explored nature, roasted marshmallows around the campfire, went on a hike.",0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_163,5,What kind of counseling and mental health services is Melanie interested in pursuing?,"working with trans people, helping them accept themselves and supporting their mental health",The context does not specify what kind of counseling and mental health services Melanie is interested in pursuing.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_164,5,What kind of counseling workshop did Melanie attend recently?,LGBTQ+ counseling workshop,Pottery workshop.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_165,5,What motivated Melanie to pursue counseling?,"her own journey and the support she received, and how counseling improved her life",My own journey and the support I got made a huge difference.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_166,5,What kind of place does Melanie want to create for people?,a safe and inviting place for people to grow,A safe and loving home.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_167,5,Did Caroline make the black and white bowl in the photo?,No,No.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_168,5,What are the new shoes that Caroline got used for?,Running,For running.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_169,5,What is Caroline's reason for getting into running?,To de-stress and clear her mind,Running can really boost your mood.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_17,2,When is Caroline going to the transgender conference?,July 2023,This month.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_170,5,What does Caroline say running has been great for?,Her mental health,Mental health,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_171,5,What did Melanie see at the council meeting for adoption?,many people wanting to create loving homes for children in need,So many people wanted to create loving homes for children in need.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_172,5,What inspired Melanie's painting for the art show?,visiting an LGBTQ center and wanting to capture unity and strength,It was calming.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_173,5,What inspired Caroline's sculpture for the art show?,visiting an LGBTQ center and wanting to capture unity and strength,Togetherness and power.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_174,5,How often does Caroline go to the beach with her kids?,once or twice a year,Do you do it often with the kids?,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_175,5,What did Caroline and her family see during their camping trip last year?,Perseid meteor shower,the Perseid meteor shower,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_176,5,How did Caroline feel while watching the meteor shower?,in awe of the universe,That must've been breathtaking!,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_177,5,Why did Caroline choose to use colors and patterns in her pottery project?,She wanted to catch the eye and make people smile.,To explore her identity and be true to herself.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_178,5,Is Oscar Melanie's pet?,No,No.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_179,5,Where did Oscar hide his bone once?,In Melanie's slipper,In Melanie's slipper.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_18,1,Where has Melanie camped?,"beach, mountains, forest",In the mountains and in the forest.,0.26666666666666666,0.26666666666666666,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_180,5,What activity did Melanie used to do with her dad?,Horseback riding,The context does not mention Melanie doing any activity with her dad.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_181,5,What did Melanie make for a local church?,a stained glass window,The context does not indicate that Melanie made anything for a local church.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_182,5,What did Melanie find in her neighborhood during her walk?,a rainbow sidewalk,Not mentioned.,1.0,,,1.0,1.0,0.0
ZScore-RawERK,conv-26_qa_183,5,Which song motivates Melanie to be courageous?,Brave by Sara Bareilles,Not mentioned.,1.0,,,1.0,1.0,0.0
ZScore-RawERK,conv-26_qa_184,5,What type of instrument does Caroline play?,clarinet and violin,Acoustic guitar,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_185,5,Which classical musicians does Caroline enjoy listening to?,Bach and Mozart,Not mentioned.,1.0,,,1.0,1.0,0.0
ZScore-RawERK,conv-26_qa_186,5,Who is Caroline a fan of in terms of modern music?,Ed Sheeran,Ed Sheeran,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_187,5,What precautionary sign did Caroline see at the café?,A sign stating that someone is not being able to leave,The context does not specify the exact wording or description of the precautionary sign.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_188,5,What setback did Caroline face recently?,She got hurt and had to take a break from pottery.,Some close friends weren't able to handle it.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_189,5,What does Caroline do to keep herself busy during her pottery break?,Read a book and paint.,Offer help to Melanie.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_19,1,What do Melanie's kids like?,"dinosaurs, nature",Exploring and playing outdoors.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_190,5,What was the poetry reading that Melanie attended about?,It was a transgender poetry reading where transgender people shared their stories.,The context does not indicate that Melanie attended a poetry reading.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_191,5,What happened to Caroline's son on their road trip?,He got into an accident,Got into an accident.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_192,5,How did Caroline's son handle the accident?,He was scared but reassured by his family,Kids are amazingly resilient in tough situations.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_193,5,How did Caroline feel about her family after the accident?,They are important and mean the world to her,Family's everything.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_194,5,How did Caroline's children handle the accident?,They were scared but resilient,They were scared but we reassured them and explained their brother would be OK.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_195,5,How did Caroline feel after the accident?,Grateful and thankful for her family,Sorry 'bout the accident! Must have been traumatizing for you guys.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_196,5,What was Caroline's reaction to her children enjoying the Grand Canyon?,She was happy and thankful,The context does not provide Caroline's reaction to her children enjoying the Grand Canyon.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_197,5,What did Caroline do after the road trip to relax?,Went on a nature walk or hike,Did some research.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_198,5,What does Caroline love most about camping with her family?,Being present and bonding with her family,Exploring nature and family time.,0.0,,,0.0,0.0,0.0
ZScore-RawERK,conv-26_qa_2,3,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",Counseling and mental health,0.3333333333333333,0.3333333333333333,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_20,2,When did Melanie go to the museum?,5 July 2023,Yesterday,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_21,2,When did Caroline have a picnic?,The week before 6 July 2023,last week,0.28571428571428575,0.28571428571428575,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_22,3,Would Caroline likely have Dr. Seuss books on her bookshelf?,"Yes, since she collects classic children's books","Yes, likely.",0.22222222222222224,0.22222222222222224,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_23,1,What books has Melanie read?,"""Nothing is Impossible"", ""Charlotte's Web""","""Charlotte's Web"" and ""that book you recommended a while ago""",0.2,0.2,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_24,1,What does Melanie do to destress?,"Running, pottery",Running,0.5,0.5,0.5,,0.0,0.0
ZScore-RawERK,conv-26_qa_25,2,When did Caroline go to the LGBTQ conference?,10 July 2023,Two days ago,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_26,2,"When did Melanie read the book ""nothing is impossible""?",2022,"No mention of ""nothing is impossible"" in the context.",0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_27,3,Would Caroline pursue writing as a career option?,"LIkely no; though she likes reading, she wants to be a counselor",No.,0.6666666666666666,0.6666666666666666,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_28,2,When did Caroline go to the adoption meeting?,The friday before 15 July 2023,"Last Friday on 15 July, 2023.",0.7272727272727272,0.7272727272727272,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_29,2,When did Melanie go to the pottery workshop?,The Friday before 15 July 2023,Last Friday.,0.28571428571428575,0.28571428571428575,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_3,1,What did Caroline research?,Adoption agencies,Adoption agencies,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_30,3,Would Melanie be considered a member of the LGBTQ community?,"Likely no, she does not refer to herself as part of it",Yes.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_31,2,When did Melanie go camping in June?,The week before 27 June 2023,Last week of June.,0.4444444444444445,0.4444444444444445,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_32,1,What LGBTQ+ events has Caroline participated in?,"Pride parade, school speech, support group","- LGBTQ+ pride parade  
- LGBTQ support group  
- LGBTQ+ counseling workshop  
- LGBT pride event",0.19047619047619047,0.19047619047619047,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_33,2,When did Caroline go to a pride parade during the summer?,The week before 3 July 2023,Last Friday,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_34,1,What events has Caroline participated in to help children?,"Mentoring program, school speech",Mentorship program for LGBTQ youth.,0.14285714285714288,0.14285714285714288,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_35,2,When did Melanie go camping in July?,two weekends before 17 July 2023,Two weekends ago,0.4444444444444444,0.4444444444444444,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_36,2,When did Caroline join a mentorship program?,The weekend before 17 July 2023,Last weekend.,0.28571428571428575,0.28571428571428575,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_37,1,What did Melanie paint recently?,sunset,A sunset-inspired painting.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_38,1,What activities has Melanie done with her family?,"Pottery, painting, camping, museum, swimming, hiking","Played games, ate good food, hung out together, went on camping trips, roasted marshmallows, told stories around the campfire.",0.06666666666666667,0.06666666666666667,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_39,1,In what ways is Caroline participating in the LGBTQ community?,"Joining activist group, going to pride parades, participating in an art show, mentoring program","Joining a mentorship program for LGBTQ youth, attending an LGBTQ+ pride parade, joining an LGBTQ activist group, creating art representing inclusivity and diversity, attending an LGBTQ support group, and supporting LGBTQ adoption.",0.4573412698412699,0.4573412698412699,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_4,1,What is Caroline's identity?,Transgender woman,Trans woman,0.5,0.5,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_40,1,How many times has Melanie gone to the beach in 2023?,2,Once,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_41,2,When did Caroline join a new activist group?,The Tuesday before 20 July 2023,Last Tuesday.,0.28571428571428575,0.28571428571428575,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_42,3,Would Melanie be more interested in going to a national park or a theme park?,National park; she likes the outdoors,A national park,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_43,1,What kind of art does Caroline make?,abstract art,Self-portrait,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_44,2,When is Melanie's daughter's birthday?,13 August,Last night,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_45,2,When did Caroline attend a pride parade in August?,The Friday before 14 August 2023,Last Friday,0.28571428571428575,0.28571428571428575,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_46,3,Would Melanie be considered an ally to the transgender community?,"Yes, she is supportive","Yes, Melanie would be considered an ally to the transgender community.",0.15384615384615383,0.15384615384615383,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_47,1,Who supports Caroline when she has a negative experience?,"Her mentors, family, and friends",Some close friends.,0.16666666666666666,0.16666666666666666,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_48,1,What types of pottery have Melanie and her kids made?,"bowls, cup",Pots,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_49,2,When did Caroline and Melanie go to a pride fesetival together?,2022,Last year,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_5,2,When did Melanie run a charity race?,The sunday before 25 May 2023,Last Saturday,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_50,3,What would Caroline's political leaning likely be?,Liberal,Promoting LGBTQ rights,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_51,1,What has Melanie painted?,"Horse, sunset, sunrise","A lake sunrise, an abstract painting, and nature-inspired paintings.",0.2222222222222222,0.2222222222222222,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_52,1,What are Melanie's pets' names?,"Oliver, Luna, Bailey","Luna, Oliver, and Bailey",1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_53,2,When did Caroline apply to adoption agencies?,The week of 23 August 2023,This week,0.28571428571428575,0.28571428571428575,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_54,2,When did Caroline draw a self-portrait?,The week before 23 August 2023,Last week.,0.28571428571428575,0.28571428571428575,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_55,1,What subject have Caroline and Melanie both painted?,Sunsets,A painting.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_56,1,What symbols are important to Caroline?,"Rainbow flag, transgender symbol","The rainbow flag mural, the eagle, and the necklace.",0.4,0.4,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_57,2,When did Caroline encounter people on a hike and have a negative experience?,The week before 25 August 2023,Recently,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_58,2,When did Melanie make a plate in pottery class?,24 August 2023,"1:33 pm on 25 August, 2023",0.4444444444444444,0.4444444444444444,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_59,3,Would Caroline be considered religious?,"Somewhat, but not extremely religious",Not explicitly mentioned.,0.25,0.25,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_6,2,When is Melanie planning on going camping?,June 2023,Next month,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_60,1,What instruments does Melanie play?,clarinet and violin,Clarinet and violin,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_61,1,What musical artists/bands has Melanie seen?,"Summer Sounds, Matt Patterson",That band.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_62,2,When did Melanie go to the park?,27 August 2023,Yesterday,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_63,2,When is Caroline's youth center putting on a talent show?,September 2023,Next month.,0.0,0.0,0.0,,0.0,0.0
