memory_id,conversation_id,representation,token_count
conv-26_session_10_D10:22,conv-26,,0
conv-26_session_10_D10:23,conv-26,,0
conv-26_session_10_D10:24,conv-26,,0
conv-26_session_11_D11:1,conv-26,"Triples:
- (melanie, celebrate, her_daughter_'s_birthday)
- (melanie, value, special_moments)",8
conv-26_session_11_D11:2,conv-26,,0
conv-26_session_11_D11:3,conv-26,,0
conv-26_session_11_D11:4,conv-26,"Triples:
- (caroline, attend, a_pride_parade)",4
conv-26_session_11_D11:5,conv-26,,0
conv-26_session_11_D11:6,conv-26,,0
conv-26_session_11_D11:7,conv-26,"Triples:
- (melanie, appreciate, appreciate)
- (melanie, value, value)",7
conv-26_session_11_D11:8,conv-26,"Triples:
- (caroline, represent, inclusivity_and_diversity_in_her_art)",4
conv-26_session_11_D11:9,conv-26,,0
conv-26_session_11_D11:10,conv-26,"Triples:
- (caroline, focus, focus)",4
conv-26_session_11_D11:11,conv-26,,0
conv-26_session_11_D11:12,conv-26,"Triples:
- (caroline, paint, paint)",4
conv-26_session_11_D11:13,conv-26,"Triples:
- (melanie, admire, caroline_'s_art)",5
conv-26_session_11_D11:14,conv-26,"Triples:
- (caroline, heal, heal)",4
conv-26_session_11_D11:15,conv-26,,0
conv-26_session_11_D11:16,conv-26,"Triples:
- (caroline, share, her_art_and_experiences)",4
conv-26_session_11_D11:17,conv-26,,0
conv-26_session_12_D12:1,conv-26,"Triples:
- (caroline, run, into_a_group_of_religious_conservatives_who_upset_her)
- (caroline, accept, accept)",7
conv-26_session_12_D12:2,conv-26,"Triples:
- (melanie, finish, another_pottery_project)",4
conv-26_session_12_D12:3,conv-26,,0
conv-26_session_12_D12:4,conv-26,,0
conv-26_session_12_D12:5,conv-26,,0
conv-26_session_12_D12:6,conv-26,,0
conv-26_session_12_D12:7,conv-26,,0
conv-26_session_12_D12:8,conv-26,"Triples:
- (melanie, has_memory, Melanie_pottery_project_source_happiness)
- (melanie, consider, it)",7
conv-26_session_12_D12:9,conv-26,"Triples:
- (caroline, express, express)",4
conv-26_session_12_D12:10,conv-26,,0
conv-26_session_12_D12:11,conv-26,"Triples:
- (caroline, go, go)",4
conv-26_session_12_D12:12,conv-26,,0
conv-26_session_12_D12:13,conv-26,"Triples:
- (caroline, express, appreciation_for_her_friendship_with_melanie)",4
conv-26_session_12_D12:14,conv-26,"Triples:
- (melanie, value, value)",4
conv-26_session_12_D12:15,conv-26,"Triples:
- (caroline, value, supportive_friends)",4
conv-26_session_12_D12:16,conv-26,"Triples:
- (melanie, suggest, suggest)",4
conv-26_session_12_D12:17,conv-26,,0
conv-26_session_12_D12:18,conv-26,,0
conv-26_session_12_D12:19,conv-26,,0
conv-26_session_12_D12:20,conv-26,,0
conv-26_session_12_D12:21,conv-26,,0
conv-26_session_13_D13:1,conv-26,"Triples:
- (caroline, take, the_first_step_towards_becoming_a_mom_by)
- (caroline, attend, an_adoption_advice_assistance_group_to_help_with)",7
conv-26_session_13_D13:2,conv-26,,0
conv-26_session_13_D13:3,conv-26,"Triples:
- (caroline, name, oscar)",4
conv-26_session_13_D13:4,conv-26,"Triples:
- (melanie, include, another_cat_named_bailey)",4
conv-26_session_13_D13:5,conv-26,,0
conv-26_session_13_D13:6,conv-26,,0
conv-26_session_13_D13:7,conv-26,"Triples:
- (caroline, use, use)
- (caroline, love, horses)",7
conv-26_session_13_D13:8,conv-26,"Triples:
- (melanie, share, a_photo_of_her_horse_painting_that_she)",4
conv-26_session_13_D13:9,conv-26,,0
conv-26_session_13_D13:10,conv-26,"Triples:
- (melanie, enjoy, enjoy)",4
conv-26_session_13_D13:11,conv-26,,0
conv-26_session_13_D13:12,conv-26,,0
conv-26_session_13_D13:13,conv-26,"Triples:
- (caroline, express, herself)",4
conv-26_session_13_D13:14,conv-26,"Triples:
- (melanie, express, herself)",4
conv-26_session_13_D13:15,conv-26,"Triples:
- (caroline, promote, lgbtq_rights)",4
conv-26_session_13_D13:16,conv-26,,0
conv-26_session_13_D13:17,conv-26,,0
conv-26_session_13_D13:18,conv-26,,0
conv-26_session_14_D14:1,conv-26,"Triples:
- (caroline, go, last_week)",4
conv-26_session_14_D14:2,conv-26,,0
conv-26_session_14_D14:3,conv-26,,0
conv-26_session_14_D14:4,conv-26,"Triples:
- (melanie, relax, relax)",4
conv-26_session_14_D14:5,conv-26,,0
conv-26_session_14_D14:6,conv-26,,0
conv-26_session_14_D14:7,conv-26,"Triples:
- (caroline, paint, a_vivid_sunset_inspired_by_a_beach_visit)",4
conv-26_session_14_D14:8,conv-26,,0
conv-26_session_14_D14:9,conv-26,,0
conv-26_session_14_D14:10,conv-26,"Triples:
- (melanie, volunteer, with_her_family)",4
conv-26_session_14_D14:11,conv-26,,0
conv-26_session_14_D14:12,conv-26,,0
conv-26_session_14_D14:13,conv-26,"Triples:
- (caroline, transition, transition)",4
conv-26_session_14_D14:14,conv-26,,0
conv-26_session_14_D14:15,conv-26,"Triples:
- (caroline, create, a_rainbow_flag_mural_symbolizing_courage_and_strength)",4
conv-26_session_14_D14:16,conv-26,"Triples:
- (melanie, admire, caroline_'s_courage_as_a_trans_person)",5
conv-26_session_14_D14:17,conv-26,,0
conv-26_session_14_D14:18,conv-26,,0
conv-26_session_14_D14:19,conv-26,"Triples:
- (caroline, stain, stain)",4
conv-26_session_14_D14:20,conv-26,,0
conv-26_session_14_D14:21,conv-26,,0
conv-26_session_14_D14:22,conv-26,,0
conv-26_session_14_D14:23,conv-26,"Triples:
- (caroline, remind, her)",4
conv-26_session_14_D14:24,conv-26,,0
conv-26_session_14_D14:25,conv-26,,0
conv-26_session_14_D14:26,conv-26,,0
conv-26_session_14_D14:27,conv-26,,0
conv-26_session_14_D14:28,conv-26,,0
conv-26_session_14_D14:29,conv-26,,0
conv-26_session_14_D14:30,conv-26,"Triples:
- (melanie, paint, paint)",4
conv-26_session_14_D14:31,conv-26,,0
conv-26_session_14_D14:32,conv-26,"Triples:
- (melanie, create, a_painting_inspired_by_autumn)",4
conv-26_session_14_D14:33,conv-26,"Triples:
- (caroline, organize, an_lgbtq_art_show)",4
conv-26_session_14_D14:34,conv-26,,0
conv-26_session_14_D14:35,conv-26,,0
conv-26_session_15_D15:1,conv-26,,0
conv-26_session_15_D15:2,conv-26,"Triples:
- (melanie, take, her_kids)",4
conv-26_session_15_D15:3,conv-26,"Triples:
- (caroline, volunteer, at_an_lgbtq+_youth_center)",5
conv-26_session_15_D15:4,conv-26,,0
conv-26_session_15_D15:5,conv-26,"Triples:
- (caroline, share, her_story)",4
conv-26_session_15_D15:6,conv-26,,0
conv-26_session_15_D15:7,conv-26,,0
conv-26_session_15_D15:8,conv-26,,0
conv-26_session_15_D15:9,conv-26,"Triples:
- (caroline, plan, plan)",4
conv-26_session_15_D15:10,conv-26,,0
conv-26_session_15_D15:11,conv-26,"Triples:
- (caroline, involve, involve)",4
conv-26_session_15_D15:12,conv-26,,0
conv-26_session_15_D15:13,conv-26,,0
conv-26_session_15_D15:14,conv-26,,0
conv-26_session_15_D15:15,conv-26,,0
conv-26_session_15_D15:16,conv-26,,0
conv-26_session_15_D15:17,conv-26,,0
conv-26_session_15_D15:18,conv-26,,0
conv-26_session_15_D15:19,conv-26,"Triples:
- (caroline, mention, mention)",4
conv-26_session_15_D15:20,conv-26,,0
conv-26_session_15_D15:21,conv-26,"Triples:
- (caroline, start, start)",4
conv-26_session_15_D15:22,conv-26,,0
conv-26_session_15_D15:23,conv-26,"Triples:
- (caroline, resonate, with_her_journey_and_determination)",4
conv-26_session_15_D15:24,conv-26,,0
conv-26_session_15_D15:25,conv-26,,0
conv-26_session_15_D15:26,conv-26,"Triples:
- (melanie, play, the_clarinet)",4
conv-26_session_15_D15:27,conv-26,,0
conv-26_session_15_D15:28,conv-26,"Triples:
- (melanie, enjoy, classical_music_like_bach_and_mozart_,_as)",5
conv-26_session_16_D16:1,conv-26,"Triples:
- (caroline, spend, time)",4
conv-26_session_16_D16:2,conv-26,"Triples:
- (melanie, enjoy, camping_with_her_kids_,_exploring_the_forest)",5
conv-26_session_16_D16:3,conv-26,,0
conv-26_session_16_D16:4,conv-26,"Triples:
- (melanie, see, see)",4
conv-26_session_16_D16:5,conv-26,"Triples:
- (caroline, make, a_difference_for_the_lgbtq+_community)",5
conv-26_session_16_D16:6,conv-26,,0
conv-26_session_16_D16:7,conv-26,"Triples:
- (caroline, create, art)",4
conv-26_session_16_D16:8,conv-26,"Triples:
- (melanie, find, a_passion_for_painting_and_pottery)
- (melanie, use, painting_and_pottery)",7
conv-26_session_16_D16:9,conv-26,"Triples:
- (caroline, use, art)",4
conv-26_session_16_D16:10,conv-26,,0
conv-26_session_16_D16:11,conv-26,,0
conv-26_session_16_D16:12,conv-26,,0
conv-26_session_16_D16:13,conv-26,"Triples:
- (caroline, represent, her_journey)",4
conv-26_session_16_D16:14,conv-26,,0
conv-26_session_16_D16:15,conv-26,"Triples:
- (caroline, change, change)",4
conv-26_session_16_D16:16,conv-26,,0
conv-26_session_16_D16:17,conv-26,,0
conv-26_session_16_D16:18,conv-26,,0
conv-26_session_16_D16:19,conv-26,,0
conv-26_session_16_D16:20,conv-26,,0
conv-26_session_17_D17:1,conv-26,"Triples:
- (caroline, contact, her_mentor)",4
conv-26_session_17_D17:2,conv-26,,0
conv-26_session_17_D17:3,conv-26,"Triples:
- (caroline, see, adoption)",4
conv-26_session_17_D17:4,conv-26,,0
conv-26_session_17_D17:5,conv-26,,0
conv-26_session_17_D17:6,conv-26,,0
conv-26_session_17_D17:7,conv-26,"Triples:
- (caroline, recommend, recommend)",4
conv-26_session_17_D17:8,conv-26,"Triples:
- (melanie, lead, her)",4
conv-26_session_17_D17:9,conv-26,,0
conv-26_session_17_D17:10,conv-26,"Triples:
- (melanie, continue, continue)",4
conv-26_session_17_D17:11,conv-26,,0
conv-26_session_17_D17:12,conv-26,,0
conv-26_session_17_D17:13,conv-26,"Triples:
- (melanie, enjoy, enjoy)",4
conv-26_session_17_D17:14,conv-26,,0
conv-26_session_17_D17:15,conv-26,,0
conv-26_session_17_D17:16,conv-26,"Triples:
- (melanie, use, it)",4
conv-26_session_17_D17:17,conv-26,,0
conv-26_session_17_D17:18,conv-26,,0
conv-26_session_17_D17:19,conv-26,"Triples:
- (caroline, go, to_a_transgender_poetry_reading_event_that_was_empowering_and_celebrated_self___expression)",4
conv-26_session_17_D17:20,conv-26,,0
conv-26_session_17_D17:21,conv-26,,0
conv-26_session_17_D17:22,conv-26,,0
conv-26_session_17_D17:23,conv-26,"Triples:
- (caroline, inspire, inspire)",4
conv-26_session_17_D17:24,conv-26,,0
conv-26_session_17_D17:25,conv-26,,0
conv-26_session_17_D17:26,conv-26,,0
conv-26_session_18_D18:1,conv-26,"Triples:
- (melanie, go, on_a_road_trip_with_her_family_which_started_off_with_an_accident_involving_her_son)
- (melanie, get, into_an_accident)",7
conv-26_session_18_D18:2,conv-26,"Triples:
- (caroline, acknowledge, acknowledge)",4
conv-26_session_18_D18:3,conv-26,,0
conv-26_session_18_D18:4,conv-26,,0
conv-26_session_18_D18:5,conv-26,"Triples:
- (melanie, visit, the_grand_canyon)",4
conv-26_session_18_D18:6,conv-26,,0
conv-26_session_18_D18:7,conv-26,,0
conv-26_session_18_D18:8,conv-26,,0
conv-26_session_18_D18:9,conv-26,,0
conv-26_session_18_D18:10,conv-26,"Triples:
- (caroline, give, strength)",4
conv-26_session_18_D18:11,conv-26,,0
conv-26_session_18_D18:12,conv-26,"Triples:
- (caroline, appreciate, appreciate)",4
conv-26_session_18_D18:13,conv-26,,0
conv-26_session_18_D18:14,conv-26,,0
conv-26_session_18_D18:15,conv-26,,0
conv-26_session_18_D18:16,conv-26,,0
conv-26_session_18_D18:17,conv-26,,0
conv-26_session_18_D18:18,conv-26,"Triples:
- (caroline, refresh, refresh)",4
conv-26_session_18_D18:19,conv-26,"Triples:
- (melanie, find, peace_and_serenity_in_nature)",4
conv-26_session_18_D18:20,conv-26,,0
conv-26_session_18_D18:21,conv-26,"Triples:
- (melanie, refresh, her_soul)",4
conv-26_session_18_D18:22,conv-26,"Triples:
- (caroline, appreciate, the_peaceful_and_calming_nature_of_spending_quality)",4
conv-26_session_18_D18:23,conv-26,,0
conv-26_session_18_D18:24,conv-26,,0
conv-26_session_19_D19:1,conv-26,"Triples:
- (caroline, pass, the_adoption_agency_interviews)",4
conv-26_session_19_D19:2,conv-26,"Triples:
- (melanie, buy, figurines_that_remind_her_of_family_love)",4
conv-26_session_19_D19:3,conv-26,"Triples:
- (caroline, include, include)",4
conv-26_session_19_D19:4,conv-26,,0
conv-26_session_19_D19:5,conv-26,,0
conv-26_session_19_D19:6,conv-26,"Triples:
- (melanie, appreciate, caroline_'s_passion_for_helping_kids)",5
conv-26_session_19_D19:7,conv-26,"Triples:
- (caroline, offer, love_and_support)
- (caroline, go, through_a_tough_process_of_finding_self___acceptance)",7
conv-26_session_19_D19:8,conv-26,"Triples:
- (melanie, respect, caroline_'s_journey_of_finding_acceptance)",5
conv-26_session_19_D19:9,conv-26,"Triples:
- (caroline, receive, invaluable_help)
- (caroline, bring, comfort_and_support)",7
conv-26_session_19_D19:10,conv-26,"Triples:
- (melanie, express, happiness_for_caroline_finding_her_true_self_and)",4
conv-26_session_19_D19:11,conv-26,,0
conv-26_session_19_D19:12,conv-26,,0
conv-26_session_19_D19:13,conv-26,"Triples:
- (melanie, value, the_mutual_support_they_provide_to_each_other)",4
conv-26_session_19_D19:14,conv-26,,0
conv-26_session_19_D19:15,conv-26,,0
conv-26_session_2_D2:1,conv-26,"Triples:
- (melanie, run, a_charity_race_for_mental_health)",4
conv-26_session_2_D2:2,conv-26,,0
conv-26_session_2_D2:3,conv-26,"Triples:
- (melanie, realize, the_importance_of_self_care_and_its_impact)",4
conv-26_session_2_D2:4,conv-26,,0
conv-26_session_2_D2:5,conv-26,"Triples:
- (melanie, carve, me)",4
conv-26_session_2_D2:6,conv-26,,0
conv-26_session_2_D2:7,conv-26,"Triples:
- (melanie, consider, consider)",4
conv-26_session_2_D2:8,conv-26,"Triples:
- (caroline, research, adoption_agencies)",4
conv-26_session_2_D2:9,conv-26,,0
conv-26_session_2_D2:10,conv-26,,0
conv-26_session_2_D2:11,conv-26,,0
conv-26_session_2_D2:12,conv-26,"Triples:
- (caroline, choose, an_adoption_agency_that_helps_lgbtq+_folks_with)",5
conv-26_session_2_D2:13,conv-26,,0
conv-26_session_2_D2:14,conv-26,"Triples:
- (caroline, create, a_family_for_kids_who_need_one)",4
conv-26_session_2_D2:15,conv-26,,0
conv-26_session_2_D2:16,conv-26,,0
conv-26_session_2_D2:17,conv-26,,0
conv-26_session_3_D3:1,conv-26,"Triples:
- (caroline, start, start)
- (caroline, give, a_talk)",7
conv-26_session_3_D3:2,conv-26,"Triples:
- (melanie, spread, awareness)",4
conv-26_session_3_D3:3,conv-26,"Triples:
- (caroline, give, a_voice)",4
conv-26_session_3_D3:4,conv-26,"Triples:
- (melanie, talk, about_inclusivity_and_acceptance)",4
conv-26_session_3_D3:5,conv-26,"Triples:
- (caroline, share, experiences)
- (caroline, bless, with_a_lot_of_love_and_support)
- (caroline, aim, aim)",10
conv-26_session_3_D3:6,conv-26,,0
conv-26_session_3_D3:7,conv-26,,0
conv-26_session_3_D3:8,conv-26,,0
conv-26_session_3_D3:9,conv-26,,0
conv-26_session_3_D3:10,conv-26,,0
conv-26_session_3_D3:11,conv-26,"Triples:
- (caroline, motivate, her)",4
conv-26_session_3_D3:12,conv-26,,0
conv-26_session_3_D3:13,conv-26,"Triples:
- (caroline, move, from_her_home_country)",4
conv-26_session_3_D3:14,conv-26,"Triples:
- (melanie, have, a_husband_and_kids_who_keep_her_motivated)",4
conv-26_session_3_D3:15,conv-26,,0
conv-26_session_3_D3:16,conv-26,"Triples:
- (melanie, marry, for_5_years)",4
conv-26_session_3_D3:17,conv-26,,0
conv-26_session_3_D3:18,conv-26,,0
conv-26_session_3_D3:19,conv-26,,0
conv-26_session_3_D3:20,conv-26,"Triples:
- (melanie, value, family_moments)",4
conv-26_session_3_D3:21,conv-26,,0
conv-26_session_3_D3:22,conv-26,"Triples:
- (melanie, cherish, time)",4
conv-26_session_3_D3:23,conv-26,,0
conv-26_session_4_D4:1,conv-26,,0
conv-26_session_4_D4:2,conv-26,,0
conv-26_session_4_D4:3,conv-26,"Triples:
- (caroline, receive, a_special_necklace)",4
conv-26_session_4_D4:4,conv-26,,0
conv-26_session_4_D4:5,conv-26,"Triples:
- (caroline, treasure, a_hand_painted_bowl_made_by_a_friend)",4
conv-26_session_4_D4:6,conv-26,,0
conv-26_session_4_D4:7,conv-26,,0
conv-26_session_4_D4:8,conv-26,"Triples:
- (melanie, go, last_week)",4
conv-26_session_4_D4:9,conv-26,,0
conv-26_session_4_D4:10,conv-26,"Triples:
- (melanie, value, family_time)",4
conv-26_session_4_D4:11,conv-26,"Triples:
- (caroline, consider, a_career_in_counseling_and_mental_health)",4
conv-26_session_4_D4:12,conv-26,,0
conv-26_session_4_D4:13,conv-26,"Triples:
- (caroline, attend, an_lgbtq+_counseling_workshop_focused_on_therapeutic_methods)",5
conv-26_session_4_D4:14,conv-26,,0
conv-26_session_4_D4:15,conv-26,"Triples:
- (caroline, pursue, counseling)",4
conv-26_session_4_D4:16,conv-26,,0
conv-26_session_4_D4:17,conv-26,,0
conv-26_session_4_D4:18,conv-26,,0
conv-26_session_5_D5:1,conv-26,"Triples:
- (caroline, attend, an_lgbtq+_pride_parade)",5
conv-26_session_5_D5:2,conv-26,,0
conv-26_session_5_D5:3,conv-26,"Triples:
- (caroline, consider, a_career_in_counseling_and_mental_health)",4
conv-26_session_5_D5:4,conv-26,"Triples:
- (melanie, sign, for_a_pottery_class)",4
conv-26_session_5_D5:5,conv-26,"Triples:
- (caroline, learn, the_piano)",4
conv-26_session_5_D5:6,conv-26,"Triples:
- (melanie, calm, calm)",4
conv-26_session_5_D5:7,conv-26,,0
conv-26_session_5_D5:8,conv-26,"Triples:
- (melanie, make, a_black_and_white_bowl)",4
conv-26_session_5_D5:9,conv-26,,0
conv-26_session_5_D5:10,conv-26,"Triples:
- (melanie, express, her_emotions)",4
conv-26_session_5_D5:11,conv-26,,0
conv-26_session_5_D5:12,conv-26,,0
conv-26_session_5_D5:13,conv-26,"Triples:
- (caroline, attend, a_transgender_conference)",4
conv-26_session_5_D5:14,conv-26,,0
conv-26_session_5_D5:15,conv-26,,0
conv-26_session_5_D5:16,conv-26,,0
conv-26_session_6_D6:1,conv-26,,0
conv-26_session_6_D6:2,conv-26,,0
conv-26_session_6_D6:3,conv-26,"Triples:
- (caroline, look, into_counseling_or_mental_health_work)",4
conv-26_session_6_D6:4,conv-26,"Triples:
- (melanie, take, her_kids)
- (melanie, spend, time)",7
conv-26_session_6_D6:5,conv-26,,0
conv-26_session_6_D6:6,conv-26,,0
conv-26_session_6_D6:7,conv-26,"Triples:
- (caroline, create, a_library)",4
conv-26_session_6_D6:8,conv-26,,0
conv-26_session_6_D6:9,conv-26,"Triples:
- (caroline, include, classics)",4
conv-26_session_6_D6:10,conv-26,,0
conv-26_session_6_D6:11,conv-26,"Triples:
- (caroline, appreciate, the_importance_of_friendship_and_compassion_in_her)",4
conv-26_session_6_D6:12,conv-26,,0
conv-26_session_6_D6:13,conv-26,"Triples:
- (caroline, provide, love_,_guidance_,_and_acceptance)",6
conv-26_session_6_D6:14,conv-26,,0
conv-26_session_6_D6:15,conv-26,,0
conv-26_session_6_D6:16,conv-26,"Triples:
- (melanie, enjoy, camping)",4
conv-26_session_7_D7:1,conv-26,"Triples:
- (caroline, attend, an_lgbtq_conference)",4
conv-26_session_7_D7:2,conv-26,"Triples:
- (melanie, attend, to_be_reminding_of_the_strength_of_community)",4
conv-26_session_7_D7:3,conv-26,,0
conv-26_session_7_D7:4,conv-26,"Triples:
- (melanie, support, caroline_'s_drive)",5
conv-26_session_7_D7:5,conv-26,"Triples:
- (caroline, provide, support)",4
conv-26_session_7_D7:6,conv-26,,0
conv-26_session_7_D7:7,conv-26,,0
conv-26_session_7_D7:8,conv-26,"Triples:
- (melanie, remind, caroline)",4
conv-26_session_7_D7:9,conv-26,,0
conv-26_session_7_D7:10,conv-26,,0
conv-26_session_7_D7:11,conv-26,"Triples:
- (caroline, give, her_hope_and_connection)",4
conv-26_session_7_D7:12,conv-26,,0
conv-26_session_7_D7:13,conv-26,"Triples:
- (caroline, accord, accord)
- (caroline, value, the_role_of_pets_in_bringing_joy_and)",7
conv-26_session_7_D7:14,conv-26,,0
conv-26_session_7_D7:15,conv-26,,0
conv-26_session_7_D7:16,conv-26,,0
conv-26_session_7_D7:17,conv-26,,0
conv-26_session_7_D7:18,conv-26,"Triples:
- (melanie, name, luna_and_a_cat_named_oliver)",4
conv-26_session_7_D7:19,conv-26,,0
conv-26_session_7_D7:20,conv-26,"Triples:
- (melanie, destress, destress)",4
conv-26_session_7_D7:21,conv-26,,0
conv-26_session_7_D7:22,conv-26,,0
conv-26_session_7_D7:23,conv-26,,0
conv-26_session_7_D7:24,conv-26,"Triples:
- (melanie, run, run)",4
conv-26_session_7_D7:25,conv-26,,0
conv-26_session_7_D7:26,conv-26,,0
conv-26_session_7_D7:27,conv-26,,0
conv-26_session_8_D8:1,conv-26,,0
conv-26_session_8_D8:2,conv-26,"Triples:
- (melanie, take, her_kids)",4
conv-26_session_8_D8:3,conv-26,,0
conv-26_session_8_D8:4,conv-26,,0
conv-26_session_8_D8:5,conv-26,,0
conv-26_session_8_D8:6,conv-26,"Triples:
- (melanie, enjoy, nature_inspired_painting_projects)",4
conv-26_session_8_D8:7,conv-26,,0
conv-26_session_8_D8:8,conv-26,,0
conv-26_session_8_D8:9,conv-26,"Triples:
- (caroline, attend, a_council_meeting_for_adoption)",4
conv-26_session_8_D8:10,conv-26,,0
conv-26_session_8_D8:11,conv-26,,0
conv-26_session_8_D8:12,conv-26,"Triples:
- (melanie, represent, growth_,_beauty_,_and_appreciating_small_moments)",6
conv-26_session_8_D8:13,conv-26,,0
conv-26_session_8_D8:14,conv-26,,0
conv-26_session_8_D8:15,conv-26,,0
conv-26_session_8_D8:16,conv-26,"Triples:
- (melanie, marry, her_partner)",4
conv-26_session_8_D8:17,conv-26,,0
conv-26_session_8_D8:18,conv-26,,0
conv-26_session_8_D8:19,conv-26,"Triples:
- (caroline, go, to_a_pride_parade)",4
conv-26_session_8_D8:20,conv-26,,0
conv-26_session_8_D8:21,conv-26,"Triples:
- (caroline, accept, accept)
- (caroline, express, feeling_comforted_by_being_around_accepting_and_loving)",7
conv-26_session_8_D8:22,conv-26,,0
conv-26_session_8_D8:23,conv-26,,0
conv-26_session_8_D8:24,conv-26,,0
conv-26_session_8_D8:25,conv-26,"Triples:
- (caroline, mention, the_importance_of_finding_peace_and_mental_health)
- (caroline, express, pride_in_the_courage_to_transition)",7
conv-26_session_8_D8:26,conv-26,,0
conv-26_session_8_D8:27,conv-26,,0
conv-26_session_8_D8:28,conv-26,"Triples:
- (melanie, share, share)",4
conv-26_session_8_D8:29,conv-26,,0
conv-26_session_8_D8:30,conv-26,,0
conv-26_session_8_D8:31,conv-26,,0
conv-26_session_8_D8:32,conv-26,"Triples:
- (melanie, love, during_tough_times)",4
conv-26_session_8_D8:33,conv-26,,0
conv-26_session_8_D8:34,conv-26,,0
conv-26_session_8_D8:35,conv-26,,0
conv-26_session_8_D8:36,conv-26,,0
conv-26_session_8_D8:37,conv-26,,0
conv-26_session_8_D8:38,conv-26,,0
conv-26_session_8_D8:39,conv-26,,0
conv-26_session_9_D9:1,conv-26,"Triples:
- (melanie, go, go)
- (melanie, enjoy, enjoy)",7
conv-26_session_9_D9:2,conv-26,"Triples:
- (caroline, join, a_mentorship_program_for_lgbtq_youth)",4
conv-26_session_9_D9:3,conv-26,,0
conv-26_session_9_D9:4,conv-26,,0
conv-26_session_9_D9:5,conv-26,,0
conv-26_session_9_D9:6,conv-26,"Triples:
- (caroline, work, work)
- (caroline, have, a_great_time)",7
conv-26_session_9_D9:7,conv-26,,0
conv-26_session_9_D9:8,conv-26,,0
conv-26_session_9_D9:9,conv-26,,0
conv-26_session_9_D9:10,conv-26,,0
conv-26_session_9_D9:11,conv-26,,0
conv-26_session_9_D9:12,conv-26,"Triples:
- (caroline, plan, an_lgbtq_art_show_with_her_paintings)",4
conv-26_session_9_D9:13,conv-26,,0
conv-26_session_9_D9:14,conv-26,,0
conv-26_session_9_D9:15,conv-26,,0
conv-26_session_9_D9:16,conv-26,"Triples:
- (caroline, paint, a_piece_inspired_by_a_visit_to_an)",4
conv-26_session_9_D9:17,conv-26,"Triples:
- (melanie, finish, a_painting)",4
conv-30_session_1_D1:1,conv-30,,0
conv-30_session_1_D1:2,conv-30,"Triples:
- (jon, lose, his_job)",4
conv-30_session_1_D1:3,conv-30,"Triples:
- (gina, lose, her_job)",4
conv-30_session_1_D1:4,conv-30,"Triples:
- (jon, start, his_own_dance_studio)",4
conv-30_session_1_D1:5,conv-30,,0
conv-30_session_1_D1:6,conv-30,,0
conv-30_session_1_D1:7,conv-30,,0
conv-30_session_1_D1:8,conv-30,"Triples:
- (jon, has_memory, Jon_dance_style)",4
conv-30_session_1_D1:9,conv-30,"Triples:
- (gina, has_memory, Gina_dance_style)",4
conv-30_session_1_D1:10,conv-30,,0
