qa_id,sample_id,category,question,gold_memory_ids,gold_count
conv-26_qa_65,conv-26,1,What are some changes Caroline has faced during her transition journey?,"[""conv-26_session_16_D16:15"", ""conv-26_session_11_D11:14""]",2
conv-26_qa_66,conv-26,1,What does Melanie do with her family on hikes?,"[""conv-26_session_16_D16:4"", ""conv-26_session_10_D10:12""]",2
conv-26_qa_67,conv-26,2,When did Caroline go biking with friends?,"[""conv-26_session_16_D16:1""]",1
conv-26_qa_68,conv-26,2,How long has Melanie been practicing art?,"[""conv-26_session_16_D16:8""]",1
conv-26_qa_69,conv-26,3,What personality traits might Melanie say Caroline has?,"[""conv-26_session_16_D16:18"", ""conv-26_session_13_D13:16"", ""conv-26_session_7_D7:4""]",3
conv-26_qa_70,conv-26,1,What transgender-specific events has Caroline attended?,"[""conv-26_session_17_D17:19"", ""conv-26_session_15_D15:13""]",2
conv-26_qa_71,conv-26,1,What book did Melanie read from Caroline's suggestion?,"[""conv-26_session_7_D7:11"", ""conv-26_session_17_D17:10""]",2
conv-26_qa_72,conv-26,2,When did Melanie's friend adopt a child?,"[""conv-26_session_17_D17:3""]",1
conv-26_qa_73,conv-26,2,When did Melanie get hurt?,"[""conv-26_session_17_D17:8""]",1
conv-26_qa_74,conv-26,2,When did Melanie's family go on a roadtrip?,"[""conv-26_session_18_D18:1""]",1
conv-26_qa_75,conv-26,1,How many children does Melanie have?,"[""conv-26_session_18_D18:1"", ""conv-26_session_18_D18:7""]",2
conv-26_qa_76,conv-26,1,When did Melanie go on a hike after the roadtrip?,"[""conv-26_session_18_D18:17""]",1
conv-26_qa_77,conv-26,3,Would Melanie go on another roadtrip soon?,"[""conv-26_session_18_D18:3"", ""conv-26_session_18_D18:1""]",2
conv-26_qa_78,conv-26,1,What items has Melanie bought?,"[""conv-26_session_19_D19:2"", ""conv-26_session_7_D7:18""]",2
conv-26_qa_79,conv-26,2,When did Caroline pass the adoption interview?,"[""conv-26_session_19_D19:1""]",1
conv-26_qa_80,conv-26,2,When did Melanie buy the figurines?,"[""conv-26_session_19_D19:2""]",1
conv-26_qa_81,conv-26,3,Would Caroline want to move back to her home country soon?,"[""conv-26_session_19_D19:1"", ""conv-26_session_19_D19:3""]",2
conv-26_qa_82,conv-26,4,What did the charity race raise awareness for?,"[""conv-26_session_2_D2:2""]",1
conv-26_qa_83,conv-26,4,What did Melanie realize after the charity race?,"[""conv-26_session_2_D2:3""]",1
conv-26_qa_84,conv-26,4,How does Melanie prioritize self-care?,"[""conv-26_session_2_D2:5""]",1
conv-26_qa_85,conv-26,4,What are Caroline's plans for the summer?,"[""conv-26_session_2_D2:8""]",1
conv-26_qa_86,conv-26,4,What type of individuals does the adoption agency Caroline is considering support?,"[""conv-26_session_2_D2:12""]",1
conv-26_qa_87,conv-26,4,Why did Caroline choose the adoption agency?,"[""conv-26_session_2_D2:12""]",1
conv-26_qa_88,conv-26,4,What is Caroline excited about in the adoption process?,"[""conv-26_session_2_D2:14""]",1
conv-26_qa_89,conv-26,4,What does Melanie think about Caroline's decision to adopt?,"[""conv-26_session_2_D2:15""]",1
conv-26_qa_90,conv-26,4,How long have Mel and her husband been married?,"[""conv-26_session_3_D3:16""]",1
conv-26_qa_91,conv-26,4,What does Caroline's necklace symbolize?,"[""conv-26_session_4_D4:3""]",1
conv-26_qa_92,conv-26,4,What country is Caroline's grandma from?,"[""conv-26_session_4_D4:3""]",1
conv-26_qa_93,conv-26,4,What was grandma's gift to Caroline?,"[""conv-26_session_4_D4:3""]",1
conv-26_qa_94,conv-26,4,What is Melanie's hand-painted bowl a reminder of?,"[""conv-26_session_4_D4:5""]",1
conv-26_qa_95,conv-26,4,What did Melanie and her family do while camping?,"[""conv-26_session_4_D4:8""]",1
conv-26_qa_96,conv-26,4,What kind of counseling and mental health services is Caroline interested in pursuing?,"[""conv-26_session_4_D4:13""]",1
conv-26_qa_97,conv-26,4,What workshop did Caroline attend recently?,"[""conv-26_session_4_D4:13""]",1
conv-26_qa_98,conv-26,4,What was discussed in the LGBTQ+ counseling workshop?,"[""conv-26_session_4_D4:13""]",1
conv-26_qa_99,conv-26,4,What motivated Caroline to pursue counseling?,"[""conv-26_session_4_D4:15""]",1
conv-26_qa_100,conv-26,4,What kind of place does Caroline want to create for people?,"[""conv-26_session_4_D4:15""]",1
conv-26_qa_101,conv-26,4,Did Melanie make the black and white bowl in the photo?,"[""conv-26_session_5_D5:8""]",1
conv-26_qa_102,conv-26,4,What kind of books does Caroline have in her library?,"[""conv-26_session_6_D6:9""]",1
conv-26_qa_103,conv-26,4,What was Melanie's favorite book from her childhood?,"[""conv-26_session_6_D6:10""]",1
conv-26_qa_104,conv-26,4,What book did Caroline recommend to Melanie?,"[""conv-26_session_7_D7:11""]",1
conv-26_qa_105,conv-26,4,"What did Caroline take away from the book ""Becoming Nicole""?","[""conv-26_session_7_D7:13""]",1
conv-26_qa_106,conv-26,4,What are the new shoes that Melanie got used for?,"[""conv-26_session_7_D7:19""]",1
conv-26_qa_107,conv-26,4,What is Melanie's reason for getting into running?,"[""conv-26_session_7_D7:21""]",1
conv-26_qa_108,conv-26,4,What does Melanie say running has been great for?,"[""conv-26_session_7_D7:24""]",1
conv-26_qa_109,conv-26,4,What did Mel and her kids make during the pottery workshop?,"[""conv-26_session_8_D8:2""]",1
conv-26_qa_110,conv-26,4,What kind of pot did Mel and her kids make with clay?,"[""conv-26_session_8_D8:4""]",1
conv-26_qa_111,conv-26,4,What creative project do Mel and her kids do together besides pottery?,"[""conv-26_session_8_D8:5""]",1
conv-26_qa_112,conv-26,4,What did Mel and her kids paint in their latest project in July 2023?,"[""conv-26_session_8_D8:6""]",1
conv-26_qa_113,conv-26,4,What did Caroline see at the council meeting for adoption?,"[""conv-26_session_8_D8:9""]",1
conv-26_qa_114,conv-26,4,What do sunflowers represent according to Caroline?,"[""conv-26_session_8_D8:11""]",1
conv-26_qa_115,conv-26,4,Why are flowers important to Melanie?,"[""conv-26_session_8_D8:12""]",1
conv-26_qa_116,conv-26,4,What inspired Caroline's painting for the art show?,"[""conv-26_session_9_D9:16""]",1
conv-26_qa_117,conv-26,4,How often does Melanie go to the beach with her kids?,"[""conv-26_session_10_D10:10""]",1
conv-26_qa_118,conv-26,4,What did Melanie and her family see during their camping trip last year?,"[""conv-26_session_10_D10:14""]",1
conv-26_qa_119,conv-26,4,How did Melanie feel while watching the meteor shower?,"[""conv-26_session_10_D10:18""]",1
conv-26_qa_120,conv-26,4,Whose birthday did Melanie celebrate recently?,"[""conv-26_session_11_D11:1""]",1
conv-26_qa_121,conv-26,4,Who performed at the concert at Melanie's daughter's birthday?,"[""conv-26_session_11_D11:3""]",1
conv-26_qa_122,conv-26,4,Why did Melanie choose to use colors and patterns in her pottery project?,"[""conv-26_session_12_D12:6""]",1
conv-26_qa_123,conv-26,4,What pet does Caroline have?,"[""conv-26_session_13_D13:3""]",1
conv-26_qa_124,conv-26,4,What pets does Melanie have?,"[""conv-26_session_13_D13:4""]",1
conv-26_qa_125,conv-26,4,Where did Oliver hide his bone once?,"[""conv-26_session_13_D13:6""]",1
conv-26_qa_126,conv-26,4,What activity did Caroline used to do with her dad?,"[""conv-26_session_13_D13:7""]",1
conv-26_qa_127,conv-26,4,What did Caroline make for a local church?,"[""conv-26_session_14_D14:17""]",1
conv-26_qa_128,conv-26,4,What did Caroline find in her neighborhood during her walk?,"[""conv-26_session_14_D14:23""]",1
conv-26_qa_129,conv-26,4,Which song motivates Caroline to be courageous?,"[""conv-26_session_15_D15:23""]",1
conv-26_qa_130,conv-26,4,Which  classical musicians does Melanie enjoy listening to?,"[""conv-26_session_15_D15:28""]",1
conv-26_qa_131,conv-26,4,Who is Melanie a fan of in terms of modern music?,"[""conv-26_session_15_D15:28""]",1
conv-26_qa_132,conv-26,4,How long has Melanie been creating art?,"[""conv-26_session_16_D16:7""]",1
conv-26_qa_133,conv-26,4,What precautionary sign did Melanie see at the café?,"[""conv-26_session_16_D16:16""]",1
conv-26_qa_134,conv-26,4,What advice does Caroline give for getting started with adoption?,"[""conv-26_session_17_D17:7""]",1
conv-26_qa_135,conv-26,4,What setback did Melanie face in October 2023?,"[""conv-26_session_17_D17:8""]",1
conv-26_qa_136,conv-26,4,What does Melanie do to keep herself busy during her pottery break?,"[""conv-26_session_17_D17:10""]",1
conv-26_qa_137,conv-26,4,"What painting did Melanie show to Caroline on October 13, 2023?","[""conv-26_session_17_D17:12""]",1
conv-26_qa_138,conv-26,4,"What kind of painting did Caroline share with Melanie on October 13, 2023?","[""conv-26_session_17_D17:14""]",1
conv-26_qa_139,conv-26,4,What was the poetry reading that Caroline attended about?,"[""conv-26_session_17_D17:18""]",1
conv-26_qa_140,conv-26,4,What did the posters at the poetry reading say?,"[""conv-26_session_17_D17:19""]",1
conv-26_qa_141,conv-26,4,What does Caroline's drawing symbolize for her?,"[""conv-26_session_17_D17:23""]",1
conv-26_qa_142,conv-26,4,How do Melanie and Caroline describe their journey through life together?,"[""conv-26_session_17_D17:25""]",1
conv-26_qa_143,conv-26,4,What happened to Melanie's son on their road trip?,"[""conv-26_session_18_D18:1""]",1
conv-26_qa_144,conv-26,4,How did Melanie's son handle the accident?,"[""conv-26_session_18_D18:6"", ""conv-26_session_18_D18:7""]",2
conv-26_qa_145,conv-26,4,How did Melanie feel about her family after the accident?,"[""conv-26_session_18_D18:5""]",1
conv-26_qa_146,conv-26,4,How did Melanie's children handle the accident?,"[""conv-26_session_18_D18:7""]",1
conv-26_qa_147,conv-26,4,How did Melanie feel after the accident?,"[""conv-26_session_18_D18:5""]",1
conv-26_qa_148,conv-26,4,What was Melanie's reaction to her children enjoying the Grand Canyon?,"[""conv-26_session_18_D18:5""]",1
conv-26_qa_149,conv-26,4,What do Melanie's family give her?,"[""conv-26_session_18_D18:9""]",1
conv-26_qa_150,conv-26,4,How did Melanie feel about her family supporting her?,"[""conv-26_session_18_D18:13""]",1
conv-26_qa_151,conv-26,4,What did Melanie do after the road trip to relax?,"[""conv-26_session_18_D18:17""]",1
conv-30_qa_0,conv-30,2,When Jon has lost his job as a banker?,"[""conv-30_session_1_D1:2""]",1
conv-30_qa_1,conv-30,2,When Gina has lost her job at Door Dash?,"[""conv-30_session_1_D1:3""]",1
conv-30_qa_2,conv-30,4,How do Jon and Gina both like to destress?,"[""conv-30_session_1_D1:7"", ""conv-30_session_1_D1:6""]",2
conv-30_qa_3,conv-30,1,What do Jon and Gina both have in common?,"[""conv-30_session_1_D1:2"", ""conv-30_session_1_D1:3"", ""conv-30_session_1_D1:4"", ""conv-30_session_2_D2:1""]",4
conv-30_qa_4,conv-30,4,Why did Jon decide to start his dance studio?,"[""conv-30_session_1_D1:2"", ""conv-30_session_1_D1:4""]",2
conv-30_qa_5,conv-30,1,What Jon thinks the ideal dance studio should look like?,"[""conv-30_session_1_D1:20"", ""conv-30_session_2_D2:4"", ""conv-30_session_2_D2:8""]",3
conv-30_qa_6,conv-30,2,When is Jon's group performing at a festival?,"[""conv-30_session_1_D1:24""]",1
conv-30_qa_7,conv-30,2,When did Gina launch an ad campaign for her store?,"[""conv-30_session_2_D2:1""]",1
conv-30_qa_8,conv-30,2,When was Jon in Paris?,"[""conv-30_session_2_D2:4""]",1
conv-30_qa_9,conv-30,1,Which city have both Jean and John visited?,"[""conv-30_session_2_D2:5"", ""conv-30_session_15_D15:1""]",2
conv-30_qa_10,conv-30,2,When did Gina team up with a local artist for some cool designs?,"[""conv-30_session_5_D5:5""]",1
conv-30_qa_11,conv-30,2,When did Gina get her tattoo?,"[""conv-30_session_5_D5:15""]",1
conv-30_qa_12,conv-30,2,When did Jon start to go to the gym?,"[""conv-30_session_6_D6:1""]",1
conv-30_qa_13,conv-30,2,When did Gina open her online clothing store?,"[""conv-30_session_6_D6:6""]",1
conv-30_qa_14,conv-30,2,When did Jon start expanding his studio's social media presence?,"[""conv-30_session_8_D8:13""]",1
conv-30_qa_15,conv-30,2,When did Jon host a dance competition?,"[""conv-30_session_8_D8:13""]",1
conv-30_qa_16,conv-30,2,When did Jon go to a fair to get more exposure for his dance studio?,"[""conv-30_session_10_D10:1""]",1
conv-30_qa_17,conv-30,1,Why did Gina decide to start her own clothing store?,"[""conv-30_session_6_D6:8"", ""conv-30_session_1_D1:3""]",2
conv-30_qa_18,conv-30,1,Do Jon and Gina start businesses out of what they love?,"[""conv-30_session_1_D1:4"", ""conv-30_session_6_D6:8""]",2
conv-30_qa_19,conv-30,2,When did Gina interview for a design internship?,"[""conv-30_session_11_D11:14""]",1
conv-30_qa_20,conv-30,2,When did Gina get accepted for the design internship?,"[""conv-30_session_12_D12:1""]",1
conv-30_qa_21,conv-30,2,"When did Jon start reading ""The Lean Startup""?","[""conv-30_session_12_D12:6""]",1
conv-30_qa_22,conv-30,2,When did Gina develop a video presentation to teach how to style her fashion pieces? ,"[""conv-30_session_13_D13:4""]",1
conv-30_qa_23,conv-30,1,How did Gina promote her clothes store?,"[""conv-30_session_5_D5:5"", ""conv-30_session_16_D16:3"", ""conv-30_session_8_D8:4"", ""conv-30_session_13_D13:4""]",4
conv-30_qa_24,conv-30,1,Which events has Jon participated in to promote his business venture?,"[""conv-30_session_10_D10:1"", ""conv-30_session_16_D16:6"", ""conv-30_session_8_D8:4""]",3
conv-30_qa_25,conv-30,1,What does Jon's dance studio offer?,"[""conv-30_session_13_D13:7"", ""conv-30_session_8_D8:13""]",2
conv-30_qa_26,conv-30,2,When did Jon receive mentorship to promote his venture?,"[""conv-30_session_14_D14:1""]",1
conv-30_qa_27,conv-30,1,Did Jon and Gina both participate in dance competitions?,"[""conv-30_session_1_D1:14"", ""conv-30_session_14_D14:14"", ""conv-30_session_1_D1:16"", ""conv-30_session_1_D1:17"", ""conv-30_session_9_D9:10""]",5
conv-30_qa_28,conv-30,2,When was Jon in Rome?,"[""conv-30_session_15_D15:1""]",1
conv-30_qa_29,conv-30,1,Which cities has Jon visited?,"[""conv-30_session_2_D2:4"", ""conv-30_session_15_D15:1""]",2
conv-30_qa_30,conv-30,2,When Jon is planning to open his dance studio?,"[""conv-30_session_15_D15:5""]",1
conv-30_qa_31,conv-30,1,How long did it take for Jon to open his studio?,"[""conv-30_session_1_D1:2"", ""conv-30_session_15_D15:13""]",2
conv-30_qa_32,conv-30,2,When did Gina design a limited collection of hoodies?,"[""conv-30_session_16_D16:3""]",1
conv-30_qa_33,conv-30,2,When did Jon visit networking events for his store?,"[""conv-30_session_16_D16:6""]",1
conv-30_qa_34,conv-30,2,When did Gina start being recognized by fashion editors?,"[""conv-30_session_17_D17:1""]",1
conv-30_qa_35,conv-30,2,When did Jon start learning marketing and analytics tools?,"[""conv-30_session_17_D17:4""]",1
conv-30_qa_36,conv-30,2,When did Jon and Gina decide to collaborate to create dance content?,"[""conv-30_session_18_D18:18""]",1
conv-30_qa_37,conv-30,2,When did Gina mention Shia Labeouf?,"[""conv-30_session_19_D19:4""]",1
conv-30_qa_38,conv-30,2,When did Gina go to a dance class with a group of friends?,"[""conv-30_session_19_D19:6""]",1
conv-30_qa_39,conv-30,4,What is Gina's favorite style of dance?,"[""conv-30_session_1_D1:9""]",1
conv-30_qa_40,conv-30,4,What is Jon's favorite style of dance?,"[""conv-30_session_1_D1:8""]",1
conv-30_qa_41,conv-30,4,What was Gina's favorite dancing memory?,"[""conv-30_session_1_D1:17""]",1
conv-30_qa_42,conv-30,4,What kind of dance piece did Gina's team perform to win first place?,"[""conv-30_session_1_D1:19""]",1
conv-30_qa_43,conv-30,4,What do the dancers in the photo represent?,"[""conv-30_session_1_D1:25""]",1
conv-30_qa_44,conv-30,4,What does Gina say about the dancers in the photo?,"[""conv-30_session_1_D1:26""]",1
conv-30_qa_45,conv-30,4,What is Jon's attitude towards being part of the dance festival?,"[""conv-30_session_1_D1:28""]",1
conv-30_qa_46,conv-30,4,What kind of flooring is Jon looking for in his dance studio?,"[""conv-30_session_2_D2:8""]",1
conv-30_qa_47,conv-30,4,"What did Gina find for her clothing store on 1 February, 2023?","[""conv-30_session_3_D3:2""]",1
conv-30_qa_48,conv-30,4,What did Gina design for her store?,"[""conv-30_session_3_D3:4""]",1
conv-30_qa_49,conv-30,4,What did Gina want her customers to feel in her store?,"[""conv-30_session_3_D3:6"", ""conv-30_session_3_D3:8""]",2
conv-30_qa_50,conv-30,4,What did Jon say about Gina's progress with her store?,"[""conv-30_session_3_D3:3""]",1
conv-30_qa_51,conv-30,4,What made Gina choose the furniture and decor for her store?,"[""conv-30_session_3_D3:6""]",1
conv-30_qa_52,conv-30,4,What did Jon say about creating a special experience for customers?,"[""conv-30_session_3_D3:9""]",1
conv-30_qa_53,conv-30,4,What did Gina say about creating an experience for her customers?,"[""conv-30_session_3_D3:8""]",1
conv-30_qa_54,conv-30,4,How is Gina's store doing?,"[""conv-30_session_4_D4:2""]",1
conv-30_qa_55,conv-30,4,What does Gina's tattoo symbolize?,"[""conv-30_session_5_D5:15""]",1
conv-30_qa_56,conv-30,4,What did Jon and Gina compare their entrepreneurial journeys to?,"[""conv-30_session_6_D6:15"", ""conv-30_session_6_D6:16""]",2
conv-30_qa_57,conv-30,4,What advice does Gina give to Jon about running a successful business?,"[""conv-30_session_7_D7:5""]",1
conv-30_qa_58,conv-30,4,Why did Jon shut down his bank account?,"[""conv-30_session_8_D8:1""]",1
conv-30_qa_59,conv-30,4,Why did Gina combine her clothing business with dance?,"[""conv-30_session_8_D8:8""]",1
conv-30_qa_60,conv-30,4,What does Jon's dance make him?,"[""conv-30_session_9_D9:5""]",1
conv-30_qa_61,conv-30,4,What did Gina receive from a dance contest?,"[""conv-30_session_9_D9:10""]",1
conv-30_qa_62,conv-30,4,How does Gina stay confident in her business?,"[""conv-30_session_10_D10:8""]",1
conv-30_qa_63,conv-30,4,"What kind of professional experience did Gina get accepted for on May 23, 2023?","[""conv-30_session_12_D12:1""]",1
conv-30_qa_64,conv-30,4,Where is Gina's fashion internship?,"[""conv-30_session_12_D12:3""]",1
conv-30_qa_65,conv-30,4,What book is Jon currently reading?,"[""conv-30_session_12_D12:6""]",1
conv-30_qa_66,conv-30,4,What is Jon offering to the dancers at his dance studio?,"[""conv-30_session_13_D13:7""]",1
conv-30_qa_67,conv-30,4,How does Jon use the clipboard with a notepad attached to it?,"[""conv-30_session_13_D13:11""]",1
conv-30_qa_68,conv-30,4,What does Jon tell Gina he won't do?,"[""conv-30_session_14_D14:17""]",1
conv-30_qa_69,conv-30,4,What did Jon take a trip to Rome for?,"[""conv-30_session_15_D15:1""]",1
conv-30_qa_70,conv-30,4,What is Jon working on opening?,"[""conv-30_session_15_D15:3""]",1
conv-30_qa_71,conv-30,4,How does Gina describe the studio that Jon has opened?,"[""conv-30_session_15_D15:6""]",1
conv-30_qa_72,conv-30,4,How does Jon feel about the opening night of his dance studio?,"[""conv-30_session_15_D15:7""]",1
conv-30_qa_73,conv-30,4,How does Gina describe the feeling that dance brings?,"[""conv-30_session_15_D15:8""]",1
conv-30_qa_74,conv-30,4,What does Jon plan to do at the grand opening of his dance studio?,"[""conv-30_session_15_D15:9""]",1
conv-30_qa_75,conv-30,4,What does Gina say to Jon about the grand opening?,"[""conv-30_session_15_D15:12""]",1
conv-30_qa_76,conv-30,4,What is the general sentiment about the upcoming grand opening?,"[""conv-30_session_15_D15:18"", ""conv-30_session_15_D15:19""]",2
conv-30_qa_77,conv-30,4,What did Gina make a limited edition line of?,"[""conv-30_session_16_D16:3""]",1
